実験方法,地点,分析項目,単位,初期値,中温加熱後,洗浄処理後,浄化判定
中温加熱処理・洗浄処理実験,Ｎｏ．１２,ベンゼン,ｍｇ／Ｌ,1.8,0.003,,○
中温加熱処理・洗浄処理実験,Ｎｏ．１２,シアン化合物,ｍｇ／Ｌ,1.4,0.1,＜０．１,○
中温加熱処理・洗浄処理実験,Ｎｏ．１２,ヒ素,ｍｇ／Ｌ,＜０．００５,＜０．００５,＜０．００５,○
中温加熱処理・洗浄処理実験,Ｎｏ．１２,油膜,０なし～５多い,5,0,0,○
中温加熱処理・洗浄処理実験,Ｎｏ．１３,シアン化合物,ｍｇ／Ｌ,0.2,＜０．１,＜０．１,○
中温加熱処理・洗浄処理実験,Ｎｏ．１３,ヒ素,ｍｇ／Ｌ,＜０．００５,＜０．００５,＜０．００５,○
中温加熱処理・洗浄処理実験,Ｎｏ．１３,油膜,０なし～５多い,4,0,0,○
