実験方法,地点,分析項目,初期値（ｍｇ／Ｌ）,既往調査値（ｍｇ／Ｌ）
掘削微生物処理,Ｎｏ．１,ベンゼン,3.3,2.2
掘削微生物処理,Ｎｏ．２,ベンゼン,0.001,0.78
掘削微生物処理,Ｎｏ．３,ベンゼン,1.2,0.25
原位置微生物処理・洗浄処理,Ｎｏ．４,ベンゼン,0.381,0.12
原位置微生物処理・洗浄処理,Ｎｏ．４,シアン化合物,＜０．１,0.1
原位置微生物処理・洗浄処理,Ｎｏ．５,ベンゼン,0.078,4.8
原位置微生物処理・洗浄処理,Ｎｏ．５,シアン化合物,0.10,0.3
原位置微生物処理・洗浄処理,Ｎｏ．６,ベンゼン,3.593,0.25
原位置微生物処理・洗浄処理,Ｎｏ．６,シアン化合物,0.54,1.3
洗浄処理,Ｎｏ．７,シアン化合物,0.3,17
洗浄処理,Ｎｏ．８,ヒ素,0.39,0.62
洗浄処理,Ｎｏ．９,ベンゼン,7.0,0.084
洗浄処理,Ｎｏ．９,シアン化合物,0.4,0.2
洗浄処理,Ｎｏ．９,ヒ素,＜０．００５,0.034
中温加熱処理,Ｎｏ．１０,ベンゼン,0.027,430
中温加熱処理,Ｎｏ．１０,シアン化合物,0.1,86
中温加熱処理,Ｎｏ．１１,ベンゼン,0.91,4.2
中温加熱処理・洗浄処理,Ｎｏ．１２,ベンゼン,1.8,40
中温加熱処理・洗浄処理,Ｎｏ．１２,シアン化合物,1.4,93
中温加熱処理・洗浄処理,Ｎｏ．１２,ヒ素,＜０．００５,0.013
中温加熱処理・洗浄処理,Ｎｏ．１３,シアン化合物,0.2,1.9
中温加熱処理・洗浄処理,Ｎｏ．１３,ヒ素,＜０．００５,0.17
