対策,分類１,分類２,分類３,件数（件）
汚染土壌、汚染地下水対策,汚染土壌処理,掘削処理,加熱処理,27
汚染土壌、汚染地下水対策,汚染土壌処理,掘削処理,洗浄処理,12
汚染土壌、汚染地下水対策,汚染土壌処理,掘削処理,不溶化処理,16
汚染土壌、汚染地下水対策,汚染土壌処理,掘削処理,化学処理,4
汚染土壌、汚染地下水対策,汚染土壌処理,掘削処理,埋立処分,3
汚染土壌、汚染地下水対策,汚染土壌処理,掘削処理,バイオ処理,3
汚染土壌、汚染地下水対策,汚染土壌処理,原位置処理,バイオ処理,29
汚染土壌、汚染地下水対策,汚染土壌処理,原位置処理,化学処理,13
汚染土壌、汚染地下水対策,汚染土壌処理,原位置処理,不溶化処理,3
汚染土壌、汚染地下水対策,汚染土壌処理,原位置処理,加熱処理,3
汚染土壌、汚染地下水対策,汚染地下水処理,原位置処理,洗浄水の循環による処理,8
汚染土壌、汚染地下水対策,汚染地下水処理,原位置処理,電気浸透による処理,3
汚染土壌、汚染地下水対策,汚染地下水処理,原位置処理,凝集沈澱処理,1
汚染土壌、汚染地下水対策,汚染地下水処理,プラントによる処理,,10
汚染土壌、汚染地下水対策,汚染地下水処理,封じ込め,,2
汚染土壌、汚染地下水対策,汚染地下水処理,その他,,1
汚染土壌、汚染地下水対策,遮水壁,,,23
汚染土壌、汚染地下水対策,土壌掘削方法,,,10
汚染土壌、汚染地下水対策,その他,,,3
液状化対策,地盤改良,締固工法,,9
液状化対策,地盤改良,固結工法,,12
液状化対策,地下水位低下工法,,,2
液状化対策,過剰間隙水圧消散工法,,,2
市場施設完成後の地下水管理システム,水位・水質モニタリング手法,,,10
市場施設完成後の地下水管理システム,地下水位制御手法,,,3
市場施設完成後の地下水管理システム,水質浄化方法（環境基準の１０倍の地下水浄化）,,,1
上記の対策を全て含む総合的な対策,,,,8
合計,,,,221
