街区,分析パターン,調査地点,第１回結果,第２回結果,第３回結果,第４回結果,第５回結果,第６回結果,第７回結果,第８回結果,第９回結果,備考
６街区,１,Ｄ８－６,不検出,不検出,不検出,不検出,0.001,0.001,不検出,不検出,不検出,
６街区,１,Ｄ２０－８,0.0039,不検出,不検出,0.001,0.003,不検出,不検出,不検出,0.012,
６街区,１,Ｅ１４－８,不検出,不検出,不検出,0.002,不検出,不検出,不検出,0.003,不検出,
６街区,１,Ｅ２０－７,不検出,0.0072,0.0030,0.003,0.005,不検出,不検出,不検出,0.082,
６街区,１,Ｆ１５－１,不検出,不検出,不検出,0.002,不検出,不検出,不検出,不検出,不検出,
６街区,１,Ｆ１６－２,不検出,不検出,不検出,0.001,0.002,不検出,不検出,不検出,不検出,
６街区,１,Ｇ１０－３,不検出,不検出,不検出,0.001,不検出,不検出,不検出,不検出,0.001,
６街区,２,Ｂ９－２,不検出,不検出,0.0060,0.007,0.007,0.004,0.001,不検出,0.098,
６街区,２,Ｂ１１－５,不検出,0.0011,不検出,不検出,不検出,0.001,不検出,不検出,0.012,
６街区,２,Ｃ９－２,不検出,不検出,不検出,0.002,0.001,0.003,不検出,0.001,0.12,
６街区,２,Ｃ１０－５,不検出,不検出,不検出,不検出,0.002,不検出,不検出,不検出,0.001,
６街区,２,Ｃ１１－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.074,
６街区,２,Ｄ６－５,不検出,不検出,不検出,不検出,不検出,不検出,0.002,0.001,0.035,
６街区,２,Ｄ２３－１,不検出,不検出,不検出,不検出,0.002,0.003,0.001,0.001,不検出,
６街区,２,Ｆ６－３,0.0070,0.0037,不検出,0.003,0.003,不検出,不検出,0.003,0.010,
６街区,２,Ｆ９－９,不検出,0.0039,0.0011,不検出,0.003,不検出,0.001,不検出,0.100,
６街区,２,Ｆ１０－６,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,３,Ｇ２５－１,不検出,0.0056,不検出,不検出,0.002,不検出,不検出,不検出,0.002,
６街区,４,Ａ１０－７,0.0010,0.0010,0.0012,0.004,不検出,0.001,0.003,0.003,0.010,
６街区,４,Ｂ１０－５,不検出,不検出,0.0072,0.005,不検出,不検出,不検出,不検出,0.14,
６街区,４,Ｃ１２－５,不検出,不検出,不検出,0.002,0.002,0.001,0.007,0.007,0.008,
６街区,４,Ｃ１３－２,0.0012,0.0018,0.0013,0.004,不検出,0.001,0.005,不検出,0.001,
６街区,４,Ｄ１０－５,0.0025,不検出,0.0020,不検出,0.001,不検出,不検出,不検出,0.025,
６街区,４,Ｄ１２－５,不検出,不検出,0.0076,不検出,不検出,不検出,不検出,不検出,0.14,
６街区,４,Ｅ１１－２,不検出,不検出,0.0074,不検出,0.001,不検出,不検出,不検出,0.030,
６街区,４,Ｇ８－１,不検出,0.0039,0.0014,0.003,0.002,不検出,不検出,不検出,不検出,
６街区,４,Ｇ９－１,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.021,
６街区,４,Ｇ１２－３,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.11,
６街区,５,Ｄ１１－５,不検出,0.0024,0.0065,0.001,不検出,0.001,0.002,不検出,0.23,
７街区,１,Ｋ２４－３,0.0058,不検出,0.0014,不検出,不検出,不検出,不検出,不検出,0.010,
７街区,１,Ｋ２５－２,0.0017,0.0023,0.0011,0.004,0.008,不検出,不検出,不検出,0.009,
７街区,１,Ｌ７－６,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.009,
７街区,１,Ｌ９－７,不検出,不検出,不検出,不検出,不検出,不検出,0.002,不検出,不検出,
７街区,２,Ｉ２４－３,不検出,不検出,0.0067,不検出,不検出,不検出,0.002,不検出,0.011,
７街区,２,Ｊ８－８,不検出,不検出,不検出,不検出,不検出,不検出,0.003,不検出,0.001,
７街区,２,Ｋ８－７,0.0028,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.001,
７街区,２,Ｌ２５－１,不検出,0.0029,0.0018,不検出,不検出,不検出,不検出,不検出,0.021,
７街区,２,Ｎ１２－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.003,
７街区,３,Ｐ２１－３,不検出,不検出,不検出,不検出,不検出,不検出,0.001,不検出,0.008,
７街区,４,Ｉ１３－５,0.0030,0.0046,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,４,Ｋ６－２,0.0026,不検出,不検出,0.001,不検出,0.004,不検出,不検出,0.003,
７街区,４,Ｌ５－５,0.0022,0.0023,0.0027,不検出,0.007,不検出,不検出,不検出,0.006,
７街区,４,Ｍ５－２,0.0056,0.0010,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,４,Ｍ６－２,0.0023,0.0010,不検出,0.002,不検出,0.002,不検出,不検出,0.001,
