実験,方法試験区,土壌,設定温度（℃）,分析項目,初期値（ｍｇ／Ｌ）,処理後（ｍｇ／Ｌ）
分解特性試験,1,Ｎｏ．４,40,ベンゼン,0.033,＜０．００１
分解特性試験,2,Ｎｏ．４,60,ベンゼン,0.69,0.001
分解特性試験,3,Ｎｏ．６,20,ベンゼン,7.3,＜０．００１
分解特性試験,4,Ｎｏ．６,昇温材（小麦ぬか）,ベンゼン,18,0.002
分解特性試験,5,Ｎｏ．６,40,ベンゼン,4.5,0.001
分解特性試験,6,Ｎｏ．６,60,ベンゼン,5.5,0.002
分解特性試験,3,Ｎｏ．６,20,シアン化合物,0.52,0.54
分解特性試験,4,Ｎｏ．６,昇温材（小麦ぬか）,シアン化合物,0.56,0.56
分解特性試験,5,Ｎｏ．６,40,シアン化合物,0.59,0.53
分解特性試験,6,Ｎｏ．６,60,シアン化合物,0.54,0.51
