実験方法,分析項目,地点,土壌採取位置,原位置微生物処理初期値（ｍｇ／Ｌ）,原位置微生物処理１週間後（ｍｇ／Ｌ）,原位置微生物処理４週間後（ｍｇ／Ｌ）,原位置微生物処理９週間後（ｍｇ／Ｌ）,原位置微生物処理１３週間後（ｍｇ／Ｌ）,原位置微生物処理１５週間後（ｍｇ／Ｌ）,洗浄処理洗浄後（ｍｇ／Ｌ）,浄化判定
原位置微生物処理・洗浄処理,シアン化合物,Ｎｏ．４,Ｍ１,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,○
原位置微生物処理・洗浄処理,シアン化合物,Ｎｏ．４,Ｍ２,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,○
原位置微生物処理・洗浄処理,シアン化合物,Ｎｏ．４,Ｍ３,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,○
原位置微生物処理・洗浄処理,シアン化合物,Ｎｏ．４,Ｍ４,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,○
原位置微生物処理・洗浄処理,シアン化合物,Ｎｏ．４,Ｍ５,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,○
原位置微生物処理・洗浄処理,シアン化合物,Ｎｏ．４,Ｎｏ．４平均,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,○
原位置微生物処理・洗浄処理,シアン化合物,Ｎｏ．５,Ｍ１,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,,＜０．１,○
原位置微生物処理・洗浄処理,シアン化合物,Ｎｏ．５,Ｍ２,＜０．１,＜０．１,0.1,＜０．１,＜０．１,,＜０．１,○
原位置微生物処理・洗浄処理,シアン化合物,Ｎｏ．５,Ｍ３,0.1,＜０．１,0.1,＜０．１,＜０．１,,＜０．１,○
原位置微生物処理・洗浄処理,シアン化合物,Ｎｏ．５,Ｍ４,＜０．１,＜０．１,＜０．１,＜０．１,＜０．１,,＜０．１,○
原位置微生物処理・洗浄処理,シアン化合物,Ｎｏ．５,Ｍ５,＜０．１,＜０．１,＜０．１,＜０．１,0.1,,＜０．１,○
原位置微生物処理・洗浄処理,シアン化合物,Ｎｏ．５,Ｎｏ．５平均,0.10,＜０．１,0.10,＜０．１,0.10,,＜０．１,○
原位置微生物処理・洗浄処理,シアン化合物,Ｎｏ．６,Ｍ１,0.3,0.2,＜０．１,0.1,＜０．１,,＜０．１,○
原位置微生物処理・洗浄処理,シアン化合物,Ｎｏ．６,Ｍ２,1.0,0.9,2.9,0.6,0.6,,＜０．１,○
原位置微生物処理・洗浄処理,シアン化合物,Ｎｏ．６,Ｍ３,0.6,0.1,0.9,＜０．１,1.4,,＜０．１,○
原位置微生物処理・洗浄処理,シアン化合物,Ｎｏ．６,Ｍ４,0.3,0.2,0.3,0.1,0.2,,＜０．１,○
原位置微生物処理・洗浄処理,シアン化合物,Ｎｏ．６,Ｍ５,0.5,0.6,1.0,0.3,1.3,,＜０．１,○
原位置微生物処理・洗浄処理,シアン化合物,Ｎｏ．６,Ｎｏ．６平均,0.54,0.40,1.04,0.24,0.72,,＜０．１,○
