街区,分析パターン,調査地点,第１回結果,第２回結果,第３回結果,第４回結果,第５回結果,第６回結果,第７回結果,第８回結果,第９回結果,備考
５街区,２,Ｊ３３－９,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,２,Ｊ３５－６,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,２,Ｊ３６－６,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,２,Ｋ２９－６,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,２,Ｌ３４－４,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,２,Ｍ３５－４,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,２,Ｍ３７－３,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,２,Ｎ４１－１,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,２,Ｏ４１－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,２,Ｏ４２－７,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.1,
５街区,２,Ｐ３６－３,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.1,
５街区,２,Ｑ３７－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,４,Ｏ３８－１,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,６,Ｏ３８－３,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,６,Ｏ３９－９,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,６,Ｏ４０－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,６,Ｐ３８－１,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,６,Ｐ３８－６,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,６,Ｐ４１－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.1,
５街区,６,Ｑ３８－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,６,Ｑ３９－８,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,６,Ｑ４０－１,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,６,Ｑ４１－７,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,２,Ｂ９－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.4,
６街区,２,Ｂ１１－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.6,
６街区,２,Ｃ９－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.8,
６街区,２,Ｃ１０－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.2,
６街区,２,Ｃ１１－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.6,
６街区,２,Ｄ６－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,２,Ｄ２３－１,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,２,Ｆ６－３,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.1,
６街区,２,Ｆ９－９,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.2,
６街区,２,Ｆ１０－６,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.3,
６街区,４,Ａ１０－７,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.1,
６街区,４,Ｂ１０－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,1.0,
６街区,４,Ｃ１２－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,４,Ｃ１３－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,４,Ｄ１０－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.7,
６街区,４,Ｄ１２－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.7,
６街区,４,Ｅ１１－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.5,
６街区,４,Ｇ８－１,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,４,Ｇ９－１,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.4,
６街区,４,Ｇ１２－３,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.1,
６街区,５,Ｄ１１－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,1.0,
６街区,６,Ａ７－７,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.1,
６街区,６,Ａ１０－６,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.2,
６街区,６,Ｂ１５－９,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.4,
６街区,６,Ｃ７－１,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,６,Ｃ８－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,６,Ｃ２０－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,６,Ｃ２５－３,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,６,Ｃ２６－７,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,1.2,
６街区,６,Ｄ１３－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,６,Ｄ２４－８,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,６,Ｄ２５－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,６,Ｄ２６－７,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,６,Ｅ１０－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,６,Ｅ１２－４,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,1.2,
６街区,６,Ｅ１２－６,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.8,
６街区,６,Ｅ１３－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,６,Ｆ１１－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,1.2,
６街区,６,Ｆ２３－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,６,Ｇ６－３,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,６,Ｇ１２－１,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.2,
６街区,６,Ｇ１３－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,６,Ｚ２１－８,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,６,Ｚ２２－９,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
６街区,７,Ａ１１－３,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
