区分,対象数（Ａ）,回収数（Ｂ）,回収率（Ｂ）／（Ａ）（％）,ヒアリング実施数（Ｃ）,実施率（Ｃ）／（Ａ）（％）
水産・仲卸業者,558,193,34.6,132,23.7
青果・仲卸業者,97,77,79.4,77,79.4
関連事業者,153,85,55.6,66,43.1
合計,808,355,43.9,275,34.0
