実験方法,地点,分析項目,初期値（ｍｇ／Ｌ）,１回洗浄後（ｍｇ／Ｌ）,２回洗浄後（ｍｇ／Ｌ）,浄化判定
洗浄処理,Ｎｏ．７,シアン化合物,0.3,0.1,＜０．１,○
洗浄処理,Ｎｏ．８,ヒ素,0.39,0.075,＜０．００５,○
洗浄処理,Ｎｏ．９,ベンゼン,7.0,0.012,0.001,○
洗浄処理,Ｎｏ．９,シアン化合物,0.4,＜０．１,,○
洗浄処理,Ｎｏ．９,ヒ素,＜０．００５,＜０．００５,,○
