街灯番号,設置方式,所在地,東電柱番号,NTT柱番号,灯種,ランプ容量,ランプ数,街灯形式,配線種別,土木事務所,緯度,経度
16D079_,共架式,向原３丁目10,公社１９,製本２０,LED,20,1,ハイウェイ型,直接,板橋,35.74430573,139.6810268
16B707_,共架式,小茂根１丁目11,療護８９,二中 右６／９,LED,20,1,ハイウェイ型,直接,板橋,35.74571134,139.6798575
16D017_,共架式,小茂根１丁目11,療護８８,二中 右７／９,LED,20,1,ハイウェイ型,直接,板橋,35.74597051,139.6798491
16D019_,共架式,小茂根１丁目13,療護７６,二中 右２／２,LED,20,1,ハイウェイ型,直接,板橋,35.74715148,139.6801785
16D015_,共架式,小茂根１丁目17-8,療護６４,都営６,LED,20,1,ハイウェイ型,直接,板橋,35.7458421,139.6790928
16D014_,共架式,小茂根１丁目17,療護６５,都営支７,LED,20,1,ハイウェイ型,直接,板橋,35.74552764,139.6790865
16D010_,共架式,小茂根１丁目19-8,療護４１,,LED,20,1,ハイウェイ型,直接,板橋,35.74543073,139.6783167
16D005_,共架式,小茂根１丁目19-4,療護４３,,LED,20,1,ハイウェイ型,直接,板橋,35.74486749,139.6782868
16D011_,共架式,小茂根１丁目20-5,療護３９,,LED,20,1,ハイウェイ型,直接,板橋,35.745716,139.6783377
16D012_,共架式,小茂根１丁目21-3,療護３７,,LED,20,1,ハイウェイ型,直接,板橋,35.74638502,139.6783627
16D013_,共架式,小茂根１丁目22,療護１２,,LED,20,1,ハイウェイ型,直接,板橋,35.74697685,139.6783833
16D008_,共架式,小茂根１丁目28-3,療護５６,,LED,20,1,ハイウェイ型,直接,板橋,35.74536211,139.6775778
16D001_,共架式,小茂根１丁目30-14,療護４９,,LED,20,1,ハイウェイ型,直接,板橋,35.74552748,139.6768091
16D038_,共架式,小茂根２丁目4,小山１２７,小谷７,LED,20,1,ハイウェイ型,直接,板橋,35.75121156,139.6852609
