"年度","情報公開制度[件]","個人情報保護制度[件]","合計[件]"
"2017","0","0","0"
"2018","1","1","2"
"2019","1","1","2"
"2020","3","2","5"
"2021","0","0","0"

"令和4年度港区行政資料集　不服申立ての状況","Ver202203",,
