世代,店員の声掛け(%),警備員の巡回(%),何があっても諦めない(%),EAS(%),防犯カメラ(%),その他(%)
全体,65.6 ,17.2 ,8.0 ,2.4 ,1.0 ,5.8 
少年,72.1 ,8.4 ,7.1 ,2.6 ,0.6 ,9.1 
成人,63.3 ,20.3 ,8.7 ,3.1 ,1.4 ,3.1 
高齢者,63.3 ,20.4 ,7.5 ,0.7 ,0.7 ,7.5 
