"年度","団体数 芝地区","団体数 麻布地区","団体数 赤坂地区","団体数 高輪地区","団体数 芝浦港南地区","会員数 芝地区[人]","会員数 麻布地区[人]","会員数 赤坂地区[人]","会員数 高輪地区[人]","会員数 芝浦港南地区[人]"
"2014","78","43","35","47","28","14061","12795","7167","16627","12823"
"2015","77","43","35","47","28","13955","12910","7120","17248","13110"
"2016","77","43","35","48","30","13791","12313","7005","17607","14551"
"2017","76","43","35","48","32","13499","12076","7103","17056","16933"
"2018","76","43","35","49","32","14201","12010","7095","17158","16823"

"平成30年度港区行政資料集　町会・自治会","Ver201804",,,,,,,,,
