"年度","資源受入量 びん・缶  [kg]","資源受入量 ペットボトル  [kg]","資源受入量 資源プラスチック  [kg]","資源引渡量 プラ資源 プラ製容器包装 [kg]","資源引渡量 プラ資源 製品プラスチック [kg]","資源引渡量 ペットボトル  [kg]","資源引渡量 びん リターナブル [kg]","資源引渡量 びん ワンウェイ 無色[kg]","資源引渡量 びん ワンウェイ 茶色[kg]","資源引渡量 びん ワンウェイ その他[kg]","資源引渡量 缶 アルミ缶 [kg]","資源引渡量 缶 スチール缶 [kg]","資源引渡量 古紙 新聞 [kg]","資源引渡量 古紙 雑誌 [kg]","資源引渡量 古紙 段ボール [kg]","資源引渡量 古紙 紙パック [kg]"
"2013","4300819","1156320","2660210","1649730","575780","1099070","105370","1111020","566100","1705310","329802","339050","1148580","3523020","2965330","2810"
"2014","4246078","1159890","2608200","1609010","569250","1099350","101440","1137760","582060","1714570","363920","337290","682684","3818596","3076820","1970"
"2015","4392250","1071240","2663960","1670460","518700","1004820","82080","1154370","605450","1714860","312935","329240","875030","3783770","2840450","1910"
"2016","4371945","1080440","2568930","1589860","516440","1045940","81340","1161480","607310","1738220","340023","309680","665540","3634150","2873060","1680"
"2017","4286449","1155570","2527080","1598380","534260","1023980","77800","1186160","590100","1694310","340274","314800","1045140","3627890","2408870","1160"

"平成30年度港区行政資料集　資源化施設取扱量","Ver201803",,,,,,,,,,,,,,,
