"年度[西暦]","会社名","路線名","駅名","定期[千人]","普通[千人]"
2014,"ＪＲ線",,"新橋",56643,36022
2014,"ＪＲ線",,"浜松町",33756,22057
2014,"ＪＲ線",,"田町",37363,15024
2014,"ＪＲ線",,"品川",71424,53580
2014,"ＪＲ線",,"（参考）東京",80206,72431
2014,"ＪＲ線",,"渋谷",71637,64066
2014,"ＪＲ線",,"新宿",144885,128192
2014,"東京地下鉄（株）","銀座線","表参道",3333,7287
2014,"東京地下鉄（株）","銀座線","外苑前",6173,7233
2014,"東京地下鉄（株）","銀座線","青山一丁目",4305,5318
2014,"東京地下鉄（株）","銀座線","赤坂見附",4564,5448
2014,"東京地下鉄（株）","銀座線","溜池山王",6056,5277
2014,"東京地下鉄（株）","銀座線","虎ノ門",12210,9201
2014,"東京地下鉄（株）","銀座線","新橋",21391,21137
2014,"東京地下鉄（株）","丸ノ内線","赤坂見附",4784,5662
2014,"東京地下鉄（株）","日比谷線","神谷町",10585,6991
2014,"東京地下鉄（株）","日比谷線","六本木",9627,13828
2014,"東京地下鉄（株）","日比谷線","広尾",5343,5432
2014,"東京地下鉄（株）","千代田線","赤坂",8451,7180
2014,"東京地下鉄（株）","千代田線","乃木坂",3059,4075
2014,"東京地下鉄（株）","千代田線","表参道",3917,5545
2014,"東京地下鉄（株）","半蔵門線","表参道",3774,5924
2014,"東京地下鉄（株）","半蔵門線","青山一丁目",5657,4902
2014,"東京地下鉄（株）","南北線","白金台",1563,1580
2014,"東京地下鉄（株）","南北線","白金高輪",4025,3430
2014,"東京地下鉄（株）","南北線","麻布十番",3801,4592
2014,"東京地下鉄（株）","南北線","六本木一丁目",6647,4736
2014,"東京地下鉄（株）","南北線","溜池山王",4162,2756
2014,"都営地下鉄","浅草線","高輪台",1449,1056
2014,"都営地下鉄","浅草線","泉岳寺",19434,15203
2014,"都営地下鉄","浅草線","三田",10201,7494
2014,"都営地下鉄","浅草線","大門",9393,8155
2014,"都営地下鉄","浅草線","新橋",8609,7349
2014,"都営地下鉄","三田線","白金台",933,759
2014,"都営地下鉄","三田線","白金高輪",2420,2036
2014,"都営地下鉄","三田線","三田",10482,7112
2014,"都営地下鉄","三田線","芝公園",3170,2038
2014,"都営地下鉄","三田線","御成門",4636,2821
2014,"都営地下鉄","三田線","内幸町",4238,2943
2014,"都営地下鉄","大江戸線","汐留",4864,4283
2014,"都営地下鉄","大江戸線","大門",11570,10467
2014,"都営地下鉄","大江戸線","赤羽橋",3487,3144
2014,"都営地下鉄","大江戸線","麻布十番",2939,3743
2014,"都営地下鉄","大江戸線","六本木",7976,10352
2014,"都営地下鉄","大江戸線","青山一丁目",6683,6640
2014,"私鉄","京浜急行","泉岳寺",16942,14631
2014,"私鉄","京浜急行","品川",26610,21406
2014,"私鉄","東京モノレール","モノレール浜松町",7215,12494
2014,"私鉄","ゆりかもめ","新橋",2976,8730
2014,"私鉄","ゆりかもめ","汐留",276,1161
2014,"私鉄","ゆりかもめ","竹芝",148,678
2014,"私鉄","ゆりかもめ","日の出",77,314
2014,"私鉄","ゆりかもめ","芝浦ふ頭",381,461
2014,"私鉄","ゆりかもめ","お台場海浜公園",984,2006
2014,"私鉄","ゆりかもめ","台場",526,3724
2015,"ＪＲ線",,"新橋",59725,37615
2015,"ＪＲ線",,"浜松町",34995,21857
2015,"ＪＲ線",,"田町",38861,15613
2015,"ＪＲ線",,"品川",75683,56613
2015,"ＪＲ線",,"（参考）東京",83223,75853
2015,"ＪＲ線",,"渋谷",71599,64639
2015,"ＪＲ線",,"新宿",147885,130291
2015,"東京地下鉄（株）","銀座線","表参道",3458,7486
2015,"東京地下鉄（株）","銀座線","外苑前",6130,7331
2015,"東京地下鉄（株）","銀座線","青山一丁目",4407,5450
2015,"東京地下鉄（株）","銀座線","赤坂見附",4711,5646
2015,"東京地下鉄（株）","銀座線","溜池山王",6178,5470
2015,"東京地下鉄（株）","銀座線","虎ノ門",12992,9362
2015,"東京地下鉄（株）","銀座線","新橋",22490,22054
2015,"東京地下鉄（株）","丸ノ内線","赤坂見附",5021,5912
2015,"東京地下鉄（株）","日比谷線","神谷町",10786,7184
2015,"東京地下鉄（株）","日比谷線","六本木",9783,14236
2015,"東京地下鉄（株）","日比谷線","広尾",5490,5577
2015,"東京地下鉄（株）","千代田線","赤坂",8688,7517
2015,"東京地下鉄（株）","千代田線","乃木坂",3124,4096
2015,"東京地下鉄（株）","千代田線","表参道",4095,5794
2015,"東京地下鉄（株）","半蔵門線","表参道",3908,6111
2015,"東京地下鉄（株）","半蔵門線","青山一丁目",5811,5075
2015,"東京地下鉄（株）","南北線","白金台",1604,1671
2015,"東京地下鉄（株）","南北線","白金高輪",4174,3553
2015,"東京地下鉄（株）","南北線","麻布十番",3747,4790
