"運行ルート","行き先","停留所番号","停留所名","時刻1","時刻2","時刻3","時刻4","時刻5","時刻6","時刻7","時刻8","時刻9","時刻10","時刻11","時刻12","時刻13","時刻14","時刻15","時刻16","時刻17","時刻18","時刻19","時刻20","時刻21","時刻22","時刻23","時刻24"
"芝ルート","新橋駅","163","みなとパーク芝浦","7:58","8:28","8:58","9:28","9:58","10:28","10:58","11:28","11:58","12:28","12:58","13:28","13:58","14:28","14:58","15:28","15:58","16:28","16:58","17:28","17:58","18:28","18:58","19:28"
"芝ルート","新橋駅","1","田町駅東口","8:03","8:33","9:03","9:33","10:03","10:33","11:03","11:33","12:03","12:33","13:03","13:33","14:03","14:33","15:03","15:33","16:03","16:33","17:03","17:33","18:03","18:33","19:03","19:33"
"芝ルート","新橋駅","2","藻塩橋","8:05","8:35","9:05","9:35","10:05","10:35","11:05","11:35","12:05","12:35","13:05","13:35","14:05","14:35","15:05","15:35","16:05","16:35","17:05","17:35","18:05","18:35","19:05","19:35"
"芝ルート","新橋駅","3","田町駅前","8:08","8:38","9:08","9:38","10:08","10:38","11:08","11:38","12:08","12:38","13:08","13:38","14:08","14:38","15:08","15:38","16:08","16:38","17:08","17:38","18:08","18:38","19:08","19:38"
"芝ルート","新橋駅","4","浅草線三田駅前","8:09","8:39","9:09","9:39","10:09","10:39","11:09","11:39","12:09","12:39","13:09","13:39","14:09","14:39","15:09","15:39","16:09","16:39","17:09","17:39","18:09","18:39","19:09","19:39"
"芝ルート","新橋駅","5","三田線三田駅前","8:10","8:40","9:10","9:40","10:10","10:40","11:10","11:40","12:10","12:40","13:10","13:40","14:10","14:40","15:10","15:40","16:10","16:40","17:10","17:40","18:10","18:40","19:10","19:40"
"芝ルート","新橋駅","73-2","芝四丁目","8:12","8:42","9:12","9:42","10:12","10:42","11:12","11:42","12:12","12:42","13:12","13:42","14:12","14:42","15:12","15:42","16:12","16:42","17:12","17:42","18:12","18:42","19:12","19:42"
"芝ルート","新橋駅","74","芝一丁目","8:14","8:44","9:14","9:44","10:14","10:44","11:14","11:44","12:14","12:44","13:14","13:44","14:14","14:44","15:14","15:44","16:14","16:44","17:14","17:44","18:14","18:44","19:14","19:44"
"芝ルート","新橋駅","75","金杉橋","8:16","8:46","9:16","9:46","10:16","10:46","11:16","11:46","12:16","12:46","13:16","13:46","14:16","14:46","15:16","15:46","16:16","16:46","17:16","17:46","18:16","18:46","19:16","19:46"
"芝ルート","新橋駅","75-2","芝園橋","8:17","8:47","9:17","9:47","10:17","10:47","11:17","11:47","12:17","12:47","13:17","13:47","14:17","14:47","15:17","15:47","16:17","16:47","17:17","17:47","18:17","18:47","19:17","19:47"
"芝ルート","新橋駅","76","芝公園駅","8:19","8:49","9:19","9:49","10:19","10:49","11:19","11:49","12:19","12:49","13:19","13:49","14:19","14:49","15:19","15:49","16:19","16:49","17:19","17:49","18:19","18:49","19:19","19:49"
"芝ルート","新橋駅","77","港区役所","8:20","8:50","9:20","9:50","10:20","10:50","11:20","11:50","12:20","12:50","13:20","13:50","14:20","14:50","15:20","15:50","16:20","16:50","17:20","17:50","18:20","18:50","19:20","19:50"
"芝ルート","新橋駅","78","御成門駅","8:21","8:51","9:21","9:51","10:21","10:51","11:21","11:51","12:21","12:51","13:21","13:51","14:21","14:51","15:21","15:51","16:21","16:51","17:21","17:51","18:21","18:51","19:21","19:51"
"芝ルート","新橋駅","78-2","プラザ神明",,,,"9:55",,"10:55",,"11:55",,"12:55",,"13:55",,"14:55",,"15:55",,"16:55",,"17:55",,"18:55",,
"芝ルート","新橋駅","79","愛宕警察署","8:24","8:54","9:24","9:58","10:24","10:58","11:24","11:58","12:24","12:58","13:24","13:58","14:24","14:58","15:24","15:58","16:24","16:58","17:24","17:58","18:24","18:58","19:24","19:54"
