年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１丁目,,南野２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,4,1,12,11,5,4,6,10,6,7,4,3,8,7,6,5,4,9,4,1,1,1,0,4,7,7,9,3,39,30,0,4,6,8,5,8,7,12,7,6,7,10,0,2,8,10,4,2,4,5,8,3,3,2,3,1,9,4,4,1,6,4,0,0,0,0,17,14,8,14,0,1,2,1,9,7,5,14,8,17,28,23,5,3,7,4,1,1,6,7,16,11,9,10,6,13,3,5,1,1,0,0,5,6,7,2,1,3,3,3,0,1,20,16,6,3,3,3,1,1,2,5,5,0,19,19,13,14,10,7,3,5,4,2,7,5,22,20,9,4,13,18,2,1,5,3,6,4,0,0,4,3,1,1,0,1,2,0,0,1,1,1,0,1,6,2,507,486,993
1,2,3,12,7,4,3,5,9,4,8,1,4,9,15,9,8,5,3,2,1,1,2,1,2,3,2,13,12,41,33,3,4,6,3,7,6,3,6,6,2,6,5,4,3,8,4,5,5,3,2,3,2,0,5,6,0,5,5,2,5,7,6,4,3,1,2,12,14,17,18,2,0,4,2,7,8,11,8,17,20,38,38,4,5,4,6,1,1,3,4,25,15,6,7,6,6,4,6,2,3,0,0,6,4,3,8,2,1,4,3,3,2,16,14,6,6,1,1,3,2,2,1,2,3,23,15,15,17,13,6,1,3,4,3,2,7,17,19,10,6,12,19,1,1,5,0,12,6,0,0,3,4,3,2,0,0,2,3,3,1,3,1,0,1,7,2,538,502,"1,040"
2,3,1,11,6,6,2,11,6,6,5,4,6,13,13,12,6,4,6,1,1,2,2,2,0,8,7,13,11,34,41,3,1,11,8,13,9,3,11,7,3,6,8,3,10,11,13,4,3,5,1,6,3,3,3,1,3,5,8,1,8,7,6,7,6,1,1,10,8,15,18,1,1,2,5,8,8,5,10,14,15,28,44,3,2,3,5,0,1,3,6,16,19,12,7,9,4,2,7,3,3,0,0,7,6,8,6,2,4,2,0,2,1,18,15,9,7,0,4,2,1,4,2,3,2,12,23,26,14,9,12,2,8,6,5,6,3,16,20,2,4,22,30,1,2,9,7,5,7,0,0,7,3,2,4,0,1,0,0,3,2,1,1,0,0,12,9,559,584,"1,143"
3,4,1,10,7,3,4,6,8,8,9,3,5,30,16,10,9,8,6,3,1,0,0,0,3,8,6,9,15,54,48,5,3,6,4,5,7,2,4,7,2,5,3,4,2,6,13,4,3,4,3,6,2,3,1,1,3,6,8,4,3,9,5,0,4,1,1,14,11,19,17,1,0,4,2,10,9,5,11,11,23,31,32,1,5,6,8,1,0,4,9,12,15,9,12,9,6,2,9,5,5,0,0,9,4,10,5,2,5,3,4,1,0,14,12,7,4,2,3,3,2,3,3,3,1,13,20,31,30,8,13,5,2,1,4,7,6,18,21,3,9,24,19,2,1,6,7,6,6,0,0,4,9,6,2,0,1,4,2,1,0,3,1,2,1,5,6,584,586,"1,170"
4,4,0,10,7,2,4,5,8,2,7,1,2,25,19,10,9,5,4,3,3,0,2,2,2,6,4,14,5,42,43,1,1,8,10,9,10,5,4,5,6,4,4,10,6,7,7,5,12,3,4,4,3,2,10,1,2,9,3,2,6,6,6,8,5,0,1,12,5,21,16,4,1,4,3,15,5,9,7,15,14,43,34,1,3,2,6,1,0,6,6,10,15,11,9,8,6,3,5,5,6,0,0,9,4,3,9,0,1,5,3,1,1,13,11,8,11,3,4,3,2,2,4,3,2,12,18,21,22,6,10,6,7,8,9,9,10,12,14,3,13,23,17,1,3,6,9,8,9,0,0,7,3,4,4,1,0,2,3,1,0,1,3,0,1,11,9,582,576,"1,158"
5,2,6,7,15,3,3,7,7,6,8,5,2,22,19,10,13,5,6,1,2,2,2,6,1,4,3,9,11,67,50,6,5,6,2,9,4,5,7,3,4,2,2,2,1,8,5,6,10,6,0,7,3,5,8,1,7,5,2,6,1,4,11,5,10,0,2,9,4,24,9,0,0,5,1,13,17,9,5,20,16,47,30,2,6,9,7,0,2,5,7,16,12,9,9,8,10,6,5,4,6,0,0,6,7,9,7,3,3,4,0,2,1,9,6,9,9,5,4,2,1,4,2,2,3,7,19,25,16,8,7,3,4,10,5,9,9,11,10,2,2,21,26,3,3,8,8,2,2,0,0,2,1,2,5,1,1,2,0,1,3,2,0,0,0,5,9,607,551,"1,158"
6,3,3,13,9,6,7,3,3,4,8,5,5,28,26,9,12,7,6,0,1,0,1,6,5,9,2,9,6,49,50,4,4,4,6,9,5,4,7,5,8,6,5,8,5,7,6,7,5,3,4,5,7,3,2,0,1,7,9,5,2,8,2,3,7,0,1,4,6,14,18,2,1,4,4,13,14,5,6,18,20,32,43,3,2,3,3,1,1,6,4,15,8,14,11,14,2,6,4,4,4,0,0,7,7,14,13,4,3,0,6,1,3,8,11,11,10,4,4,1,2,3,3,1,4,10,11,30,18,4,15,5,8,7,5,10,12,10,7,12,13,28,20,1,2,1,11,4,12,0,0,8,3,8,5,3,0,2,3,2,1,3,2,3,1,6,5,608,601,"1,209"
7,1,2,8,6,6,5,6,5,4,5,4,5,35,23,21,12,8,13,1,3,3,3,3,2,4,2,14,7,46,51,6,4,9,7,10,4,8,7,7,4,3,6,2,2,9,9,7,8,3,6,3,6,10,4,3,3,10,10,3,4,4,4,2,5,3,0,6,6,9,11,0,1,4,6,18,12,7,4,23,20,24,34,5,1,3,4,0,3,5,5,10,10,12,9,7,3,3,7,6,3,0,0,7,9,13,6,3,3,4,3,0,2,6,10,8,16,2,2,4,1,6,3,3,3,10,14,20,14,7,10,10,3,8,7,9,14,10,12,6,8,33,39,3,2,6,9,6,5,0,0,0,3,6,5,2,0,3,3,3,0,4,4,1,1,10,8,621,595,"1,216"
8,5,1,7,12,9,5,8,3,17,8,2,4,32,47,8,18,5,8,0,2,0,0,2,2,4,5,14,12,64,40,7,1,5,8,5,10,5,4,3,7,5,1,1,2,8,13,10,8,2,8,3,3,8,6,1,1,7,6,2,4,4,3,6,4,2,0,5,4,18,18,0,1,4,0,19,13,6,2,19,13,16,22,1,4,6,4,3,0,7,9,15,21,15,17,5,4,7,12,1,9,0,0,11,11,10,13,4,3,6,3,2,3,17,9,14,17,2,8,3,4,6,3,5,3,11,12,18,13,10,12,7,7,9,9,17,9,13,14,13,7,35,32,1,1,6,5,8,3,0,0,4,7,6,6,1,1,8,3,3,0,2,2,1,2,5,4,666,635,"1,301"
