年齢別人口　平成２９年９月１日現在,,,,
年齢,男,女,合計,
0,528,490,"1,018",
1,536,508,"1,044",
2,573,580,"1,153",
3,568,585,"1,153",
4,584,591,"1,175",
5,604,546,"1,150",
6,627,593,"1,220",
7,599,609,"1,208",
8,664,622,"1,286",
9,636,612,"1,248",
小計,"5,919","5,736","11,655",
10,631,606,"1,237",
11,598,570,"1,168",
12,622,574,"1,196",
13,645,608,"1,253",
14,608,588,"1,196",
15,644,596,"1,240",
16,649,610,"1,259",
17,581,569,"1,150",
18,622,617,"1,239",
19,739,700,"1,439",
小計,"6,339","6,038","12,377",
20,766,738,"1,504",
21,788,780,"1,568",
22,847,759,"1,606",
23,736,740,"1,476",
24,767,781,"1,548",
25,743,688,"1,431",
26,683,667,"1,350",
27,694,688,"1,382",
28,670,681,"1,351",
29,731,678,"1,409",
小計,"7,425","7,200","14,625",
30,805,762,"1,567",
31,782,799,"1,581",
32,876,835,"1,711",
33,922,869,"1,791",
34,938,925,"1,863",
35,956,913,"1,869",
36,"1,005",927,"1,932",
37,"1,037",969,"2,006",
38,"1,096",956,"2,052",
39,"1,093","1,046","2,139",
小計,"9,510","9,001","18,511",
40,"1,168","1,063","2,231",
41,"1,160","1,106","2,266",
42,"1,230","1,183","2,413",
43,"1,270","1,223","2,493",
44,"1,273","1,260","2,533",
45,"1,361","1,242","2,603",
46,"1,247","1,208","2,455",
47,"1,182","1,163","2,345",
48,"1,211","1,180","2,391",
49,"1,210","1,149","2,359",
小計,"12,312","11,777","24,089",
50,"1,137",993,"2,130",
51,971,897,"1,868",
52,"1,050","1,042","2,092",
53,983,942,"1,925",
54,951,888,"1,839",
55,887,884,"1,771",
56,832,847,"1,679",
57,778,779,"1,557",
58,793,846,"1,639",
59,773,857,"1,630",
小計,"9,155","8,975","18,130",
60,739,830,"1,569",
61,755,875,"1,630",
62,820,923,"1,743",
63,754,936,"1,690",
64,889,"1,047","1,936",
65,956,"1,052","2,008",
66,975,"1,170","2,145",
67,"1,097","1,326","2,423",
68,"1,281","1,419","2,700",
69,"1,311","1,506","2,817",
小計,"9,577","11,084","20,661",
70,"1,204","1,325","2,529",
71,714,856,"1,570",
72,892,950,"1,842",
73,947,"1,249","2,196",
74,932,"1,094","2,026",
75,991,"1,078","2,069",
76,872,"1,013","1,885",
77,749,939,"1,688",
78,648,748,"1,396",
79,636,752,"1,388",
小計,"8,585","10,004","18,589",
80,611,719,"1,330",
81,581,743,"1,324",
82,477,629,"1,106",
83,454,521,975,
84,389,506,895,
85,323,506,829,
86,267,387,654,
87,215,354,569,
88,179,310,489,
89,128,297,425,
小計,"3,624","4,972","8,596",
90,89,250,339,
91,82,202,284,
92,61,187,248,
93,41,141,182,
94,28,111,139,
95,13,81,94,
96,12,78,90,
97,14,43,57,
98,5,33,38,
99,5,19,24,
小計,350,"1,145","1,495",
100以上,8,46,54,
合計,"72,804","75,978","148,782",
,,,,
