年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１丁目,,南野２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,1,1,13,9,6,2,12,7,5,6,2,2,7,10,9,7,5,3,2,1,1,1,0,1,3,4,6,10,37,32,0,2,8,4,4,8,6,9,5,4,6,7,3,3,7,7,5,1,4,2,8,5,1,3,5,0,4,0,5,1,3,8,2,1,0,2,17,11,13,19,2,2,3,0,7,5,7,9,17,22,29,28,4,4,6,4,1,2,4,6,22,15,8,9,6,5,1,6,4,2,0,0,8,5,5,5,0,0,5,1,1,0,20,21,6,3,1,2,2,1,3,3,5,2,26,19,9,17,9,7,1,5,5,2,4,5,20,21,10,8,4,5,2,0,3,0,11,2,0,0,3,4,4,1,0,0,2,2,1,0,0,1,0,2,4,4,510,460,970
1,2,3,7,9,4,2,12,7,6,2,4,7,8,11,9,8,5,7,2,1,0,2,1,1,7,7,14,15,50,37,4,4,4,6,13,8,5,13,7,1,6,7,4,5,12,6,2,4,5,3,5,4,1,6,4,4,8,7,1,7,6,2,7,4,2,0,10,11,16,15,1,1,1,3,8,10,6,5,13,17,43,41,8,6,3,5,0,1,2,9,15,15,8,8,8,8,4,4,2,1,0,0,2,5,5,6,3,4,2,2,4,1,18,12,6,10,2,0,4,2,2,2,1,2,15,24,21,12,13,12,3,4,4,3,6,4,19,16,5,4,5,11,1,3,3,5,6,6,0,0,7,3,0,4,0,1,1,1,3,1,3,0,0,0,13,7,552,537,"1,089"
2,3,1,13,5,4,3,6,8,6,9,3,3,20,17,9,5,7,4,3,1,0,1,2,1,6,4,11,12,43,43,4,2,8,8,6,5,3,4,7,4,7,9,3,8,6,13,5,4,5,1,9,4,2,2,2,1,4,8,3,5,8,6,2,6,0,1,11,11,17,25,1,0,3,4,9,7,2,8,16,16,27,37,0,2,5,6,1,0,6,7,16,20,9,7,8,6,2,5,7,5,0,0,10,2,9,7,2,5,3,1,0,0,19,16,9,5,1,4,0,3,4,3,4,2,14,16,33,29,7,13,1,8,3,3,8,3,18,22,5,7,15,14,0,0,8,7,5,9,0,0,4,4,6,5,0,0,2,1,3,2,0,1,2,0,9,7,564,573,"1,137"
3,4,0,6,8,3,5,6,10,6,10,1,5,31,18,8,11,6,5,2,0,0,1,1,4,7,5,17,13,57,47,4,1,4,5,5,8,2,3,8,4,5,4,8,4,9,12,6,4,1,5,6,1,4,5,1,4,7,6,1,7,8,7,3,4,1,1,16,10,22,14,2,1,4,4,11,8,8,8,12,23,46,37,1,5,4,6,0,0,6,5,12,11,15,12,9,7,1,9,3,6,0,0,7,4,7,11,3,1,4,5,2,1,13,9,6,6,2,3,5,3,3,3,2,2,15,25,22,20,9,14,5,4,5,4,6,7,14,18,4,11,16,11,1,2,6,7,5,9,0,0,5,7,4,1,1,1,3,2,1,0,3,3,0,1,5,5,594,593,"1,187"
4,3,3,10,9,2,5,9,4,4,7,6,3,26,22,14,9,3,3,3,3,0,1,5,0,4,5,8,7,39,38,8,4,7,4,11,8,6,10,3,7,3,3,5,3,4,6,7,15,4,1,6,5,3,11,1,4,5,0,3,2,3,8,10,7,0,1,8,4,23,11,3,1,1,2,18,9,7,5,18,18,43,30,2,4,5,4,1,1,6,4,12,14,8,10,8,9,4,5,4,5,0,0,6,5,6,5,0,4,4,3,2,1,12,8,10,12,4,6,4,3,1,3,4,1,4,18,23,20,8,6,6,5,6,9,8,9,11,14,1,11,18,14,3,2,9,5,8,3,0,0,2,2,3,8,1,0,2,3,0,2,2,1,0,1,11,6,575,544,"1,119"
5,3,5,12,14,5,3,3,6,5,10,2,3,18,15,6,14,6,9,0,1,2,0,5,4,8,4,11,13,58,59,3,2,5,2,6,3,2,7,3,6,3,4,4,6,9,4,7,5,4,1,4,6,6,4,1,5,7,8,8,1,5,7,2,10,0,2,5,6,18,15,2,1,5,2,12,22,5,5,23,15,42,37,3,3,9,4,1,1,6,5,17,14,10,8,11,3,7,3,6,7,0,0,8,9,9,8,4,1,2,5,0,2,9,11,8,9,4,4,0,1,6,3,0,5,11,19,28,15,4,15,3,6,9,6,7,11,11,6,6,6,16,18,1,3,2,10,4,3,0,0,7,1,3,4,2,1,2,2,3,2,2,1,0,1,5,10,581,592,"1,173"
6,3,0,10,10,7,9,4,4,4,6,5,2,39,27,16,14,10,8,1,3,1,3,4,3,6,1,11,8,48,51,6,5,7,6,10,6,8,5,7,7,4,6,5,0,10,8,6,10,4,6,4,7,7,2,2,2,8,11,2,2,6,3,1,5,0,1,4,8,12,16,0,1,4,4,18,9,6,5,17,21,25,38,5,2,1,4,1,2,6,9,12,10,17,12,10,6,5,8,4,2,0,0,8,6,16,13,3,5,2,3,1,2,6,15,7,11,4,3,4,1,1,4,2,4,7,18,31,22,3,11,6,3,10,6,14,11,12,9,9,12,26,22,3,3,3,12,8,11,0,0,3,3,9,5,1,0,1,3,2,0,3,1,4,1,9,6,631,624,"1,255"
7,2,2,4,8,4,3,6,5,9,5,4,6,30,38,16,9,4,8,0,2,1,1,3,4,5,7,10,9,62,44,7,5,5,9,8,10,7,7,4,2,2,4,2,2,6,11,11,7,2,5,4,4,8,5,1,2,8,5,2,2,5,3,7,4,5,0,6,1,13,14,0,1,6,4,15,12,6,5,21,18,22,26,1,2,6,4,3,2,6,4,13,16,16,16,5,1,6,9,4,7,0,0,8,12,8,8,4,3,4,4,2,4,11,8,13,15,1,3,4,4,10,2,5,1,12,12,13,12,8,9,9,4,8,4,12,14,8,17,7,8,29,32,2,0,7,4,6,3,0,0,1,7,6,3,2,0,8,1,1,1,2,2,1,2,8,9,623,588,"1,211"
8,4,3,8,7,12,6,9,2,15,6,1,5,34,35,7,18,4,10,1,1,0,0,4,1,6,1,17,13,63,54,5,0,8,13,4,6,3,4,4,8,9,4,3,3,5,8,5,6,2,6,3,1,6,7,2,1,6,6,2,5,3,4,2,5,1,0,5,6,16,13,1,0,5,2,21,19,5,5,17,14,14,21,2,4,4,4,1,2,5,10,16,13,14,15,4,8,5,4,3,5,0,0,10,11,14,14,6,1,5,6,0,2,12,12,15,9,3,8,0,1,2,5,6,4,12,12,15,13,11,8,7,10,8,11,13,5,17,10,15,9,41,36,2,2,6,5,10,3,0,0,4,4,7,9,4,1,6,4,3,1,2,3,0,2,3,5,655,620,"1,275"
9,2,2,5,12,7,4,3,9,9,6,4,4,37,19,16,11,6,4,3,5,0,1,4,2,6,5,17,7,53,52,4,5,4,8,6,4,3,5,4,4,5,7,1,6,7,5,10,7,3,4,11,7,3,5,5,3,3,7,6,0,10,8,4,3,0,1,8,8,6,7,1,4,2,6,16,13,4,7,18,18,10,14,6,3,6,7,1,2,3,5,8,11,14,15,8,8,5,7,6,9,0,0,6,7,18,14,6,5,5,4,0,2,10,8,11,9,0,4,1,1,4,3,4,2,15,9,15,14,16,11,6,6,9,12,15,12,12,14,9,4,35,25,1,3,4,9,8,9,0,0,1,5,10,7,1,4,5,1,2,1,1,1,2,5,9,9,624,596,"1,220"
10,5,1,12,8,7,11,4,7,3,8,5,4,26,27,12,20,5,4,5,1,1,0,3,1,7,2,12,12,61,53,6,3,4,4,9,11,5,4,9,7,4,6,6,1,7,5,5,4,8,2,4,8,5,4,2,1,6,6,3,4,3,6,4,1,1,1,6,5,6,8,2,1,4,2,10,16,7,6,21,14,6,11,4,6,1,7,1,2,7,4,11,13,19,15,3,8,6,13,8,4,0,0,8,11,12,23,4,9,4,5,1,1,5,14,9,9,3,7,5,1,6,5,2,2,9,18,18,11,12,7,13,6,8,3,13,8,16,11,11,6,37,33,0,2,3,8,8,7,0,0,3,1,7,7,0,0,9,1,2,5,2,1,3,2,9,13,623,609,"1,232"
11,2,5,7,10,13,5,8,8,5,5,2,5,35,30,13,12,3,11,2,3,2,1,5,7,6,8,14,11,58,50,4,3,8,2,11,6,4,5,5,8,2,2,5,0,8,5,12,10,6,4,3,4,8,4,1,2,11,5,6,0,5,3,0,5,1,0,5,4,11,6,0,1,6,1,9,11,7,6,20,15,9,6,1,5,9,7,2,2,6,7,11,8,17,10,4,3,6,3,6,9,0,0,9,3,16,6,8,7,4,3,1,1,9,8,14,10,6,7,1,2,5,3,1,4,7,7,7,20,5,9,6,6,12,5,8,11,13,14,9,8,34,36,3,2,8,5,7,7,0,0,5,2,10,9,1,3,3,2,0,1,0,2,1,0,8,7,625,553,"1,178"
12,1,2,6,10,6,6,8,6,9,7,5,4,26,29,14,14,13,6,5,1,1,1,1,0,6,3,11,8,68,51,3,2,12,5,6,9,2,4,4,7,8,4,4,0,12,3,5,7,5,7,8,3,6,7,2,3,5,5,3,5,9,5,4,2,0,1,6,7,8,12,1,0,4,7,11,5,6,6,16,21,7,6,1,3,7,5,4,1,5,7,20,8,14,17,4,7,5,3,8,4,0,0,10,3,10,15,3,8,6,2,1,1,8,10,7,14,6,7,4,3,6,3,2,4,10,3,10,11,11,10,9,8,9,12,10,13,11,11,12,12,36,33,3,5,4,6,9,7,0,0,4,4,3,6,0,1,2,3,2,5,1,3,1,4,3,11,618,584,"1,202"
13,3,1,11,9,7,8,3,7,7,9,2,4,25,21,19,11,7,11,3,3,0,2,4,6,3,6,13,10,56,67,3,3,4,6,10,3,3,5,5,7,4,7,4,1,2,5,10,5,4,3,1,4,5,6,3,2,9,8,4,3,7,9,1,3,0,0,5,5,8,7,0,2,3,4,4,14,7,9,33,18,6,7,4,3,7,10,3,2,10,6,15,11,14,16,6,7,8,9,3,4,0,0,5,9,19,15,5,5,5,6,0,3,9,9,14,13,5,4,3,1,7,2,3,1,7,11,11,8,10,10,10,7,10,9,7,9,10,15,7,13,26,32,5,1,11,6,9,8,0,0,2,3,2,8,1,5,3,2,1,2,2,2,3,1,7,7,597,616,"1,213"
14,7,6,8,11,12,10,10,7,11,3,6,5,17,21,15,17,7,11,4,1,0,1,4,2,4,4,11,10,64,50,1,3,9,9,10,3,4,6,5,3,3,5,3,3,5,5,10,9,3,9,6,1,7,3,4,2,8,8,8,8,6,5,3,4,2,2,9,7,9,7,1,1,3,4,8,7,3,5,22,22,5,6,5,6,7,4,4,4,7,7,6,13,21,8,7,5,2,6,12,3,0,0,8,4,13,13,8,7,5,5,3,0,12,14,20,9,8,6,1,2,4,1,4,1,8,12,13,12,9,14,6,7,9,9,7,9,13,11,10,11,30,20,6,1,14,5,7,8,0,0,3,1,4,10,0,1,3,3,7,0,1,5,4,5,4,6,652,574,"1,226"
15,4,4,8,12,6,9,8,1,6,6,5,2,23,15,18,23,10,13,4,1,0,0,4,6,6,8,14,10,54,58,4,3,5,6,5,7,2,5,3,2,2,3,1,4,6,4,6,7,3,4,8,5,5,6,4,2,8,7,10,4,13,5,4,1,0,0,6,4,8,13,1,1,6,4,14,8,3,5,22,22,14,8,5,6,5,4,1,5,10,7,11,12,11,12,10,6,14,8,2,6,0,0,8,3,15,17,6,10,1,6,2,1,12,14,9,9,5,4,2,1,2,4,4,2,7,8,13,14,8,16,13,11,8,6,6,10,10,20,12,9,18,18,2,2,13,13,3,7,0,0,1,1,8,9,2,2,2,3,7,2,3,0,3,1,14,12,621,609,"1,230"
16,5,1,4,10,9,10,9,3,8,4,8,2,23,15,24,18,14,7,3,1,3,1,7,4,8,3,9,5,56,60,6,3,7,4,6,8,8,7,6,5,5,8,1,3,8,4,9,5,4,6,5,3,8,4,1,0,9,8,5,2,11,12,5,1,0,0,3,9,8,3,0,2,0,1,6,10,13,8,22,16,10,8,3,2,12,13,6,3,7,7,8,15,11,7,5,6,6,10,7,8,0,0,7,7,9,22,5,12,2,4,3,2,12,16,14,11,2,11,2,2,4,4,2,5,8,6,8,8,5,5,9,6,11,11,4,11,6,6,9,7,15,22,1,4,9,7,7,10,0,0,6,3,7,2,3,4,9,4,1,5,0,0,4,3,14,8,619,583,"1,202"
17,4,3,9,9,6,7,11,5,5,8,3,4,21,15,18,14,6,9,2,2,1,0,2,4,2,3,12,11,64,36,3,4,6,4,6,5,4,3,1,8,4,3,2,1,4,13,11,10,5,5,8,7,3,7,4,1,11,13,4,9,10,5,0,0,2,0,9,9,12,13,3,0,1,6,4,9,5,9,27,22,5,6,4,11,14,11,1,8,15,12,9,14,13,13,8,3,13,5,6,11,0,0,8,3,12,15,5,9,5,0,2,0,10,9,11,15,13,6,0,1,7,1,2,4,5,7,9,9,6,9,11,12,8,8,8,4,9,8,7,5,13,16,2,5,7,8,10,7,0,0,6,0,4,3,1,4,5,5,2,4,0,0,6,4,8,7,605,578,"1,183"
18,3,5,6,12,3,5,3,8,4,7,5,8,11,19,17,15,10,6,1,6,3,1,5,4,6,4,11,16,56,45,2,6,7,3,4,4,2,2,6,7,5,3,0,3,10,6,5,8,4,2,2,8,6,6,0,3,13,13,1,1,13,13,0,1,0,0,6,6,9,9,1,2,1,5,6,6,5,11,19,20,12,7,15,3,4,16,3,3,11,8,15,12,16,16,6,1,11,6,5,4,0,0,6,15,21,18,8,5,5,3,2,4,15,16,10,11,9,8,1,3,3,6,1,3,10,8,7,8,9,9,7,12,11,7,14,12,8,5,6,8,15,12,3,4,6,5,7,7,0,0,5,3,4,3,2,2,6,6,5,2,2,4,3,1,14,8,594,603,"1,197"
19,1,10,13,19,10,14,7,11,5,3,4,8,19,9,28,14,13,6,2,3,0,0,4,3,4,4,19,13,67,57,5,1,5,5,6,2,6,5,7,5,9,7,3,5,15,7,10,8,2,4,2,7,6,7,1,3,17,9,5,3,7,4,5,2,1,0,9,7,20,10,5,10,12,5,1,7,8,9,22,31,12,8,9,3,6,7,4,3,9,11,11,17,10,5,6,6,7,7,9,7,0,0,6,9,12,13,3,7,2,3,2,0,18,27,19,7,9,7,4,2,6,5,2,5,14,11,14,10,13,10,5,11,8,10,24,4,13,12,13,14,13,18,4,3,8,6,10,8,0,0,18,7,4,2,1,1,3,5,1,2,0,2,4,2,13,14,734,648,"1,382"
