年齢,男,女,合計
0,517,486,"1,003"
1,546,517,"1,063"
2,565,573,"1,138"
3,593,591,"1,184"
4,568,542,"1,110"
5,605,574,"1,179"
6,591,606,"1,197"
7,656,619,"1,275"
8,647,607,"1,254"
9,629,607,"1,236"
小計,"5,917","5,722","11,639"
10,638,622,"1,260"
11,611,539,"1,150"
12,610,576,"1,186"
13,629,635,"1,264"
14,627,565,"1,192"
15,633,615,"1,248"
16,611,572,"1,183"
17,624,578,"1,202"
18,642,631,"1,273"
19,735,656,"1,391"
小計,"6,360","5,989","12,349"
20,770,774,"1,544"
21,798,765,"1,563"
22,812,785,"1,597"
23,794,744,"1,538"
24,773,744,"1,517"
25,711,684,"1,395"
26,709,703,"1,412"
27,682,686,"1,368"
28,724,679,"1,403"
29,768,720,"1,488"
小計,"7,541","7,284","14,825"
30,802,747,"1,549"
31,777,798,"1,575"
32,913,862,"1,775"
33,963,885,"1,848"
34,910,916,"1,826"
35,938,930,"1,868"
36,"1,047",928,"1,975"
37,"1,064",911,"1,975"
38,"1,069","1,016","2,085"
39,"1,160","1,064","2,224"
小計,"9,643","9,057","18,700"
40,"1,189","1,027","2,216"
41,"1,107","1,163","2,270"
42,"1,282","1,208","2,490"
43,"1,270","1,207","2,477"
44,"1,275","1,293","2,568"
45,"1,350","1,247","2,597"
46,"1,189","1,146","2,335"
47,"1,179","1,199","2,378"
48,"1,242","1,165","2,407"
49,"1,194","1,061","2,255"
小計,"12,277","11,716","23,993"
50,"1,010",931,"1,941"
51,"1,045",968,"2,013"
52,"1,052","1,013","2,065"
53,932,894,"1,826"
54,926,908,"1,834"
55,884,864,"1,748"
56,807,802,"1,609"
57,784,793,"1,577"
58,758,845,"1,603"
59,780,833,"1,613"
小計,"8,978","8,851","17,829"
60,743,842,"1,585"
61,781,928,"1,709"
62,787,931,"1,718"
63,831,957,"1,788"
64,893,"1,054","1,947"
65,987,"1,081","2,068"
66,"1,022","1,206","2,228"
67,"1,174","1,358","2,532"
68,"1,284","1,471","2,755"
69,"1,330","1,511","2,841"
小計,"9,832","11,339","21,171"
70,"1,002","1,100","2,102"
71,737,858,"1,595"
72,921,"1,014","1,935"
73,956,"1,264","2,220"
74,970,"1,080","2,050"
75,936,"1,058","1,994"
76,848,"1,027","1,875"
77,728,844,"1,572"
78,614,752,"1,366"
79,659,741,"1,400"
小計,"8,371","9,738","18,109"
80,605,717,"1,322"
81,543,729,"1,272"
82,498,547,"1,045"
83,433,549,982
84,393,512,905
85,300,461,761
86,257,400,657
87,215,318,533
88,162,339,501
89,118,273,391
小計,"3,524","4,845","8,369"
90,98,253,351
91,72,189,261
92,56,186,242
93,41,146,187
94,27,89,116
95,11,88,99
96,15,74,89
97,14,41,55
98,7,36,43
99,7,19,26
小計,348,"1,121","1,469"
100以上,7,51,58
合計,"72,798","75,713","148,511"
