年齢,男,女,合計
0,511,459,970
1,550,528,"1,078"
2,555,567,"1,122"
3,595,601,"1,196"
4,575,550,"1,125"
5,595,588,"1,183"
6,611,608,"1,219"
7,641,593,"1,234"
8,648,628,"1,276"
9,624,597,"1,221"
小計,"5,905","5,719","11,624"
10,620,619,"1,239"
11,625,549,"1,174"
12,608,576,"1,184"
13,606,618,"1,224"
14,648,569,"1,217"
15,623,616,"1,239"
16,623,574,"1,197"
17,598,581,"1,179"
18,598,610,"1,208"
19,731,647,"1,378"
小計,"6,280","5,959","12,239"
20,761,757,"1,518"
21,808,747,"1,555"
22,834,796,"1,630"
23,767,758,"1,525"
24,801,747,"1,548"
25,702,674,"1,376"
26,712,709,"1,421"
27,685,693,"1,378"
28,727,671,"1,398"
29,767,729,"1,496"
小計,"7,564","7,281","14,845"
30,772,757,"1,529"
31,826,802,"1,628"
32,920,885,"1,805"
33,935,856,"1,791"
34,913,929,"1,842"
35,957,907,"1,864"
36,"1,046",927,"1,973"
37,"1,044",931,"1,975"
38,"1,052","1,033","2,085"
39,"1,198","1,060","2,258"
小計,"9,663","9,087","18,750"
40,"1,167","1,051","2,218"
41,"1,128","1,153","2,281"
42,"1,284","1,193","2,477"
43,"1,287","1,240","2,527"
44,"1,268","1,290","2,558"
45,"1,320","1,206","2,526"
46,"1,204","1,167","2,371"
47,"1,175","1,182","2,357"
48,"1,229","1,173","2,402"
49,"1,237","1,071","2,308"
小計,"12,299","11,726","24,025"
50,932,870,"1,802"
51,"1,079","1,012","2,091"
52,"1,031",967,"1,998"
53,930,901,"1,831"
54,927,897,"1,824"
55,864,857,"1,721"
56,809,802,"1,611"
57,764,800,"1,564"
58,774,864,"1,638"
59,758,852,"1,610"
小計,"8,868","8,822","17,690"
60,770,816,"1,586"
61,777,951,"1,728"
62,787,931,"1,718"
63,860,979,"1,839"
64,907,"1,046","1,953"
65,993,"1,121","2,114"
66,"1,029","1,219","2,248"
67,"1,195","1,398","2,593"
68,"1,311","1,460","2,771"
69,"1,282","1,476","2,758"
小計,"9,911","11,397","21,308"
70,919,"1,011","1,930"
71,804,910,"1,714"
72,925,"1,074","1,999"
73,970,"1,223","2,193"
74,969,"1,075","2,044"
75,921,"1,066","1,987"
76,826,999,"1,825"
77,714,811,"1,525"
78,615,758,"1,373"
79,652,731,"1,383"
小計,"8,315","9,658","17,973"
80,613,717,"1,330"
81,541,712,"1,253"
82,488,531,"1,019"
83,428,551,979
84,380,535,915
85,287,411,698
86,250,397,647
87,215,324,539
88,153,339,492
89,115,275,390
小計,"3,470","4,792","8,262"
90,96,242,338
91,75,194,269
92,50,189,239
93,39,140,179
94,23,87,110
95,14,86,100
96,14,74,88
97,12,34,46
98,7,35,42
99,6,21,27
小計,336,"1,102","1,438"
100以上,7,51,58
合計,"72,618","75,594","148,212"
