年齢,男,女,合計
0,515,489,"1,004"
1,540,504,"1,044"
2,553,586,"1,139"
3,599,582,"1,181"
4,570,559,"1,129"
5,605,564,"1,169"
6,607,605,"1,212"
7,627,612,"1,239"
8,671,613,"1,284"
9,623,602,"1,225"
小計,"5,910","5,716","11,626"
10,629,615,"1,244"
11,616,553,"1,169"
12,611,561,"1,172"
13,641,629,"1,270"
14,619,587,"1,206"
15,638,601,"1,239"
16,636,589,"1,225"
17,597,587,"1,184"
18,632,639,"1,271"
19,740,671,"1,411"
小計,"6,359","6,032","12,391"
20,776,794,"1,570"
21,818,786,"1,604"
22,819,760,"1,579"
23,787,768,"1,555"
24,771,750,"1,521"
25,708,688,"1,396"
26,698,705,"1,403"
27,680,667,"1,347"
28,718,696,"1,414"
29,749,689,"1,438"
小計,"7,524","7,303","14,827"
30,798,760,"1,558"
31,798,801,"1,599"
32,902,843,"1,745"
33,945,899,"1,844"
34,906,913,"1,819"
35,950,923,"1,873"
36,"1,035",927,"1,962"
37,"1,042",927,"1,969"
38,"1,091",982,"2,073"
39,"1,154","1,060","2,214"
小計,"9,621","9,035","18,656"
40,"1,186","1,049","2,235"
41,"1,126","1,134","2,260"
42,"1,272","1,206","2,478"
43,"1,267","1,226","2,493"
44,"1,254","1,264","2,518"
45,"1,369","1,257","2,626"
46,"1,199","1,184","2,383"
47,"1,202","1,169","2,371"
48,"1,227","1,168","2,395"
49,"1,177","1,083","2,260"
小計,"12,279","11,740","24,019"
50,"1,093",951,"2,044"
51,981,973,"1,954"
52,"1,049","1,019","2,068"
53,983,906,"1,889"
54,922,913,"1,835"
55,886,861,"1,747"
56,818,813,"1,631"
57,796,804,"1,600"
58,777,844,"1,621"
59,760,843,"1,603"
小計,"9,065","8,927","17,992"
60,755,839,"1,594"
61,764,878,"1,642"
62,787,948,"1,735"
63,814,932,"1,746"
64,888,"1,053","1,941"
65,977,"1,073","2,050"
66,"1,019","1,215","2,234"
67,"1,121","1,327","2,448"
68,"1,290","1,434","2,724"
69,"1,322","1,560","2,882"
小計,"9,737","11,259","20,996"
70,"1,093","1,191","2,284"
71,716,822,"1,538"
72,884,969,"1,853"
73,980,"1,292","2,272"
74,943,"1,061","2,004"
75,971,"1,070","2,041"
76,841,"1,026","1,867"
77,752,875,"1,627"
78,607,741,"1,348"
79,665,764,"1,429"
小計,"8,452","9,811","18,263"
80,617,708,"1,325"
81,546,742,"1,288"
82,481,573,"1,054"
83,441,539,980
84,394,516,910
85,316,472,788
86,266,410,676
87,207,327,534
88,169,322,491
89,118,285,403
小計,"3,555","4,894","8,449"
90,92,254,346
91,82,190,272
92,62,187,249
93,39,148,187
94,27,98,125
95,11,83,94
96,16,73,89
97,14,44,58
98,4,36,40
99,7,18,25
小計,354,"1,131","1,485"
100以上,7,51,58
合計,"72,863","75,899","148,762"
