年齢,男,女,合計
0,503,498,"1,001"
1,556,510,"1,066"
2,558,577,"1,135"
3,595,586,"1,181"
4,581,550,"1,131"
5,601,563,"1,164"
6,596,607,"1,203"
7,646,622,"1,268"
8,659,598,"1,257"
9,632,603,"1,235"
小計,"5,927","5,714","11,641"
10,631,624,"1,255"
11,617,535,"1,152"
12,603,575,"1,178"
13,640,643,"1,283"
14,614,567,"1,181"
15,646,614,"1,260"
16,622,574,"1,196"
17,599,576,"1,175"
18,668,660,"1,328"
19,734,671,"1,405"
小計,"6,374","6,039","12,413"
20,767,794,"1,561"
21,823,773,"1,596"
22,819,779,"1,598"
23,778,764,"1,542"
24,773,751,"1,524"
25,712,679,"1,391"
26,707,706,"1,413"
27,676,686,"1,362"
28,722,672,"1,394"
29,766,716,"1,482"
小計,"7,543","7,320","14,863"
30,793,746,"1,539"
31,805,798,"1,603"
32,895,855,"1,750"
33,958,894,"1,852"
34,905,911,"1,816"
35,936,930,"1,866"
36,"1,062",924,"1,986"
37,"1,037",921,"1,958"
38,"1,094",991,"2,085"
39,"1,145","1,067","2,212"
小計,"9,630","9,037","18,667"
40,"1,191","1,038","2,229"
41,"1,117","1,136","2,253"
42,"1,269","1,235","2,504"
43,"1,259","1,211","2,470"
44,"1,260","1,261","2,521"
45,"1,367","1,258","2,625"
46,"1,208","1,157","2,365"
47,"1,165","1,199","2,364"
48,"1,239","1,154","2,393"
49,"1,200","1,072","2,272"
小計,"12,275","11,721","23,996"
50,"1,037",951,"1,988"
51,"1,014",961,"1,975"
52,"1,049","1,020","2,069"
53,958,886,"1,844"
54,932,913,"1,845"
55,879,863,"1,742"
56,810,815,"1,625"
57,788,796,"1,584"
58,775,848,"1,623"
59,770,838,"1,608"
小計,"9,012","8,891","17,903"
60,746,839,"1,585"
61,773,905,"1,678"
62,790,924,"1,714"
63,824,953,"1,777"
64,880,"1,057","1,937"
65,993,"1,075","2,068"
66,"1,003","1,211","2,214"
67,"1,159","1,354","2,513"
68,"1,282","1,433","2,715"
69,"1,347","1,541","2,888"
小計,"9,797","11,292","21,089"
70,"1,048","1,148","2,196"
71,724,843,"1,567"
72,894,983,"1,877"
73,961,"1,284","2,245"
74,953,"1,065","2,018"
75,962,"1,073","2,035"
76,857,"1,027","1,884"
77,733,857,"1,590"
78,607,749,"1,356"
79,673,753,"1,426"
小計,"8,412","9,782","18,194"
80,599,710,"1,309"
81,552,732,"1,284"
82,487,563,"1,050"
83,445,542,987
84,391,519,910
85,310,477,787
86,262,395,657
87,214,328,542
88,164,332,496
89,118,275,393
小計,"3,542","4,873","8,415"
90,96,260,356
91,79,196,275
92,59,181,240
93,40,145,185
94,26,92,118
95,10,86,96
96,16,72,88
97,15,40,55
98,6,39,45
99,7,17,24
小計,354,"1,128","1,482"
100以上,7,51,58
合計,"72,873","75,848","148,721"
