年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１丁目,,南野２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
9,3,3,4,9,9,3,3,6,9,5,4,2,34,22,15,9,5,5,4,4,0,1,5,2,7,4,18,12,55,63,6,3,5,10,7,5,3,6,5,4,4,7,2,6,4,4,6,8,3,2,9,6,3,8,3,3,4,4,4,1,8,7,5,3,0,1,9,7,8,9,2,2,3,6,17,12,3,11,21,19,14,13,6,3,5,7,1,2,2,5,8,9,18,14,8,8,6,6,6,7,0,0,5,6,16,15,7,5,5,6,0,2,12,9,10,10,1,5,1,1,3,4,4,3,13,11,11,12,15,11,7,6,8,14,13,10,13,11,8,7,39,30,1,4,7,5,9,11,0,0,1,5,9,9,2,1,5,2,1,2,1,2,1,5,8,5,629,607,"1,236"
10,6,0,11,10,5,13,5,10,4,9,4,5,32,27,13,17,6,5,3,1,1,0,5,2,4,3,9,9,66,44,5,5,5,5,7,12,5,4,10,5,5,7,4,2,9,6,9,5,6,4,6,7,6,2,2,1,6,8,6,3,5,7,3,1,0,1,4,6,6,8,2,2,3,4,8,18,8,7,17,15,8,16,3,3,2,9,1,3,8,5,10,14,17,18,3,8,6,13,10,5,0,0,9,13,11,23,4,8,5,3,1,1,5,10,12,8,1,4,4,1,6,5,1,1,9,14,22,13,12,6,8,7,9,4,12,8,18,13,13,6,41,32,0,1,4,12,7,3,0,0,5,1,7,6,0,3,8,1,2,5,2,1,4,1,7,14,638,622,"1,260"
11,3,3,8,7,8,4,5,7,5,1,4,6,31,29,14,16,4,8,3,2,2,1,5,7,7,7,15,11,59,54,5,1,8,2,13,6,4,4,5,9,3,2,6,0,8,4,9,8,7,4,2,6,7,6,3,2,7,2,4,1,5,3,1,3,2,0,6,6,5,6,0,2,5,1,11,11,4,5,21,12,7,5,1,7,5,4,0,1,6,5,12,10,18,10,5,5,7,3,5,11,0,0,8,2,18,6,7,7,4,5,0,1,9,11,13,9,4,8,1,1,4,1,2,3,8,10,8,19,6,8,10,5,10,5,8,10,11,14,9,8,32,36,3,3,4,4,9,9,0,0,6,3,10,6,0,2,6,1,1,1,0,2,0,1,10,8,611,539,"1,150"
12,1,5,6,15,11,4,9,5,9,10,4,3,31,23,10,14,10,9,6,0,2,1,1,0,6,4,7,9,59,49,2,4,8,5,4,7,2,4,2,6,5,5,3,0,11,2,7,8,6,5,7,2,8,7,2,1,10,8,3,4,7,5,4,2,0,1,7,7,12,11,0,0,6,5,11,6,6,7,15,17,9,5,2,4,9,6,4,2,2,8,15,8,13,12,4,5,4,4,7,3,0,0,9,4,10,10,3,9,4,3,2,1,9,10,7,14,8,9,4,3,7,4,2,5,8,4,8,12,14,11,8,7,12,7,10,12,10,12,12,11,39,39,2,5,8,5,9,7,0,0,3,3,4,8,1,1,2,3,0,4,1,3,1,4,4,9,610,576,"1,186"
13,2,1,7,9,7,7,5,8,7,9,1,5,27,31,23,8,10,8,2,3,0,2,4,4,4,4,13,12,64,69,5,2,8,6,12,5,3,4,7,7,5,6,6,1,4,7,9,3,3,5,3,4,3,5,3,4,9,8,7,4,6,7,0,4,0,0,3,5,8,6,1,2,1,5,5,13,8,7,31,18,5,8,3,2,6,8,4,2,11,6,16,11,15,18,7,6,8,8,4,5,0,0,9,9,15,19,4,4,6,4,0,2,11,9,12,17,6,4,2,1,7,3,3,2,9,7,12,7,8,12,11,8,10,12,9,11,13,14,7,14,27,32,6,0,8,8,8,5,0,0,2,5,2,9,1,6,2,3,3,3,1,2,4,1,6,10,629,635,"1,264"
14,8,5,10,9,13,10,8,5,7,5,6,4,17,17,13,18,7,12,4,1,0,1,2,4,2,4,11,9,65,50,1,4,8,8,8,3,5,6,2,3,3,5,3,0,4,4,9,11,4,6,5,2,9,5,4,0,6,7,7,5,8,5,4,2,1,2,11,6,7,10,1,1,5,4,5,8,5,8,22,26,4,6,7,7,8,7,3,3,6,7,9,13,18,10,6,6,4,6,12,3,0,0,4,3,17,14,11,6,4,7,1,1,11,11,18,7,6,4,3,3,4,1,2,1,8,13,11,14,9,10,7,9,8,9,5,4,10,12,10,9,29,23,6,1,13,6,9,9,0,0,3,1,3,9,0,0,3,2,6,0,2,4,3,4,4,5,627,565,"1,192"
15,3,4,8,9,4,8,9,4,9,4,5,3,21,19,18,22,9,11,5,0,0,0,5,4,7,8,14,11,53,53,2,2,5,6,6,8,3,6,4,4,2,6,1,7,7,5,8,8,3,6,9,3,8,5,2,4,11,9,7,7,13,8,3,3,1,0,7,5,9,12,1,1,4,3,14,9,2,6,22,19,14,8,3,5,6,4,2,5,6,7,12,12,18,12,8,6,11,4,3,4,0,0,13,4,13,14,6,12,3,4,3,1,12,18,9,9,6,6,0,1,3,4,5,1,4,8,16,12,10,17,9,8,9,4,8,15,11,20,10,10,25,15,0,2,11,12,1,7,0,0,2,1,9,9,2,3,3,4,5,2,2,1,4,2,12,10,633,615,"1,248"
16,4,2,6,12,8,11,9,2,9,5,8,0,22,15,20,16,14,7,3,2,1,1,7,6,5,3,11,5,50,60,9,3,8,5,5,6,4,4,5,4,5,4,1,3,7,2,6,2,3,4,5,5,5,3,2,0,7,9,7,3,8,9,7,1,0,0,4,10,7,2,0,2,4,2,10,7,12,10,22,16,10,11,5,2,10,10,7,4,11,8,7,14,11,10,5,7,7,11,7,4,0,0,4,5,12,23,2,9,2,4,2,2,11,16,17,10,2,11,4,1,3,5,3,3,8,9,8,8,6,6,12,7,11,15,6,9,4,7,11,6,13,28,3,4,10,7,9,7,0,0,5,2,4,4,2,4,5,1,4,4,2,0,3,2,13,9,611,572,"1,183"
17,5,2,5,10,7,7,8,6,1,8,4,5,23,17,22,14,6,11,2,1,3,0,3,3,5,5,11,9,64,42,3,5,5,5,6,5,7,7,3,4,3,5,2,1,5,14,10,10,3,4,4,5,5,7,4,0,11,9,5,8,13,5,1,0,2,0,8,7,11,13,3,0,1,3,3,11,6,10,31,23,6,4,3,9,13,15,1,5,13,8,10,9,13,11,10,2,11,8,7,14,0,0,11,5,4,12,8,12,5,2,3,0,12,9,13,16,12,4,0,1,6,0,2,6,6,7,6,10,6,9,8,9,8,5,9,6,9,8,7,6,16,14,1,5,11,9,9,9,0,0,5,1,6,3,1,4,8,4,2,4,0,0,7,5,12,7,624,578,"1,202"
18,4,4,10,13,6,4,7,6,6,5,5,7,15,16,14,14,11,8,2,3,1,0,5,4,6,3,12,13,63,47,3,5,9,4,4,6,3,3,6,10,7,5,0,3,12,6,8,8,4,6,6,9,9,8,1,2,11,14,2,3,11,13,0,1,0,0,6,6,15,11,2,3,0,8,3,7,6,10,18,19,11,9,12,4,5,12,1,3,17,12,14,18,11,19,6,5,11,5,9,7,0,0,6,14,24,26,5,6,4,2,2,2,22,15,6,8,10,8,1,4,7,7,1,2,10,9,9,9,10,10,9,11,13,10,13,11,7,3,5,9,16,18,4,4,4,2,9,7,0,0,11,1,3,2,1,1,5,7,1,3,3,2,2,0,9,7,642,631,"1,273"
19,1,10,12,21,8,16,5,11,4,4,3,7,14,10,28,17,10,6,1,5,2,1,4,5,4,4,19,16,71,58,5,2,7,5,7,4,4,4,10,6,8,5,3,4,17,12,10,6,4,4,2,6,5,2,1,4,16,9,4,1,8,5,5,2,1,0,12,8,14,12,3,9,12,6,5,7,8,10,25,27,10,6,11,3,7,10,4,3,8,13,9,11,13,9,8,4,10,6,7,7,0,0,6,8,12,13,5,6,3,2,2,1,17,26,17,11,9,8,4,1,4,5,1,6,13,11,12,9,12,8,5,12,8,6,26,6,11,13,12,11,14,19,3,4,7,8,9,8,0,0,18,4,4,3,3,1,3,5,5,1,0,2,5,2,16,13,735,656,"1,391"
20,1,5,23,18,9,5,11,15,8,8,5,3,13,17,17,18,12,4,2,1,1,2,4,4,5,6,23,16,67,69,8,3,6,4,7,4,5,4,17,6,11,12,3,10,18,11,17,8,6,2,4,8,8,14,1,5,8,14,7,6,11,14,1,2,0,0,8,8,20,11,12,15,17,7,9,7,9,15,20,43,6,6,15,4,12,11,3,5,9,10,14,26,12,9,4,7,7,12,14,13,0,0,9,11,16,15,7,5,5,2,1,0,12,23,19,13,3,10,1,2,7,0,6,2,7,10,8,10,14,17,5,13,12,12,17,3,17,8,7,18,11,10,3,3,9,6,11,11,0,0,8,10,2,6,3,4,4,3,0,3,3,1,1,1,12,15,770,774,"1,544"
21,4,10,18,22,6,8,9,13,8,8,5,7,12,19,19,14,15,13,2,0,2,0,2,5,8,6,20,25,79,47,6,1,6,7,12,6,3,10,14,12,10,9,5,5,15,21,12,5,5,4,5,6,9,7,2,4,15,16,3,6,10,9,0,1,1,1,15,7,13,13,6,6,12,7,11,14,12,13,31,27,3,13,9,5,13,6,2,5,9,28,13,14,12,15,5,8,14,9,19,8,0,0,12,12,14,16,5,9,4,4,2,2,28,12,9,13,4,4,0,2,2,6,3,4,23,13,4,9,18,20,8,6,8,7,10,10,17,11,14,5,10,11,3,3,10,7,12,12,0,0,7,10,5,4,0,3,4,2,2,1,0,3,7,2,12,17,798,765,"1,563"
22,6,5,22,24,8,9,16,5,8,8,6,3,14,21,18,16,10,9,1,1,4,1,9,5,6,5,24,20,71,59,5,4,3,7,6,4,12,4,19,20,8,8,9,9,14,12,20,13,5,2,4,3,14,6,3,2,10,11,4,5,8,7,2,0,0,0,9,16,28,13,10,8,11,14,11,19,16,12,14,20,5,12,7,10,10,12,4,0,8,21,17,19,10,12,4,6,13,4,10,6,0,0,8,8,17,22,6,3,4,1,3,5,11,18,9,12,6,9,1,1,3,3,9,6,15,17,14,10,12,17,5,9,11,15,9,7,15,13,18,19,12,17,4,2,11,7,8,12,0,0,4,9,1,7,2,1,6,3,5,1,1,1,2,1,24,17,812,785,"1,597"
23,8,4,24,21,5,10,10,9,8,7,3,4,13,16,15,12,9,9,1,0,2,2,2,3,4,7,18,27,53,45,7,3,8,5,8,4,8,7,20,12,10,12,6,17,14,13,14,7,8,9,6,2,8,5,5,2,8,11,8,7,10,5,1,0,0,1,16,15,22,17,13,9,12,9,4,16,11,11,30,34,6,15,8,5,7,5,4,1,19,22,14,27,10,13,7,5,6,5,6,3,0,0,14,11,10,9,12,5,3,2,1,1,28,28,15,12,8,13,2,6,2,2,1,3,7,21,9,6,11,6,9,7,13,9,14,6,29,10,14,10,12,7,6,1,8,5,11,12,1,0,11,6,5,6,0,2,0,5,2,1,2,0,2,3,13,19,794,744,"1,538"
24,4,2,25,22,4,8,18,12,9,5,3,4,14,13,19,17,9,7,1,0,1,3,5,2,14,8,27,22,56,37,4,5,6,2,7,7,3,8,29,15,11,22,9,10,17,12,20,6,4,8,2,3,8,14,1,4,11,8,1,5,8,4,0,0,1,0,17,14,17,19,7,9,13,9,6,29,14,13,33,28,7,11,6,4,11,9,2,4,13,21,12,13,15,13,13,6,6,5,8,8,0,0,10,12,18,18,4,8,2,1,1,1,17,19,15,11,5,10,1,0,2,5,3,3,9,12,9,7,7,6,5,8,13,7,5,8,27,15,16,14,8,10,4,1,9,5,6,12,0,0,4,9,2,5,0,2,1,0,0,4,1,1,0,1,18,19,773,744,"1,517"
25,1,3,14,22,10,7,9,8,8,5,8,3,17,17,8,8,10,6,1,3,0,3,8,6,13,12,23,14,44,45,4,5,7,8,11,7,9,9,32,13,8,10,2,10,17,8,13,12,2,2,3,5,7,9,4,5,6,11,11,6,11,9,2,1,1,0,14,12,16,15,7,3,5,14,3,10,15,16,15,24,7,7,7,7,3,3,1,1,10,14,11,18,7,4,11,12,9,10,2,4,0,0,15,13,20,15,4,5,4,2,0,1,18,19,8,14,7,4,1,2,6,3,4,7,10,13,3,11,17,10,5,7,8,5,14,7,23,11,10,11,10,10,3,2,10,4,11,16,0,0,3,2,5,3,1,0,2,0,2,3,4,1,1,2,15,15,711,684,"1,395"
26,4,4,24,17,6,8,9,11,7,5,5,4,9,7,7,10,12,12,3,2,0,0,2,3,11,14,20,17,29,41,3,3,7,8,10,7,3,8,18,18,19,22,8,4,11,11,11,8,9,8,6,5,13,8,3,5,9,12,7,6,8,7,0,2,1,1,25,13,13,17,2,9,8,11,7,12,17,12,19,43,11,7,7,9,4,5,0,1,6,16,18,16,19,9,14,6,3,5,4,3,0,0,12,9,13,11,3,3,2,0,3,1,17,29,7,9,9,10,1,2,5,2,3,2,17,18,6,5,13,4,8,3,13,9,6,3,17,17,8,13,14,10,1,3,8,7,11,16,0,0,7,3,3,3,0,0,5,1,4,2,2,0,1,1,19,15,709,703,"1,412"
27,1,1,13,16,3,8,10,10,8,12,5,3,12,8,5,12,3,5,2,2,2,1,6,2,10,4,20,18,38,40,2,3,5,9,10,6,3,13,26,19,11,9,5,9,9,9,7,12,5,5,2,7,9,7,3,2,9,6,8,8,6,16,0,0,1,0,18,10,23,18,14,3,5,6,8,11,22,12,28,17,14,10,3,4,3,8,2,0,9,21,12,17,7,12,18,6,6,6,9,9,0,0,12,15,18,12,2,5,3,4,2,4,17,17,15,9,4,6,2,1,3,3,6,6,11,18,8,6,15,14,10,7,4,9,9,9,13,17,11,8,10,15,1,2,2,6,8,7,0,0,6,8,2,1,0,3,2,4,0,1,2,3,2,0,22,14,682,686,"1,368"
28,5,5,18,11,8,7,12,18,14,6,2,2,12,10,8,4,13,6,1,2,1,0,4,2,15,9,10,22,42,28,5,2,5,4,12,8,6,12,22,20,15,14,4,2,13,9,4,9,4,5,4,11,10,8,4,5,12,10,6,8,9,2,1,1,0,0,18,14,12,20,4,7,11,6,11,7,12,14,27,17,7,14,6,8,7,9,2,1,3,11,17,14,18,20,19,8,9,5,12,6,0,0,14,10,9,14,5,6,3,4,1,3,21,20,10,14,13,5,0,0,3,1,3,4,12,21,6,6,14,18,2,3,10,5,8,4,21,20,15,8,13,17,2,2,6,4,13,16,0,0,3,8,1,2,1,2,1,4,0,0,4,2,3,1,11,12,724,679,"1,403"
29,7,4,18,11,7,5,20,19,6,3,1,5,8,13,15,12,10,8,4,1,2,0,5,3,9,11,12,19,40,42,1,7,3,4,5,7,13,7,22,17,10,10,10,6,10,12,8,9,5,8,7,3,9,11,5,1,8,5,4,10,11,4,5,3,2,0,9,11,29,15,5,5,13,4,9,10,9,18,24,21,10,21,6,3,10,9,2,2,13,8,21,17,16,14,9,12,9,10,7,7,0,0,13,7,17,12,1,3,3,2,4,3,26,25,16,10,12,5,0,2,7,1,6,3,19,14,8,13,11,20,6,11,7,10,11,5,12,22,18,9,11,16,0,3,6,7,10,18,0,0,7,7,2,0,1,2,1,3,1,0,6,2,1,1,22,17,768,720,"1,488"
30,3,4,18,19,6,13,15,16,3,16,9,7,10,13,8,7,9,6,1,1,3,2,2,1,11,11,10,15,48,47,1,7,6,5,13,4,11,8,23,12,12,11,6,5,10,19,10,7,1,2,11,5,5,12,4,4,8,9,7,9,12,9,2,1,1,0,14,14,29,16,9,5,7,5,12,9,23,10,26,23,20,23,6,3,8,4,1,1,11,13,33,18,12,7,13,21,3,6,2,2,0,0,15,12,14,12,2,1,2,4,4,0,30,21,19,13,12,11,1,1,3,4,5,4,13,23,11,14,9,9,6,4,12,9,11,6,20,23,14,14,11,23,1,0,8,10,12,13,0,0,5,6,6,4,1,0,3,3,0,1,4,2,2,0,18,13,802,747,"1,549"
31,6,7,19,14,12,10,14,15,9,8,6,5,17,13,12,12,10,13,3,2,1,0,7,4,7,6,18,8,50,46,4,7,6,9,12,4,10,12,15,10,12,16,6,7,10,16,3,5,4,6,1,9,6,13,3,8,10,13,5,3,8,10,2,4,1,0,15,17,19,24,9,3,7,7,7,9,14,20,26,34,15,17,8,4,9,7,2,2,10,8,20,30,15,23,8,22,5,4,4,4,0,0,5,12,17,11,4,4,4,8,2,6,20,13,10,21,10,4,4,2,3,3,2,1,22,23,12,13,24,20,8,9,13,12,12,7,15,7,11,6,20,15,2,2,9,6,11,11,0,0,7,6,4,5,0,0,2,3,0,3,3,2,2,1,17,12,777,798,"1,575"
32,2,0,26,20,11,10,19,18,11,10,5,1,14,13,14,12,17,7,1,5,4,2,7,8,13,9,24,18,49,54,5,2,9,7,9,9,15,8,17,18,19,13,6,8,12,18,7,4,6,7,4,8,10,5,3,5,13,11,8,8,16,5,7,8,1,2,25,23,24,22,9,2,4,4,11,10,16,17,32,23,24,44,4,6,5,1,1,2,15,12,25,17,24,25,10,14,5,9,8,10,0,0,11,8,19,12,4,2,8,4,7,2,17,18,11,15,8,8,1,0,3,4,6,3,23,30,12,17,10,18,7,9,7,11,10,14,27,20,14,10,18,16,1,1,9,9,12,11,0,0,6,10,6,4,0,1,5,6,2,1,7,3,1,3,15,18,913,862,"1,775"
33,6,3,18,15,8,9,12,19,15,12,5,7,25,23,12,9,16,8,4,3,1,1,7,6,12,7,16,16,53,40,4,4,11,13,15,9,13,5,20,16,13,9,7,7,20,17,6,5,5,5,3,2,12,7,6,3,9,6,14,7,6,9,3,8,0,0,12,11,30,25,5,2,10,9,7,18,25,12,38,30,41,42,4,3,11,9,2,2,14,16,36,23,20,11,20,11,6,5,6,9,0,0,12,11,20,21,3,4,1,4,2,2,18,22,11,14,2,10,3,4,6,10,6,6,29,23,11,18,26,18,9,11,16,10,7,8,16,31,14,18,21,24,0,2,8,15,15,11,0,0,8,3,7,9,3,0,3,5,3,2,6,5,2,3,11,13,963,885,"1,848"
