年齢,男,女,合計
0,507,486,993
1,538,502,"1,040"
2,559,584,"1,143"
3,584,586,"1,170"
4,582,576,"1,158"
5,607,551,"1,158"
6,608,601,"1,209"
7,621,595,"1,216"
8,666,635,"1,301"
9,627,594,"1,221"
小計,"5,899","5,710","11,609"
10,625,624,"1,249"
11,614,554,"1,168"
12,609,555,"1,164"
13,659,629,"1,288"
14,607,587,"1,194"
15,640,605,"1,245"
16,637,596,"1,233"
17,597,565,"1,162"
18,622,645,"1,267"
19,751,679,"1,430"
小計,"6,361","6,039","12,400"
20,763,770,"1,533"
21,813,803,"1,616"
22,841,762,"1,603"
23,749,750,"1,499"
24,787,763,"1,550"
25,713,676,"1,389"
26,697,699,"1,396"
27,683,689,"1,372"
28,694,693,"1,387"
29,739,682,"1,421"
小計,"7,479","7,287","14,766"
30,810,761,"1,571"
31,787,801,"1,588"
32,904,839,"1,743"
33,938,893,"1,831"
34,921,910,"1,831"
35,932,925,"1,857"
36,"1,032",922,"1,954"
37,"1,033",928,"1,961"
38,"1,102",990,"2,092"
39,"1,113","1,041","2,154"
小計,"9,572","9,010","18,582"
40,"1,190","1,060","2,250"
41,"1,141","1,122","2,263"
42,"1,249","1,207","2,456"
43,"1,261","1,228","2,489"
44,"1,270","1,261","2,531"
45,"1,368","1,267","2,635"
46,"1,210","1,181","2,391"
47,"1,206","1,157","2,363"
48,"1,223","1,190","2,413"
49,"1,188","1,096","2,284"
小計,"12,306","11,769","24,075"
50,"1,104",962,"2,066"
51,967,963,"1,930"
52,"1,051","1,008","2,059"
53,989,921,"1,910"
54,943,905,"1,848"
55,873,871,"1,744"
56,826,824,"1,650"
57,782,784,"1,566"
58,792,848,"1,640"
59,749,857,"1,606"
小計,"9,076","8,943","18,019"
60,757,830,"1,587"
61,767,872,"1,639"
62,788,946,"1,734"
63,812,940,"1,752"
64,889,"1,045","1,934"
65,973,"1,072","2,045"
66,"1,007","1,196","2,203"
67,"1,094","1,321","2,415"
68,"1,295","1,424","2,719"
69,"1,314","1,545","2,859"
小計,"9,696","11,191","20,887"
70,"1,140","1,237","2,377"
71,705,835,"1,540"
72,886,958,"1,844"
73,980,"1,286","2,266"
74,938,"1,056","1,994"
75,963,"1,082","2,045"
76,857,"1,020","1,877"
77,750,887,"1,637"
78,621,747,"1,368"
79,650,760,"1,410"
小計,"8,490","9,868","18,358"
80,615,712,"1,327"
81,556,744,"1,300"
82,478,592,"1,070"
83,451,523,974
84,389,518,907
85,316,478,794
86,262,405,667
87,212,338,550
88,176,312,488
89,118,290,408
小計,"3,573","4,912","8,485"
90,92,252,344
91,80,198,278
92,63,183,246
93,38,139,177
94,30,106,136
95,10,78,88
96,14,79,93
97,16,42,58
98,3,34,37
99,7,17,24
小計,353,"1,128","1,481"
100以上,8,52,60
合計,"72,813","75,909","148,722"
