年齢,男,女,合計
0,510,460,970
1,552,537,"1,089"
2,564,573,"1,137"
3,594,593,"1,187"
4,575,544,"1,119"
5,581,592,"1,173"
6,631,624,"1,255"
7,623,588,"1,211"
8,655,620,"1,275"
9,624,596,"1,220"
小計,"5,909","5,727","11,636"
10,623,609,"1,232"
11,625,553,"1,178"
12,618,584,"1,202"
13,597,616,"1,213"
14,652,574,"1,226"
15,621,609,"1,230"
16,619,583,"1,202"
17,605,578,"1,183"
18,594,603,"1,197"
19,734,648,"1,382"
小計,"6,288","5,957","12,245"
20,780,744,"1,524"
21,804,751,"1,555"
22,811,795,"1,606"
23,793,782,"1,575"
24,791,750,"1,541"
25,712,677,"1,389"
26,721,703,"1,424"
27,679,693,"1,372"
28,725,676,"1,401"
29,788,726,"1,514"
小計,"7,604","7,297","14,901"
30,770,770,"1,540"
31,818,812,"1,630"
32,928,876,"1,804"
33,932,865,"1,797"
34,926,933,"1,859"
35,981,903,"1,884"
36,"1,027",917,"1,944"
37,"1,038",945,"1,983"
38,"1,079","1,023","2,102"
39,"1,194","1,069","2,263"
小計,"9,693","9,113","18,806"
40,"1,148","1,079","2,227"
41,"1,142","1,150","2,292"
42,"1,286","1,191","2,477"
43,"1,295","1,243","2,538"
44,"1,282","1,298","2,580"
45,"1,288","1,188","2,476"
46,"1,224","1,185","2,409"
47,"1,182","1,175","2,357"
48,"1,239","1,158","2,397"
49,"1,209","1,091","2,300"
小計,"12,295","11,758","24,053"
50,905,839,"1,744"
51,"1,106","1,030","2,136"
52,"1,006",963,"1,969"
53,950,916,"1,866"
54,922,892,"1,814"
55,842,860,"1,702"
56,823,775,"1,598"
57,756,819,"1,575"
58,787,880,"1,667"
59,745,842,"1,587"
小計,"8,842","8,816","17,658"
60,774,823,"1,597"
61,796,947,"1,743"
62,779,932,"1,711"
63,857,981,"1,838"
64,930,"1,074","2,004"
65,999,"1,126","2,125"
66,"1,021","1,215","2,236"
67,"1,259","1,459","2,718"
68,"1,301","1,466","2,767"
69,"1,275","1,424","2,699"
小計,"9,991","11,447","21,438"
70,860,972,"1,832"
71,819,914,"1,733"
72,944,"1,124","2,068"
73,963,"1,211","2,174"
74,978,"1,071","2,049"
75,893,"1,058","1,951"
76,819,984,"1,803"
77,724,814,"1,538"
78,602,744,"1,346"
79,668,743,"1,411"
小計,"8,270","9,635","17,905"
80,600,729,"1,329"
81,525,692,"1,217"
82,489,508,997
83,435,583,"1,018"
84,362,505,867
85,292,411,703
86,253,384,637
87,213,331,544
88,136,334,470
89,120,269,389
小計,"3,425","4,746","8,171"
90,90,229,319
91,80,205,285
92,47,182,229
93,37,135,172
94,21,97,118
95,16,81,97
96,16,73,89
97,9,34,43
98,8,31,39
99,5,21,26
小計,329,"1,088","1,417"
100以上,8,55,63
合計,"72,654","75,639","148,293"
