年齢,男,女,合計
0,514,462,976
1,546,510,"1,056"
2,559,577,"1,136"
3,599,601,"1,200"
4,544,541,"1,085"
5,614,584,"1,198"
6,599,604,"1,203"
7,641,609,"1,250"
8,656,625,"1,281"
9,622,587,"1,209"
小計,"5,894","5,700","11,594"
10,632,635,"1,267"
11,621,530,"1,151"
12,604,583,"1,187"
13,620,633,"1,253"
14,622,560,"1,182"
15,644,599,"1,243"
16,601,581,"1,182"
17,621,585,"1,206"
18,591,616,"1,207"
19,731,641,"1,372"
小計,"6,287","5,963","12,250"
20,766,741,"1,507"
21,784,743,"1,527"
22,852,792,"1,644"
23,782,756,"1,538"
24,783,730,"1,513"
25,715,696,"1,411"
26,705,680,"1,385"
27,671,697,"1,368"
28,717,672,"1,389"
29,766,732,"1,498"
小計,"7,541","7,239","14,780"
30,792,757,"1,549"
31,789,787,"1,576"
32,915,885,"1,800"
33,943,858,"1,801"
34,908,909,"1,817"
35,951,921,"1,872"
36,"1,051",923,"1,974"
37,"1,042",915,"1,957"
38,"1,067","1,035","2,102"
39,"1,177","1,055","2,232"
小計,"9,635","9,045","18,680"
40,"1,185","1,053","2,238"
41,"1,098","1,152","2,250"
42,"1,281","1,202","2,483"
43,"1,294","1,227","2,521"
44,"1,253","1,280","2,533"
45,"1,341","1,214","2,555"
46,"1,207","1,163","2,370"
47,"1,172","1,198","2,370"
48,"1,243","1,167","2,410"
49,"1,213","1,063","2,276"
小計,"12,287","11,719","24,006"
50,963,903,"1,866"
51,"1,061",986,"2,047"
52,"1,043",991,"2,034"
53,934,885,"1,819"
54,920,908,"1,828"
55,881,865,"1,746"
56,795,808,"1,603"
57,773,778,"1,551"
58,764,872,"1,636"
59,763,845,"1,608"
小計,"8,897","8,841","17,738"
60,759,829,"1,588"
61,790,922,"1,712"
62,785,910,"1,695"
63,833,997,"1,830"
64,902,"1,041","1,943"
65,"1,004","1,105","2,109"
66,"1,007","1,202","2,209"
67,"1,178","1,399","2,577"
68,"1,310","1,452","2,762"
69,"1,313","1,491","2,804"
小計,"9,881","11,348","21,229"
70,942,"1,062","2,004"
71,769,877,"1,646"
72,925,"1,043","1,968"
73,979,"1,258","2,237"
74,950,"1,071","2,021"
75,933,"1,058","1,991"
76,830,"1,003","1,833"
77,731,832,"1,563"
78,615,761,"1,376"
79,649,733,"1,382"
小計,"8,323","9,698","18,021"
80,610,709,"1,319"
81,554,732,"1,286"
82,483,531,"1,014"
83,431,556,987
84,385,526,911
85,297,437,734
86,255,392,647
87,213,327,540
88,151,343,494
89,120,265,385
小計,"3,499","4,818","8,317"
90,94,247,341
91,78,199,277
92,49,181,230
93,41,146,187
94,25,87,112
95,12,87,99
96,14,73,87
97,13,38,51
98,7,32,39
99,7,19,26
小計,340,"1,109","1,449"
100以上,7,52,59
合計,"72,591","75,532","148,123"
