年齢別人口　平成29年11月1日現在,,,,
年齢,男,女,合計,
0,535,466,"1,001",
1,523,499,"1,022",
2,579,576,"1,155",
3,558,594,"1,152",
4,599,589,"1,188",
5,584,554,"1,138",
6,611,583,"1,194",
7,617,624,"1,241",
8,633,594,"1,227",
9,642,630,"1,272",
小計,"5,881","5,709","11,590",
10,645,600,"1,245",
11,608,595,"1,203",
12,625,547,"1,172",
13,636,600,"1,236",
14,611,610,"1,221",
15,642,581,"1,223",
16,629,607,"1,236",
17,618,585,"1,203",
18,600,601,"1,201",
19,731,707,"1,438",
小計,"6,345","6,033","12,378",
20,778,722,"1,500",
21,806,785,"1,591",
22,852,780,"1,632",
23,748,741,"1,489",
24,765,774,"1,539",
25,727,717,"1,444",
26,699,636,"1,335",
27,673,660,"1,333",
28,679,688,"1,367",
29,737,685,"1,422",
小計,"7,464","7,188","14,652",
30,802,739,"1,541",
31,762,786,"1,548",
32,842,811,"1,653",
33,942,884,"1,826",
34,926,901,"1,827",
35,965,928,"1,893",
36,977,922,"1,899",
37,"1,054",952,"2,006",
38,"1,093",960,"2,053",
39,"1,101","1,028","2,129",
小計,"9,464","8,911","18,375",
40,"1,171","1,085","2,256",
41,"1,154","1,091","2,245",
42,"1,162","1,154","2,316",
43,"1,310","1,236","2,546",
44,"1,281","1,243","2,524",
45,"1,326","1,274","2,600",
46,"1,272","1,226","2,498",
47,"1,187","1,173","2,360",
48,"1,200","1,147","2,347",
49,"1,232","1,146","2,378",
小計,"12,295","11,775","24,070",
50,"1,171","1,053","2,224",
51,928,859,"1,787",
52,"1,085","1,055","2,140",
53,"1,009",968,"1,977",
54,930,921,"1,851",
55,905,857,"1,762",
56,840,855,"1,695",
57,802,779,"1,581",
58,773,835,"1,608",
59,792,876,"1,668",
小計,"9,235","9,058","18,293",
60,721,828,"1,549",
61,763,829,"1,592",
62,808,941,"1,749",
63,773,954,"1,727",
64,853,"1,006","1,859",
65,948,"1,049","1,997",
66,982,"1,155","2,137",
67,"1,056","1,290","2,346",
68,"1,242","1,422","2,664",
69,"1,322","1,466","2,788",
小計,"9,468","10,940","20,408",
70,"1,232","1,383","2,615",
71,768,895,"1,663",
72,850,937,"1,787",
73,955,"1,216","2,171",
74,938,"1,115","2,053",
75,980,"1,099","2,079",
76,881,"1,009","1,890",
77,776,963,"1,739",
78,666,782,"1,448",
79,615,744,"1,359",
小計,"8,661","10,143","18,804",
80,616,713,"1,329",
81,597,722,"1,319",
82,494,650,"1,144",
83,443,507,950,
84,390,544,934,
85,328,497,825,
86,262,390,652,
87,222,364,586,
88,185,317,502,
89,116,296,412,
小計,"3,653","5,000","8,653",
90,103,247,350,
91,80,213,293,
92,67,186,253,
93,40,142,182,
94,29,113,142,
95,18,84,102,
96,12,72,84,
97,15,58,73,
98,3,29,32,
99,5,20,25,
小計,372,"1,164","1,536",
100以上,8,47,55,
合計,"72,846","75,968","148,814",
,,,,
