年齢,男,女,合計
0,511,481,992
1,534,507,"1,041"
2,561,583,"1,144"
3,583,574,"1,157"
4,574,592,"1,166"
5,614,559,"1,173"
6,611,583,"1,194"
7,611,610,"1,221"
8,667,624,"1,291"
9,631,601,"1,232"
小計,"5,897","5,714","11,611"
10,615,616,"1,231"
11,630,563,"1,193"
12,613,567,"1,180"
13,632,613,"1,245"
14,621,585,"1,206"
15,639,605,"1,244"
16,641,601,"1,242"
17,588,570,"1,158"
18,613,619,"1,232"
19,747,692,"1,439"
小計,"6,339","6,031","12,370"
20,790,760,"1,550"
21,797,789,"1,586"
22,836,770,"1,606"
23,749,751,"1,500"
24,774,775,"1,549"
25,738,678,"1,416"
26,682,677,"1,359"
27,695,695,"1,390"
28,691,682,"1,373"
29,725,699,"1,424"
小計,"7,477","7,276","14,753"
30,815,743,"1,558"
31,796,814,"1,610"
32,875,839,"1,714"
33,944,861,"1,805"
34,918,926,"1,844"
35,950,934,"1,884"
36,"1,015",913,"1,928"
37,"1,038",953,"1,991"
38,"1,103",976,"2,079"
39,"1,118","1,041","2,159"
小計,"9,572","9,000","18,572"
40,"1,150","1,067","2,217"
41,"1,142","1,102","2,244"
42,"1,267","1,203","2,470"
43,"1,252","1,224","2,476"
44,"1,279","1,243","2,522"
45,"1,353","1,280","2,633"
46,"1,229","1,182","2,411"
47,"1,203","1,166","2,369"
48,"1,220","1,181","2,401"
49,"1,206","1,129","2,335"
小計,"12,301","11,777","24,078"
50,"1,115",972,"2,087"
51,970,935,"1,905"
52,"1,044","1,028","2,072"
53,997,922,"1,919"
54,944,890,"1,834"
55,882,883,"1,765"
56,832,842,"1,674"
57,778,769,"1,547"
58,790,846,"1,636"
59,768,863,"1,631"
小計,"9,120","8,950","18,070"
60,750,840,"1,590"
61,758,867,"1,625"
62,800,939,"1,739"
63,771,917,"1,688"
64,894,"1,046","1,940"
65,950,"1,059","2,009"
66,"1,014","1,198","2,212"
67,"1,085","1,312","2,397"
68,"1,279","1,421","2,700"
69,"1,321","1,539","2,860"
小計,"9,622","11,138","20,760"
70,"1,170","1,279","2,449"
71,704,847,"1,551"
72,892,945,"1,837"
73,973,"1,273","2,246"
74,923,"1,073","1,996"
75,985,"1,089","2,074"
76,862,"1,008","1,870"
77,744,918,"1,662"
78,635,746,"1,381"
79,652,764,"1,416"
小計,"8,540","9,942","18,482"
80,607,708,"1,315"
81,577,756,"1,333"
82,467,600,"1,067"
83,455,529,984
84,391,503,894
85,324,496,820
86,260,392,652
87,219,346,565
88,172,316,488
89,125,291,416
小計,"3,597","4,937","8,534"
90,89,254,343
91,78,200,278
92,65,183,248
93,40,140,180
94,30,109,139
95,9,79,88
96,14,79,93
97,15,42,57
98,3,31,34
99,6,19,25
小計,349,"1,136","1,485"
100以上,7,47,54
合計,"72,821","75,948","148,769"
