年齢別人口　平成２９年１２月１日現在,,,,
年齢,男,女,合計,
0,530,465,995,
1,526,504,"1,030",
2,564,581,"1,145",
3,561,584,"1,145",
4,604,598,"1,202",
5,588,541,"1,129",
6,599,582,"1,181",
7,619,639,"1,258",
8,630,591,"1,221",
9,651,627,"1,278",
小計,"5,872","5,712","11,584",
10,640,609,"1,249",
11,614,586,"1,200",
12,635,555,"1,190",
13,619,595,"1,214",
14,610,614,"1,224",
15,654,577,"1,231",
16,611,597,"1,208",
17,623,597,"1,220",
18,629,597,"1,226",
19,693,682,"1,375",
小計,"6,328","6,009","12,337",
20,774,720,"1,494",
21,808,788,"1,596",
22,840,778,"1,618",
23,763,736,"1,499",
24,762,779,"1,541",
25,728,708,"1,436",
26,709,623,"1,332",
27,676,661,"1,337",
28,677,686,"1,363",
29,736,677,"1,413",
小計,"7,473","7,156","14,629",
30,787,735,"1,522",
31,771,784,"1,555",
32,836,808,"1,644",
33,930,899,"1,829",
34,919,884,"1,803",
35,974,937,"1,911",
36,982,925,"1,907",
37,"1,038",937,"1,975",
38,"1,085",963,"2,048",
39,"1,111","1,013","2,124",
小計,"9,433","8,885","18,318",
40,"1,170","1,092","2,262",
41,"1,155","1,086","2,241",
42,"1,162","1,150","2,312",
43,"1,302","1,227","2,529",
44,"1,274","1,257","2,531",
45,"1,313","1,273","2,586",
46,"1,277","1,208","2,485",
47,"1,209","1,186","2,395",
48,"1,194","1,157","2,351",
49,"1,229","1,161","2,390",
小計,"12,285","11,797","24,082",
50,"1,190","1,074","2,264",
51,903,843,"1,746",
52,"1,096","1,053","2,149",
53,"1,011",972,"1,983",
54,944,919,"1,863",
55,906,870,"1,776",
56,837,849,"1,686",
57,811,775,"1,586",
58,769,828,"1,597",
59,785,885,"1,670",
小計,"9,252","9,068","18,320",
60,719,821,"1,540",
61,771,823,"1,594",
62,799,954,"1,753",
63,778,940,"1,718",
64,843,988,"1,831",
65,945,"1,067","2,012",
66,982,"1,148","2,130",
67,"1,026","1,244","2,270",
68,"1,235","1,437","2,672",
69,"1,327","1,463","2,790",
小計,"9,425","10,885","20,310",
70,"1,238","1,395","2,633",
71,804,935,"1,739",
72,837,920,"1,757",
73,939,"1,162","2,101",
74,941,"1,167","2,108",
75,979,"1,076","2,055",
76,867,"1,029","1,896",
77,794,954,"1,748",
78,681,807,"1,488",
79,593,735,"1,328",
小計,"8,673","10,180","18,853",
80,638,718,"1,356",
81,579,730,"1,309",
82,501,654,"1,155",
83,449,501,950,
84,380,550,930,
85,348,514,862,
86,264,388,652,
87,218,373,591,
88,187,311,498,
89,116,302,418,
小計,"3,680","5,041","8,721",
90,108,242,350,
91,78,220,298,
92,73,181,254,
93,38,150,188,
94,31,111,142,
95,19,84,103,
96,11,68,79,
97,13,60,73,
98,7,32,39,
99,4,19,23,
小計,382,"1,167","1,549",
100以上,9,46,55,
合計,"72,812","75,946","148,758",
,,,,
