"年度","新規相談受理数[件]","親子ふれあい広場利用者数[人]"
"2017","1088","22351"
"2018","1277","20603"
"2019","1440","16557"
"2020","1663","4035"
"2021","2048","12655"

"令和4年度港区行政資料集　施設利用状況一覧 子ども家庭支援センター","Ver202203",
