年齢別人口　令和５年１月１日現在,,,,
年齢,男,女,合計,
0,348,360,708,
1,402,373,775,
2,434,441,875,
3,526,459,985,
4,484,450,934,
5,555,516,"1,071",
6,543,532,"1,075",
7,538,552,"1,090",
8,588,590,"1,178",
9,623,592,"1,215",
小計,"5,041","4,865","9,906",
10,606,531,"1,137",
11,595,581,"1,176",
12,632,639,"1,271",
13,634,605,"1,239",
14,651,653,"1,304",
15,646,616,"1,262",
16,655,619,"1,274",
17,616,573,"1,189",
18,653,620,"1,273",
19,718,703,"1,421",
小計,"6,406","6,140","12,546",
20,751,686,"1,437",
21,790,764,"1,554",
22,804,782,"1,586",
23,738,768,"1,506",
24,741,744,"1,485",
25,712,698,"1,410",
26,771,714,"1,485",
27,713,673,"1,386",
28,711,685,"1,396",
29,725,688,"1,413",
小計,"7,456","7,202","14,658",
30,716,608,"1,324",
31,717,662,"1,379",
32,735,632,"1,367",
33,706,638,"1,344",
34,770,729,"1,499",
35,849,766,"1,615",
36,804,771,"1,575",
37,867,842,"1,709",
38,927,899,"1,826",
39,956,914,"1,870",
小計,"8,047","7,461","15,508",
40,953,968,"1,921",
41,944,906,"1,850",
42,"1,042",923,"1,965",
43,"1,067",970,"2,037",
44,"1,120","1,036","2,156",
45,"1,150","1,146","2,296",
46,"1,188","1,082","2,270",
47,"1,154","1,148","2,302",
48,"1,278","1,241","2,519",
49,"1,311","1,228","2,539",
小計,"11,207","10,648","21,855",
50,"1,318","1,303","2,621",
51,"1,292","1,183","2,475",
52,"1,231","1,200","2,431",
53,"1,169","1,165","2,334",
54,"1,225","1,171","2,396",
55,"1,191","1,073","2,264",
56,899,845,"1,744",
57,"1,088","1,044","2,132",
58,"1,006",973,"1,979",
59,951,917,"1,868",
小計,"11,370","10,874","22,244",
60,900,873,"1,773",
61,831,841,"1,672",
62,802,772,"1,574",
63,768,820,"1,588",
64,754,858,"1,612",
65,728,823,"1,551",
66,749,803,"1,552",
67,745,928,"1,673",
68,745,922,"1,667",
69,808,986,"1,794",
小計,"7,830","8,626","16,456",
70,860,"1,062","1,922",
71,944,"1,087","2,031",
72,954,"1,195","2,149",
73,"1,168","1,413","2,581",
74,"1,209","1,418","2,627",
75,"1,145","1,368","2,513",
76,767,944,"1,711",
77,706,864,"1,570",
78,825,"1,070","1,895",
79,849,"1,132","1,981",
小計,"9,427","11,553","20,980",
80,851,994,"1,845",
81,738,946,"1,684",
82,679,883,"1,562",
83,589,719,"1,308",
84,457,618,"1,075",
85,488,593,"1,081",
86,400,589,989,
87,334,548,882,
88,292,404,696,
89,226,425,651,
小計,"5,054","6,719","11,773",
90,199,345,544,
91,151,267,418,
92,109,229,338,
93,80,175,255,
94,42,164,206,
95,40,124,164,
96,29,92,121,
97,16,66,82,
98,9,48,57,
99,4,33,37,
小計,679,"1,543","2,222",
100以上,8,54,62,
合計,"72,525","75,685","148,210",
,,,,
