年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,18,12,3,7,4,2,10,6,2,9,3,5,8,7,6,7,3,5,4,0,4,1,3,3,4,4,6,5,21,26,1,5,2,7,7,6,11,8,7,6,0,5,1,3,5,7,7,2,2,0,1,3,7,5,1,0,4,8,2,3,3,5,1,3,0,0,2,4,8,6,1,0,3,5,2,1,10,5,11,14,6,13,1,0,2,4,0,0,1,1,9,8,12,12,5,4,2,1,4,1,0,0,4,2,5,5,2,1,0,1,1,0,8,5,4,3,0,0,2,1,1,1,3,2,9,11,3,4,2,6,2,2,3,2,7,2,16,11,3,3,8,14,0,1,2,0,8,9,7,4,0,4,0,0,0,1,0,3,0,0,1,0,7,8,348,360,708
1,10,8,8,11,4,3,10,6,3,4,3,3,10,13,3,4,5,6,3,3,2,5,0,1,6,4,9,11,30,24,4,3,10,8,9,5,8,6,8,5,5,4,1,1,10,9,12,3,5,7,6,7,2,1,0,1,4,3,2,0,3,6,1,2,1,0,9,11,5,5,0,1,2,5,1,2,6,9,8,12,10,12,4,1,3,2,0,0,2,1,4,8,10,15,5,3,4,6,5,3,0,0,5,2,4,3,0,1,2,2,1,0,21,8,4,5,2,3,0,0,0,1,1,1,9,6,8,6,4,3,2,3,2,4,3,3,8,13,3,3,22,14,1,0,3,1,9,5,3,3,2,3,0,0,0,0,0,0,1,2,0,1,7,4,402,373,775
2,12,5,10,5,4,1,9,7,4,6,4,2,14,19,6,6,1,10,1,3,2,1,3,3,5,2,9,4,24,26,1,2,6,5,7,7,8,14,13,8,5,3,5,2,9,10,3,4,4,7,2,10,4,7,2,0,6,7,2,3,3,5,5,0,1,1,6,7,8,9,1,0,4,4,3,3,7,9,11,12,13,15,2,5,2,0,0,0,2,4,15,8,17,16,5,7,1,2,2,2,0,0,5,5,4,6,1,2,3,1,0,0,15,11,8,6,0,0,0,4,0,2,3,3,16,15,12,10,6,6,3,3,2,5,3,6,16,11,7,6,17,20,1,0,3,5,3,2,3,3,2,3,0,0,0,1,0,1,1,1,0,1,7,4,434,441,875
3,6,8,13,11,5,7,7,9,5,8,6,7,12,9,6,3,8,10,3,0,1,3,1,2,11,5,17,11,29,36,1,6,6,7,4,2,2,6,5,7,7,7,2,3,10,7,6,6,5,10,6,3,2,4,2,1,8,6,5,1,4,11,1,2,0,0,12,7,10,6,1,0,4,3,4,3,12,5,11,10,20,13,4,4,9,3,0,0,6,3,15,12,19,12,7,8,10,5,7,3,0,0,8,1,4,6,3,2,2,1,1,2,14,15,4,4,0,3,2,2,1,0,2,2,14,10,6,10,15,9,4,4,1,1,7,1,12,11,3,7,29,24,1,2,5,6,8,5,10,4,4,4,0,0,1,0,1,0,0,0,1,0,6,8,526,459,985
4,3,8,9,8,5,3,5,4,6,9,2,4,10,11,4,9,7,8,1,0,2,2,1,6,3,7,6,8,42,29,8,4,6,7,9,9,7,5,3,4,8,4,2,1,14,7,6,5,2,4,6,4,7,4,2,0,5,3,2,2,7,3,1,3,2,0,11,10,5,10,1,2,5,5,2,5,5,8,19,13,23,19,2,4,3,3,0,0,5,3,14,13,19,16,2,3,2,7,2,6,0,0,2,2,8,5,0,3,1,2,0,0,17,9,6,8,2,4,3,1,0,2,3,5,11,10,15,8,8,3,1,3,3,5,5,4,11,9,5,6,31,23,0,1,5,6,6,3,3,6,5,4,0,0,1,1,1,0,0,1,2,0,6,4,484,450,934
5,7,7,10,8,2,5,5,8,5,7,3,4,16,9,9,8,6,7,4,0,4,2,4,3,8,7,15,9,37,38,1,5,4,11,14,6,7,9,7,7,7,3,3,3,11,9,6,8,5,8,4,5,3,0,1,1,13,10,2,2,5,6,1,6,0,0,14,19,11,10,0,1,6,6,12,5,5,9,12,14,19,14,6,2,6,5,0,0,4,4,18,8,9,19,4,6,10,5,2,4,0,0,8,6,8,4,2,3,1,3,2,1,12,10,9,8,3,2,0,0,1,1,1,1,17,17,14,14,8,8,8,4,4,5,6,3,21,21,3,2,25,23,0,1,12,6,6,3,3,2,2,3,0,1,3,1,1,2,0,0,1,1,7,8,555,516,"1,071"
6,4,8,14,9,7,4,6,5,2,5,4,5,7,12,10,5,9,8,1,2,5,2,3,4,5,3,6,6,36,35,1,2,8,3,12,9,6,10,5,7,3,3,5,0,8,14,8,10,10,5,9,4,5,7,1,1,8,2,5,3,8,7,3,2,1,2,13,16,6,14,0,0,6,3,7,4,10,8,12,18,28,22,4,1,6,7,1,1,2,2,15,13,12,18,5,4,3,8,3,4,0,0,6,8,4,3,2,2,3,0,0,0,12,15,6,7,2,3,3,2,3,2,1,2,26,17,9,18,8,8,0,2,7,7,6,3,19,21,6,9,27,27,4,1,9,4,7,5,5,7,2,3,0,0,1,0,1,0,2,2,1,0,3,7,543,532,"1,075"
7,2,10,9,10,3,3,8,3,5,6,6,3,15,9,10,7,6,7,2,1,0,1,2,1,7,7,8,11,51,42,7,3,2,6,14,12,5,14,6,3,4,4,3,3,11,8,4,7,9,5,8,4,2,5,2,1,8,7,1,10,6,7,8,6,2,0,8,11,10,11,1,0,3,5,7,10,5,6,13,8,35,42,3,5,1,5,0,0,2,6,12,11,10,13,5,2,10,8,1,2,0,0,4,5,2,7,4,5,1,3,3,1,11,14,10,10,0,3,2,1,1,2,0,3,15,20,14,12,11,6,3,3,6,6,7,7,17,12,5,4,25,29,1,6,8,7,4,4,2,3,1,4,0,1,1,0,2,0,3,0,0,0,13,3,538,552,"1,090"
8,5,4,15,5,6,6,8,10,4,6,3,2,22,16,11,7,8,6,2,2,5,3,2,2,6,2,10,11,51,51,6,3,7,7,4,8,6,5,4,5,4,6,3,6,12,11,6,7,12,1,6,3,3,3,1,0,6,10,2,8,11,13,3,4,0,1,16,12,14,14,1,0,5,3,9,7,6,14,11,12,24,36,3,2,6,5,1,0,1,5,17,17,8,16,6,5,3,5,6,5,0,0,15,4,7,12,1,4,2,0,1,0,17,12,5,5,3,4,1,1,3,3,2,3,14,16,30,26,7,11,4,4,3,6,7,3,9,19,4,5,25,28,0,1,10,8,5,5,4,5,6,6,0,0,1,1,2,2,0,1,3,0,6,3,588,590,"1,178"
