年齢別人口　令和５年２月１日現在,,,,
年齢,男,女,合計,
0,349,360,709,
1,399,369,768,
2,427,439,866,
3,520,450,970,
4,481,458,939,
5,564,508,"1,072",
6,537,531,"1,068",
7,538,549,"1,087",
8,571,587,"1,158",
9,637,597,"1,234",
小計,"5,023","4,848","9,871",
10,601,541,"1,142",
11,607,577,"1,184",
12,619,621,"1,240",
13,651,617,"1,268",
14,646,653,"1,299",
15,636,613,"1,249",
16,654,631,"1,285",
17,616,573,"1,189",
18,638,609,"1,247",
19,727,695,"1,422",
小計,"6,395","6,130","12,525",
20,767,689,"1,456",
21,777,762,"1,539",
22,810,775,"1,585",
23,730,773,"1,503",
24,760,760,"1,520",
25,706,693,"1,399",
26,751,718,"1,469",
27,706,660,"1,366",
28,725,693,"1,418",
29,714,681,"1,395",
小計,"7,446","7,204","14,650",
30,733,592,"1,325",
31,710,670,"1,380",
32,724,643,"1,367",
33,726,635,"1,361",
34,756,714,"1,470",
35,832,765,"1,597",
36,800,774,"1,574",
37,877,834,"1,711",
38,928,879,"1,807",
39,948,924,"1,872",
小計,"8,034","7,430","15,464",
40,957,971,"1,928",
41,933,908,"1,841",
42,"1,054",935,"1,989",
43,"1,058",950,"2,008",
44,"1,087","1,055","2,142",
45,"1,170","1,130","2,300",
46,"1,179","1,064","2,243",
47,"1,165","1,146","2,311",
48,"1,269","1,247","2,516",
49,"1,302","1,231","2,533",
小計,"11,174","10,637","21,811",
50,"1,301","1,298","2,599",
51,"1,328","1,198","2,526",
52,"1,201","1,187","2,388",
53,"1,175","1,166","2,341",
54,"1,223","1,185","2,408",
55,"1,208","1,057","2,265",
56,927,875,"1,802",
57,"1,070","1,039","2,109",
58,"1,021",976,"1,997",
59,936,899,"1,835",
小計,"11,390","10,880","22,270",
60,905,878,"1,783",
61,855,840,"1,695",
62,788,798,"1,586",
63,772,801,"1,573",
64,737,843,"1,580",
65,749,833,"1,582",
66,735,799,"1,534",
67,736,923,"1,659",
68,748,929,"1,677",
69,817,980,"1,797",
小計,"7,842","8,624","16,466",
70,830,"1,026","1,856",
71,937,"1,084","2,021",
72,968,"1,202","2,170",
73,"1,108","1,359","2,467",
74,"1,210","1,411","2,621",
75,"1,157","1,417","2,574",
76,818,981,"1,799",
77,693,862,"1,555",
78,813,"1,026","1,839",
79,849,"1,139","1,988",
小計,"9,383","11,507","20,890",
80,840,"1,002","1,842",
81,773,950,"1,723",
82,672,897,"1,569",
83,579,717,"1,296",
84,474,635,"1,109",
85,478,586,"1,064",
86,408,579,987,
87,352,560,912,
88,291,430,721,
89,233,406,639,
小計,"5,100","6,762","11,862",
90,207,364,571,
91,146,265,411,
92,111,239,350,
93,76,175,251,
94,49,175,224,
95,40,114,154,
96,31,101,132,
97,17,65,82,
98,11,49,60,
99,3,30,33,
小計,691,"1,577","2,268",
100以上,8,58,66,
合計,"72,486","75,657","148,143",
,,,,
