"年度[西暦]","駅名","自転車","バイク 原付","バイク 自動二輪","合計"
"2017","新橋","12","2","7","21"
"2017","浜松町","5","0","3","8"
"2017","田町駅東口","25","2","1","28"
"2017","田町駅西口","41","0","1","42"
"2017","品川駅港南口","28","4","0","32"
"2017","品川駅高輪口","12","1","1","14"
"2017","芝公園","101","3","10","114"
"2017","御成門","41","1","1","43"
"2017","内幸町","53","1","0","54"
"2017","大門","37","1","0","38"
"2017","泉岳寺","36","3","3","42"
"2017","高輪台","20","2","0","22"
"2017","神谷町","51","1","0","52"
"2017","六本木","86","0","0","86"
"2017","広尾","28","0","1","29"
"2017","虎ノ門","14","1","0","15"
"2017","赤坂見附","12","0","0","12"
"2017","青山一丁目","11","2","0","13"
"2017","外苑前","244","0","0","244"
"2017","赤坂","105","0","0","105"
"2017","乃木坂","37","0","0","37"
"2017","表参道","38","0","0","38"
"2017","汐留","77","3","11","91"
"2017","芝浦ふ頭","8","2","3","13"
"2017","日の出","22","1","0","23"
"2017","竹芝","11","0","4","15"
"2017","お台場海浜公園","74","1","1","76"
"2017","台場","7","0","1","8"
"2017","溜池山王","37","1","0","38"
"2017","麻布十番","80","0","0","80"
"2017","六本木一丁目","97","1","1","99"
"2017","白金高輪","14","1","0","15"
"2017","白金台","7","1","0","8"
"2017","赤羽橋","73","1","0","74"
"2017","合計","1544","36","49","1629"
"2018","新橋","36","1","2","39"
"2018","浜松町","21","0","0","21"
"2018","田町駅東口","17","1","0","18"
"2018","田町駅西口","33","0","0","33"
"2018","品川駅港南口","8","1","0","9"
"2018","品川駅高輪口","9","1","0","10"
"2018","芝公園","86","1","0","87"
"2018","御成門","38","0","2","40"
"2018","内幸町","78","0","1","79"
"2018","大門","30","0","1","31"
"2018","泉岳寺","43","3","0","46"
"2018","高輪台","14","1","0","15"
"2018","神谷町","115","0","2","117"
"2018","六本木","58","0","0","58"
"2018","広尾","21","0","1","22"
"2018","虎ノ門","29","0","2","31"
"2018","赤坂見附","12","0","0","12"
"2018","青山一丁目","11","1","0","12"
"2018","外苑前","169","0","0","169"
"2018","赤坂","36","0","0","36"
"2018","乃木坂","32","0","1","33"
"2018","表参道","29","1","0","30"
"2018","汐留","70","2","17","89"
"2018","芝浦ふ頭","23","5","5","33"
"2018","日の出","14","0","0","14"
"2018","竹芝","17","0","2","19"
"2018","お台場海浜公園","75","0","0","75"
"2018","台場","10","0","0","10"
"2018","溜池山王","14","0","0","14"
"2018","麻布十番","89","0","0","89"
"2018","六本木一丁目","109","8","0","117"
"2018","白金高輪","12","2","1","15"
"2018","白金台","9","2","0","11"
"2018","赤羽橋","60","0","0","60"
"2018","合計","1427","30","37","1494"
"2019","新橋","35","2","4","41"
"2019","浜松町","21","0","1","22"
"2019","田町駅東口","12","1","1","14"
"2019","田町駅西口","28","0","0","28"
"2019","品川駅港南口","14","1","1","16"
"2019","品川駅高輪口","12","1","0","13"
"2019","芝公園","112","1","1","114"
"2019","御成門","28","0","0","28"
"2019","内幸町","41","0","0","41"
"2019","大門","25","0","0","25"
"2019","泉岳寺","57","0","0","57"
"2019","高輪台","15","0","0","15"
"2019","神谷町","71","2","0","73"
"2019","六本木","71","0","1","72"
"2019","広尾","22","0","0","22"
"2019","虎ノ門","23","0","4","27"
"2019","赤坂見附","6","0","1","7"
"2019","青山一丁目","21","1","0","22"
"2019","外苑前","209","0","0","209"
"2019","赤坂","105","0","0","105"
"2019","乃木坂","48","1","0","49"
"2019","表参道","36","0","0","36"
"2019","汐留","88","0","4","92"
"2019","芝浦ふ頭","6","1","3","10"
"2019","日の出","20","0","1","21"
"2019","竹芝","12","16","4","32"
"2019","お台場海浜公園","61","0","0","61"
"2019","台場","1","0","1","2"
"2019","溜池山王","41","1","1","43"
"2019","麻布十番","129","0","0","129"
"2019","六本木一丁目","92","2","0","94"
"2019","白金高輪","11","1","1","13"
"2019","白金台","13","0","0","13"
"2019","赤羽橋","75","0","0","75"
"2019","合計","1561","31","29","1621"

"令和元年度港区行政資料集　駅前放置自転車調査","Ver201905",,,,
