"年度[西暦]","みなとパートナーズ基金[千円]","文化芸術振興基金[千円]","中小企業融資基金[千円]","中小企業融資利子補給基金[千円]","震災後の再建、復旧復興のための基金[千円]","高齢者安心定住基金[千円]","高齢者福祉施設等整備基金[千円]","高齢者在宅福祉基金[千円]","介護保険給付準備基金[千円]","定住促進基金[千円]","地球温暖化等対策基金[千円]","子育て王国基金[千円]","財政調整基金[千円]","公共施設等整備基金[千円]","安全安心施設対策基金[千円]","奨学基金[千円]","教育施設整備基金[千円]","障害者福祉推進基金[千円]","公共用地買収基金[千円]","高額療養費資金、出産費資金貸付基金[千円]"
"2013","104940","1509594","2500000","1528730","5625989","703261","0","38498","202801","8895319","1420347","64383","62844350","26034604","3731479","23448","10165555",,"4000000","30000"
"2014","102644","1429462","2500000","1529153","5074789","503189","0","16249","0","8413707","1260591","5058874","62342468","14163720","3558004","23448","11010023",,"4000000","30000"
"2015","101182","1364637","2500000","1529580","4774742","481135","2000000","0","47673","8252775","1014331","5045293","67591670","14949302","3543311","23448","11629823",,"4000000","30000"
"2016","98489","1234648","2500000","1529971","12008485","466226","2002616",,"261099","8526098","807743","5028290","72257568","19585718","3269320","23448","16779823","1000243","4000000","30000"
"2017","96008","1101905","2500000","1530338","54016324","452054","2003792",,"516841","8268167","540322","4458074","44529509","10600440","2814241","23448","14620561","922383","4000000","23483"

"平成30年度港区行政資料集　基金","Ver201803",,,,,,,,,,,,,,,,,,,
