"消防団名","分団数","団員数 定員[人]","団員数 現員[人]"
"芝消防団","8","220","165"
"麻布消防団","4","120","99"
"赤坂消防団","3","130","115"
"高輪消防団","4","110","101"
"合計","19","580","480"

"令和4年度港区行政資料集　消防団","Ver202204",,
