業務C,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001
測定局,TY,TY,TY,TY,TY,TY,TY,TY,YU,YU,YU,YU,YU,YU,YA,YA,YA,YA,YA,YA,RO,RO,RO,RO,RO,RO,KE,KE,KE,KE,KE,KE,KE,JW,JW,JW,JW,JW,JY,JY,JY,JY,JY,JR,JR,JR,JR,JR,JH,JH,JH,JH,JH
測定項目,NO,NO2,OX,CH4,NMHC,SPM,WD,WV,NO,NO2,OX,SPM,WD,WV,NO,NO2,OX,SPM,WD,WV,NO,NO2,OX,SPM,WD,WV,SO2,NO,NO2,OX,SPM,WD,WV,NO,NO2,SPM,WD,WV,NO,NO2,SPM,WD,WV,NO,NO2,SPM,WD,WV,NO,NO2,SPM,WD,WV
単位,ppm,ppm,ppm,ppmC,ppmC,mg/m3,C:0.4m/s以下,m/s,ppm,ppm,ppm,mg/m3,C:0.4m/s以下,m/s,ppm,ppm,ppm,mg/m3,C:0.4m/s以下,m/s,ppm,ppm,ppm,mg/m3,C:0.4m/s以下,m/s,ppm,ppm,ppm,ppm,mg/m3,C:0.4m/s以下,m/s,ppm,ppm,mg/m3,C:0.2m/s以下,m/s,ppm,ppm,mg/m3,C:0.2m/s以下,m/s,ppm,ppm,mg/m3,C:0.2m/s以下,m/s,ppm,ppm,mg/m3,C:0.2m/s以下,m/s
22/04/01 01:00,0.000,0.008,0.044,1.98,0.06,0.006, E ,5.0,0.000,0.005,0.048,0.005,ENE,3.8,0.000,0.005,0.045,0.004,SSE,1.5,0.000,0.006,0.043,0.006,NE ,2.7,0.001,0.002,0.013,0.038,0.005,NE ,4.1,0.001,0.009,0.006,SE ,1.3,0.000,0.006,0.005, N ,2.3,0.000,0.008,0.007,SSE,0.6,0.000,0.006,0.006,ESE,1.2
22/04/01 02:00,0.000,0.008,0.042,1.98,0.05,0.004,ENE,5.4,0.000,0.004,0.047,0.004,NE ,4.7,0.000,0.006,0.043,0.006,NNW,1.0,0.000,0.005,0.042,0.010,NE ,2.8,0.001,0.003,0.013,0.038,0.005,NNE,6.1,0.001,0.010,0.006,SSE,1.6,0.000,0.007,0.004,NNW,2.4,0.000,0.007,0.006,SW ,0.6,0.000,0.005,0.006,SE ,1.1
22/04/01 03:00,0.000,0.007,0.042,1.98,0.05,0.005,ENE,5.4,0.000,0.004,0.045,0.004,NE ,4.7,0.000,0.005,0.042,0.004, N ,1.3,0.000,0.006,0.041,0.005,NE ,4.6,0.001,0.003,0.013,0.037,0.005,NNE,6.1,0.001,0.008,0.005,SSE,1.5,0.001,0.006,0.005,NNW,2.8,0.000,0.007,0.005,ENE,1.1,0.000,0.005,0.004,ESE,1.4
22/04/01 04:00,0.000,0.007,0.041,1.98,0.04,0.005,NE ,4.7,0.000,0.004,0.044,0.003,NNE,3.9,0.000,0.004,0.042,0.003,NNE,2.3,0.001,0.006,0.040,0.005,NE ,2.7,0.001,0.004,0.014,0.035,0.004,NNE,5.1,0.001,0.009,0.006, S ,1.0,0.001,0.006,0.003,NNW,2.5,0.000,0.007,0.002,ENE,1.2,0.000,0.004,0.001,ESE,1.4
22/04/01 05:00,0.000,0.006,0.044,1.98,0.05,0.005,NNE,4.5,0.000,0.003,0.048,0.002, N ,4.7,0.000,0.003,0.046,0.001, N ,6.6,0.001,0.006,0.042,0.004, N ,2.3,0.001,0.002,0.013,0.035,0.003,NNE,4.3,0.002,0.010,0.003, S ,0.9,0.001,0.005,0.002,NNW,3.4,0.002,0.010,0.002,NE ,1.3,0.001,0.009,0.005,ENE,2.0
22/04/01 06:00,0.001,0.007,0.042,1.99,0.05,0.004, N ,6.2,0.000,0.003,0.048,0.001, N ,3.9,0.000,0.003,0.047,0.002, N ,5.0,0.001,0.006,0.042,0.003, N ,2.5,0.001,0.002,0.015,0.035,0.004, N ,5.1,0.003,0.013,0.005,WSW,1.4,0.001,0.006,0.002,NNW,3.3,0.002,0.009,0.004,NE ,1.7,0.003,0.012,0.001,ENE,2.3
