No.,データセット_タイトル,データ所管部署,データセット_概要,データセット_分類,データセット_最終更新日,ファイル_タイトル,ファイル_ダウンロードURL,ファイル形式,ファイル_最終更新日
1,オープンデータ一覧,"企画経営部
情報政策課",オープンデータの一覧です。,その他,44956.64777,オープンデータ一覧,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_opendata_ichiran.csv,csv,44956.64777
2,公衆無線LANアクセスポイント一覧,"地域力推進部
地域力推進課　等",大田区が設置する公衆無線LANアクセスポイントの一覧です。,観光,44803.44797,公衆無線LANアクセスポイント一覧,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_public_wireless_lan.csv,csv,44803.44797
3,住民基本台帳による大田区の世帯と人口（令和3年3月1日現在）,"区民部
戸籍住民課",住民基本台帳による世帯と人口です。,人口減少・少子高齢化,44803.44799,住民基本台帳による大田区の世帯と人口（令和3年3月1日現在）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_ota_setai_jinkou_20210301.xls,xls,44803.44799
4,住民基本台帳世帯人口現況表（大森地区）（令和3年3月1日現在）,"区民部
戸籍住民課",住民基本台帳による特別出張所毎の世帯と人口です。,人口減少・少子高齢化,44803.448,住民基本台帳世帯人口現況表（大森地区）（令和3年3月1日現在）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_oomorigenkyou_20210301.xls,xls,44803.448
5,住民基本台帳世帯人口現況表（調布地区）（令和3年3月1日現在）,"区民部
戸籍住民課",住民基本台帳による特別出張所毎の世帯と人口です。,人口減少・少子高齢化,44803.448,住民基本台帳世帯人口現況表（調布地区）（令和3年3月1日現在）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_chofugenkyou_20210301.xls,xls,44803.448
6,住民基本台帳世帯人口現況表（蒲田地区）（令和3年3月1日現在）,"区民部
戸籍住民課",住民基本台帳による特別出張所毎の世帯と人口です。,人口減少・少子高齢化,44803.448,住民基本台帳世帯人口現況表（蒲田地区）（令和3年3月1日現在）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_kamatagenkyou_20210301.xls,xls,44803.448
7,2か所以上の出張所に管轄がまたがっている町（丁目）の人口一覧表（令和3年3月1日現在）,"区民部
戸籍住民課",住民基本台帳による特別出張所毎の世帯と人口です。,人口減少・少子高齢化,44803.448,2か所以上の出張所に管轄がまたがっている町（丁目）の人口一覧表（令和3年3月1日現在）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_2syuccyoujyojinkou_20210301.xls,xls,44803.448
8,地域・年齢別人口（令和3年1月1日現在）,"区民部
戸籍住民課",住民基本台帳による年齢別人口です。,人口減少・少子高齢化,44803.48583,地域・年齢別人口（令和3年1月1日現在）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_chiikinennrei_20210101.csv,csv,44803.48583
9,地域・年齢別人口（令和3年4月1日現在）,"区民部
戸籍住民課",住民基本台帳による年齢別人口です。,人口減少・少子高齢化,44803.44804,地域・年齢別人口（令和3年4月1日現在）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_nenreibetu_20210401.csv,csv,44803.44804
10,地域・年齢別人口（令和3年7月1日現在）,"区民部
戸籍住民課",住民基本台帳による年齢別人口です。,人口減少・少子高齢化,44803.44807,地域・年齢別人口（令和3年7月1日現在）,https://www.opendata.metro.tokyo.lg.jp/ootaku/131113_nenreibetu_20210701.csv,csv,44803.44807
