通番,名称,郵便番号,住所,電話番号,緯度,経度
1,郷土博物館,〒143-0025,東京都大田区南馬込五丁目11番13号,03-3777-1070,35.588577,139.710614
2,勝海舟記念館,〒145-0063,東京都大田区南千束二丁目3番1号,03-6425-7608,35.602117,139.692288
3,大森 海苔のふるさと館,〒143-0005,東京都大田区平和の森公園2番2号,03-5471-0333,35.577082,139.742585
4,熊谷恒子記念館,〒143-0025,東京都大田区南馬込4-5-15,03-3773-0123,35.585929,139.71043
5,龍子記念館,〒143-0024,東京都大田区中央四丁目2番1号,03-3772-0680,35.582391,139.715366
6,尾?士郎記念館,〒143-0023,東京都大田区山王一丁目36番26号,03-3772-0680（龍子記念館内）,35.592438,139.721621
7,山王草堂記念館,〒143-0023,東京都大田区山王一丁目41番21号,03-3778-1039,35.593281,139.721057
8,馬込文士村資料展示室,〒143-0023,東京都大田区山王三丁目37番11号（大田区立山王会館内） ,03-3773-9216 ,35.585591,139.723456
9,多摩川台公園古墳展示室,〒145-0071,東京都大田区田園調布一丁目63番1号,03-3721-1951,35.590125,139.666968
