業務C,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001
測定局,TY,TY,TY,TY,TY,TY,TY,TY,YU,YU,YU,YU,YU,YU,YA,YA,YA,YA,YA,YA,RO,RO,RO,RO,KE,KE,KE,KE,KE,KE,KE,JY,JY,JY,JY,JY,JR,JR,JR,JH,JH,JH,JH,JH
測定項目,NO,NO2,OX,CH4,NMHC,SPM,WD,WV,NO,NO2,OX,SPM,WD,WV,NO,NO2,OX,SPM,WD,WV,NO,NO2,OX,SPM,SO2,NO,NO2,OX,SPM,WD,WV,NO,NO2,SPM,WD,WV,NO,NO2,SPM,NO,NO2,SPM,WD,WV
単位,ppm,ppm,ppm,ppmC,ppmC,mg/m3,C:0.4m/s以下,m/s,ppm,ppm,ppm,mg/m3,C:0.4m/s以下,m/s,ppm,ppm,ppm,mg/m3,C:0.4m/s以下,m/s,ppm,ppm,ppm,mg/m3,ppm,ppm,ppm,ppm,mg/m3,C:0.4m/s以下,m/s,ppm,ppm,mg/m3,C:0.2m/s以下,m/s,ppm,ppm,mg/m3,ppm,ppm,mg/m3,C:0.2m/s以下,m/s
24/04/01 01:00,0.000,0.007,0.057,2.03,0.06,0.030,ENE,4.3,0.000,0.005,0.059,0.030,NE ,3.5,0.000,0.005,0.059,0.030,NNE,0.9,0.000,0.006,0.054,0.025,保守中,0.001,0.010,0.056,0.023,NNE,3.4,0.001,0.006,0.031,NNW,1.5,0.000,0.008,0.029,0.000,0.007,0.028, E ,1.3
24/04/01 02:00,0.000,0.009,0.054,2.03,0.06,0.032,NE ,3.0,0.000,0.004,0.058,0.030,NE ,2.8,0.000,0.004,0.058,0.031,NNE,0.7,0.000,0.007,0.052,0.029,0.001,保守中,保守中,0.056,0.025,NNE,3.8,0.000,0.006,0.029,NNW,1.7,0.000,0.008,0.031,0.000,0.007,0.030,ESE,0.9
24/04/01 03:00,0.000,0.007,0.055,2.03,0.06,0.033,ENE,1.8,0.000,0.005,0.056,0.029,NE ,1.1,0.000,0.005,0.056,0.032,SE ,0.6,0.000,0.008,0.050,0.026,0.001,0.000,0.010,0.053,0.024,NNE,2.0,0.000,0.006,0.030,NNW,0.9,0.000,0.010,0.029,0.000,0.009,0.028,ENE,1.3
24/04/01 04:00,0.000,0.007,0.053,2.03,0.06,0.031,ENE,3.5,0.000,0.005,0.054,0.030,NE ,2.1,0.000,0.005,0.054,0.031,WNW,0.7,0.001,0.009,0.047,0.027,0.001,0.000,0.010,0.052,0.025,NNE,3.9,0.000,0.006,0.030,NNW,1.4,0.001,0.011,0.031,0.000,0.008,0.030, E ,1.1
24/04/01 05:00,0.000,0.012,0.046,2.03,0.06,0.032,NNE,3.4,0.000,0.006,0.052,0.031,NE ,4.2,0.000,0.006,0.053,0.032,NNW,1.1,0.000,0.009,0.045,0.027,0.001,0.001,0.013,0.047,0.023,NNE,4.6,0.000,0.007,0.031,NNW,1.7,0.000,0.012,0.032,0.000,0.011,0.028, E ,2.0
24/04/01 06:00,0.000,0.009,0.048,2.03,0.07,0.032,NE ,4.3,0.000,0.007,0.049,0.031,NNE,2.2,0.000,0.006,0.051,0.035, N ,3.7,0.001,0.011,0.043,0.030,0.001,0.001,0.017,0.041,0.024, N ,4.0,0.001,0.008,0.032,NNW,2.4,0.001,0.015,0.032,0.001,0.015,0.030,ENE,1.7
