業務C,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001,80001
測定局,TY,TY,TY,TY,TY,TY,TY,TY,TY,YU,YU,YU,YU,YU,YU,YU,YU,YA,YA,YA,YA,YA,YA,YA,RO,RO,RO,RO,RO,RO,RO,KE,KE,KE,KE,KE,KE,KE,KE,KE,JW,JW,JW,JW,JW,JY,JY,JY,JY,JY,JR,JR,JR,JR,JR,JH,JH,JH,JH,JH
測定項目,SO2,NO,NO2,OX,CH4,NMHC,SPM,WD,WV,NO,NO2,OX,CH4,NMHC,SPM,WD,WV,SO2,NO,NO2,OX,SPM,WD,WV,SO2,NO,NO2,OX,SPM,WD,WV,SO2,NO,NO2,OX,CH4,NMHC,SPM,WD,WV,NO,NO2,SPM,WD,WV,NO,NO2,SPM,WD,WV,NO,NO2,SPM,WD,WV,NO,NO2,SPM,WD,WV
単位,ppm,ppm,ppm,ppm,ppmC,ppmC,mg/m3,C:0.4m/s以下,m/s,ppm,ppm,ppm,ppmC,ppmC,mg/m3,C:0.4m/s以下,m/s,ppm,ppm,ppm,ppm,mg/m3,C:0.4m/s以下,m/s,ppm,ppm,ppm,ppm,mg/m3,C:0.4m/s以下,m/s,ppm,ppm,ppm,ppm,ppmC,ppmC,mg/m3,C:0.4m/s以下,m/s,ppm,ppm,mg/m3,C:0.2m/s以下,m/s,ppm,ppm,mg/m3,C:0.2m/s以下,m/s,ppm,ppm,mg/m3,C:0.2m/s以下,m/s,ppm,ppm,mg/m3,C:0.2m/s以下,m/s
20/04/01 01:00,0.001,0.001,0.027,0.010,2.09,0.25,0.031,NNW,2.4,0.001,0.026,0.013,2.07,0.23,0.031,NNW,2.4,0.004,0.001,0.025,0.011,0.035,NNW,2.3,0.003,0.001,0.028,0.009,指示不良,NW ,1.6,0.003,0.017,0.038,0.004,2.06,0.16,0.033,NW ,2.1,0.009,0.033,0.030,NW ,0.8,0.003,0.028,0.024,NW ,1.8,0.004,0.029,0.027,NW ,0.8,0.019,0.037,0.032,NNW,1.9
20/04/01 02:00,0.001,0.001,0.026,0.009,2.08,0.24,0.028, N ,1.8,0.001,0.019,0.016,2.04,0.21,0.033, N ,1.9,0.003,0.001,0.019,0.014,0.033, N ,2.3,0.003,0.001,0.024,0.010,指示不良,NW ,1.2,0.001,0.008,0.032,0.006,2.10,0.18,0.035, N ,2.3,0.007,0.027,0.028,NW ,0.5,0.002,0.024,0.023,NW ,1.7,0.003,0.025,0.027,NNE,0.8,0.014,0.030,0.036,NW ,1.6
20/04/01 03:00,0.001,0.001,0.022,0.011,2.04,0.21,0.027, N ,3.4,0.001,0.016,0.018,2.02,0.17,0.030, N ,2.5,0.003,0.000,0.014,0.017,0.033, N ,3.1,0.002,0.001,0.018,0.013,指示不良,NW ,2.0,0.001,0.012,0.032,0.005,2.08,0.16,0.034,NNW,4.2,0.008,0.024,0.026,NW ,0.8,0.003,0.020,0.021,NNW,1.7,0.004,0.020,0.027,NNE,1.3,0.013,0.027,0.038,NNW,2.5
20/04/01 04:00,0.001,0.001,0.016,0.015,2.01,0.17,0.027, N ,3.9,0.000,0.013,0.020,2.00,0.15,0.027, N ,2.9,0.003,0.000,0.011,0.019,0.031, N ,2.8,0.002,0.001,0.014,0.017,指示不良,NW ,1.7,0.001,0.007,0.027,0.008,2.06,0.14,0.033,NNW,2.5,0.009,0.022,0.026,NW ,0.7,0.001,0.015,0.021,NNW,2.0,0.004,0.016,0.022,NE ,1.9,0.013,0.022,0.033,NW ,2.1
20/04/01 05:00,0.001,0.001,0.018,0.013,2.00,0.16,0.024, N ,2.5,0.001,0.012,0.019,2.00,0.14,0.029,NNE,2.7,0.003,0.000,0.011,0.018,0.031, N ,3.1,0.002,0.002,0.015,0.015,指示不良,NW ,1.4,0.001,0.006,0.027,0.007,2.05,0.12,0.033, N ,2.8,0.011,0.022,0.025,NW ,0.5,0.002,0.015,0.018,NNW,2.0,0.009,0.019,0.024,NE ,1.4,0.012,0.022,0.031,NNW,2.3
20/04/01 06:00,0.001,0.003,0.022,0.010,2.01,0.17,0.026, N ,2.1,0.001,0.014,0.018,2.00,0.13,0.029, N ,2.6,0.003,0.001,0.012,0.017,0.031, N ,3.1,0.002,0.003,0.017,0.013,指示不良,NNW,1.8,0.001,0.017,0.032,0.004,2.05,0.12,0.032, N ,2.4,0.016,0.024,0.024,NNW,0.6,0.004,0.017,0.022,NNW,1.8,0.012,0.020,0.022,NNE,1.3,0.021,0.025,0.027,NW ,2.2
20/04/01 07:00,0.001,0.007,0.026,0.007,2.03,0.18,0.027, N ,3.3,0.002,0.018,0.014,2.02,0.16,0.033, N ,3.0,0.003,0.001,0.014,0.015,0.035, N ,3.4,0.002,0.006,0.021,0.009,指示不良,NW ,1.3,0.001,0.017,0.033,0.004,2.04,0.11,0.031, N ,2.6,0.015,0.026,0.023,WNW,0.7,0.009,0.021,0.023,NNW,2.0,0.023,0.025,0.022,NNW,0.8,0.023,0.030,0.030,NW ,1.7
