,東京都　認定特定非営利活動法人一覧（令和2年2月29日現在）,,,,,,,
通番,法人名,代表者,有効期間始期,有効期間終期,"更新
申請中",主たる事務所,法人名,URL
1,ゴールドリボン・ネットワーク,松井　秀文,平成24年10月16日,令和4年10月15日,,東京都豊島区西池袋二丁目２１―８,ゴールドリボン・ネットワーク,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007230.html
2,子どもに笑顔,松島　惠之,平成24年10月16日,令和4年10月15日,,東京都中央区銀座二丁目１３番１８号　アヴァンティーク銀座２丁目３０４号室,子どもに笑顔,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0008429.html
3,ジーエルエム・インスティチュート,西野　桂子,平成24年12月5日,令和4年12月4日,,東京都港区虎ノ門一丁目１番２１号　新虎ノ門実業会館５階,ジーエルエム・インスティチュート,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001943.html
4,ＮＰＯ会計税務専門家ネットワーク,脇坂　誠也,平成24年12月5日,令和4年12月4日,,東京都江東区東陽三丁目８番５号　日向野ビル３階,ＮＰＯ会計税務専門家ネットワーク,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0003717.html
5,シャイン・オン・キッズ,ＦＯＲＳＹＴＨＥ　ＫＩＭＢＥＲＬＹ　ＡＮＮ,平成24年12月7日,令和4年12月6日,,東京都中央区日本橋本町三丁目３番６号,シャイン・オン・キッズ,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0005696.html
6,フローレンス,駒崎　弘樹,平成24年12月7日,令和4年12月6日,,東京都千代田区神田神保町一丁目１４番地１,フローレンス,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0091478.html
7,朴の会,野本　千佳子,平成24年12月14日,令和4年12月13日,,東京都文京区千駄木二丁目３６番１０号　１Ｆ,朴の会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0012120.html
8,わだつみのこえ記念館,渡邊　總子,平成25年2月6日,令和5年2月5日,,東京都文京区本郷五丁目２９番１３号　赤門アビタシオン１階,わだつみのこえ記念館,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0004939.html
9,いきいきフォーラム草の根支援,宇野　眞人,平成25年2月18日,令和5年2月17日,,東京都文京区向丘一丁目７番８号　コミュニティスペースほのぼの内,いきいきフォーラム草の根支援,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007119.html
10,文化学習協同ネットワーク,佐藤　洋作,平成25年3月4日,令和5年3月3日,,東京都三鷹市下連雀一丁目１４番３号　,文化学習協同ネットワーク,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000255.html
11,健康生活推進会,仙石　紘二,平成25年3月5日,令和5年3月4日,,東京都目黒区下目黒三丁目７番３号　目黒Ｋビル２階,健康生活推進会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0093334.html
12,環境文明二十一,藤村　コノヱ,平成25年3月6日,令和5年3月5日,,東京都大田区田園調布二丁目２４番２３－３０１号,環境文明二十一,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0006039.html
13,ＳＤＧｓ・プロミス・ジャパン,北岡　理恵子（鈴木りえこ）,平成25年3月11日,令和5年3月10日,,東京都文京区小石川四丁目１６番１３号　小石川パークタワー１０１,ＳＤＧｓ・プロミス・ジャパン,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0093025.html
14,ホープワールドワイド・ジャパン,加藤　敦,平成25年3月14日,令和5年3月13日,,東京都渋谷区笹塚二丁目１６番１号,ホープワールドワイド・ジャパン,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0000011.html
15,災害人道医療支援会,前川　和彦,平成25年4月1日,令和5年3月31日,,東京都世田谷区下馬一丁目３２番４号　アーデルホーフ今井２０１,災害人道医療支援会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0001842.html
16,アースウォッチ・ジャパン,浦辺　徹郎,平成25年4月1日,令和5年3月31日,,東京都文京区弥生一丁目１番１号　東京大学大学院農学生命科学研究科　フードサイエンス棟４階,アースウォッチ・ジャパン,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0002447.html
17,市民福祉団体全国協議会,田中　尚輝,平成25年5月23日,令和5年5月22日,,東京都港区西新橋一丁目１９番６号,市民福祉団体全国協議会,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0090246.html
18,日本胃がん予知・診断・治療研究機構,三木　一正,平成25年5月29日,令和5年5月28日,,東京都港区白金一丁目１７番２号　白金タワーテラス棟６０９号室,日本胃がん予知・診断・治療研究機構,http://www.seikatubunka.metro.tokyo.jp/houjin/npo_houjin/list/ledger/0007358.html
