年月,西暦（年）,月,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
前月比(％)／平成13年9月,2001,9,-0.2,-0.2,-0.4,0,0,0,-0.3,5.7,-0.1,-0.6,0,-2.3,0.1
前月比(％)／平成13年10月,2001,10,0,0,0.1,0,0,0.3,-0.2,0.7,-0.1,0.2,0,-0.9,0
前年同月比(％)／平成12年10月,2000,10,-0.9,-1.2,-2.2,0.2,-0.3,1.1,-3.4,-1.9,-0.1,-0.1,1.1,-1.3,-0.3
前年同月比(％)／平成12年11月,2000,11,-0.5,-0.7,-1.2,0.3,-0.2,1.1,-3.5,-1.9,-0.1,-0.2,1.1,-1,-0.2
前年同月比(％)／平成12年12月,2000,12,-0.2,-0.3,0.1,0.2,-0.2,1.3,-3.3,-2,-0.2,-0.1,1.1,-0.9,-0.3
前年同月比(％)／平成13年1月,2001,1,-0.3,-0.4,0.7,0.2,-0.3,0.7,-3.6,-1.6,1,-0.3,1.1,-3.1,-0.5
前年同月比(％)／平成13年2月,2001,2,-0.3,-0.4,0.7,0.1,-0.3,0.7,-3.6,-1.9,1.1,-0.3,1.1,-3.3,-0.5
前年同月比(％)／平成13年3月,2001,3,-0.7,-0.9,-0.2,0.1,-0.3,0.6,-3.5,-2.7,1.2,-0.9,1,-3.5,-0.2
前年同月比(％)／平成13年4月,2001,4,-0.7,-1,-0.6,0.5,-0.4,0.6,-3.6,-2.5,0.6,-0.5,1.1,-3.1,-0.1
前年同月比(％)／平成13年5月,2001,5,-0.7,-0.9,-0.2,0.1,-0.5,0.5,-3.5,-2.1,0.6,-1.1,1,-3.5,-0.2
前年同月比(％)／平成13年6月,2001,6,-0.8,-1,-0.8,0.1,-0.5,0.6,-3.5,-2.2,0.7,-0.9,1,-2.8,-0.1
前年同月比(％)／平成13年7月,2001,7,-0.8,-1.1,-0.8,0.2,-0.5,0,-3.5,-2.1,0.5,-1,1,-3.2,-0.1
前年同月比(％)／平成13年8月,2001,8,-0.7,-0.9,-0.3,0.3,-0.5,0,-3.7,-2.5,0.6,-1,1,-2.6,0
前年同月比(％)／平成13年9月,2001,9,-0.8,-1,-0.8,0.3,-0.6,-0.1,-3.6,-1.7,0.6,-1.1,1,-2.9,0
前年同月比(％)／平成13年10月,2001,10,-0.8,-0.9,-1,0.2,-0.6,1.7,-3.6,-2.1,0.5,-1,1,-2.5,0
,,,,,,,,,,,,,,,
東京の物価／平成１３年１１月,,,,,,,,,,,,,,,
１０．全国消費者物価１０大費目指数,,,,,,,,,,,,,,,
(平成１２年＝１００),,,,,,,,,,,,,,,
