階層,類・品目符号,含類総連番,品目,ウエイト(生鮮食品),ウエイト,2000年9月,2001年4月,2001年5月,2001年6月,2001年7月,2001年8月,2001年9月,2001年9月上昇率（％）／前月比,2001年9月／前年同月比
0,1,1,総合,,10000,100,99.2,99.3,98.9,98.7,99,98.8,-0.2,-1.2
1,2,2,食料,,2544,99.8,99.8,100,99.3,99,99.7,99.3,-0.4,-0.5
3,3,3,食料／穀類,,210,99.7,98,97.8,98.2,98.1,98.8,98.8,0,-0.9
5,4,4,食料／穀類／米類,,89,99.5,95.5,95.8,95.8,96.1,97.2,97.6,0.4,-1.9
6,1000,5,食料／穀類／米類／うるち米,,87,99.5,95.4,95.7,95.8,96.1,97.2,97.6,0.4,-1.9
7,1001,6,食料／穀類／米類／うるち米／国産米Ａ,,30,100.3,95.4,96.3,96.9,95.8,96.1,95.4,-0.7,-4.9
7,1002,7,食料／穀類／米類／うるち米／国産米Ｂ,,50,99.1,94.8,94.8,94.4,95.6,97.3,98.5,1.2,-0.6
7,1003,8,食料／穀類／米類／うるち米／ブレンド米,,6,99.1,100.2,100.2,101.3,101.3,101.3,101.1,-0.2,2
7,1005,9,食料／穀類／米類／うるち米／指定標準米,,0,        -,        -,        -,        -,        -,        -,        -,        -,        -
6,1011,10,食料／穀類／米類／もち米,,2,99.9,98.4,97.9,98.1,98.3,98.5,97.4,-1.1,-2.5
5,5,11,食料／穀類／パン,,72,100,100.6,100,100.7,99.8,100.6,100.5,-0.1,0.5
6,1021,12,食料／穀類／パン／食パン,,45,100.3,100.9,99.7,101,100.2,100.5,100.6,0.1,0.3
6,1022,13,食料／穀類／パン／あんパン,,27,99.4,100.1,100.4,100.3,99.1,100.8,100.2,-0.6,0.8
5,6,14,食料／穀類／めん類,,40,100.1,98.9,98.4,98.2,99,98.9,98.5,-0.4,-1.6
6,1031,15,食料／穀類／めん類／ゆでうどん,,8,99.3,101.7,100.2,101.1,99.8,101.7,99,-2.7,-0.3
6,1041,16,食料／穀類／めん類／乾めん,,8,100.4,99,97.3,98.1,99.6,101.2,100.1,-1.1,-0.3
