独立行政法人・地方独立行政法人一覧,,,,
項番,法人種類,法人名称,主たる事業所住所,
1,独立行政法人,医薬品医療機器総合機構,千代田区,霞が関3-3-2
2,独立行政法人,宇宙航空研究開発機構,調布市,深大寺東町7-44-1
3,独立行政法人,エネルギー・金属鉱物資源機構,港区,虎ノ門2-10-1
4,独立行政法人,海上・港湾・航空技術研究所,三鷹市,新川6-38-1
5,独立行政法人,勤労者退職金共済機構,豊島区,東池袋1-24-1
6,独立行政法人,経済産業研究所,千代田区,霞が関1-3-1
7,独立行政法人,工業所有権情報・研修館,港区,虎ノ門４丁目３番１号城山トラストタワー８階
8,独立行政法人,国際観光振興機構,新宿区,四谷1-6-4
9,独立行政法人,国際協力機構,千代田区,二番町5-25
10,独立行政法人,国際交流基金,新宿区,四谷1-6-4
11,独立行政法人,国立印刷局,港区,虎ノ門2-2-5 共同通信会館
12,独立行政法人,国立科学博物館,台東区,上野公園7-20
13,独立行政法人,国立がん研究センター,中央区,築地5-1-1
14,独立行政法人,国立高等専門学校機構,八王子市,東浅川町701-2
15,独立行政法人,国立公文書館,千代田区,北の丸公園3-2
16,独立行政法人,国立国際医療研究センター,新宿区,戸山1-21-1
17,独立行政法人,国立成育医療研究センター,世田谷区,大蔵2-10-1
18,独立行政法人,国立青少年教育振興機構,渋谷区,代々木神園町3-1
19,独立行政法人,国立精神・神経医療研究センター,小平市,小川東町4-1-1
20,独立行政法人,国立美術館,千代田区,北の丸公園3-1
21,独立行政法人,国立病院機構,目黒区,東が丘2-5-21
22,独立行政法人,国立文化財機構,台東区,上野公園13-9
23,独立行政法人,産業技術総合研究所,千代田区,霞が関1-3-1
24,独立行政法人,自動車技術総合機構,新宿区,四谷本塩町4-41　住友生命四谷ビル4階
25,独立行政法人,自動車事故対策機構,墨田区,錦糸3-2-1
26,独立行政法人,住宅金融支援機構,文京区,後楽1-4-10
27,独立行政法人,情報処理推進機構,文京区,本駒込2-28-8
28,独立行政法人,情報通信研究機構,小金井市,貫井北町4-2-1
29,独立行政法人,製品評価技術基盤機構,渋谷区,西原2-49-10
30,独立行政法人,大学改革支援・学位授与機構,小平市,学園西町1-29-1
31,独立行政法人,大学入試センター,目黒区,駒場2-19-23
32,独立行政法人,地域医療機能推進機構,港区,高輪3-22-12
33,独立行政法人,中小企業基盤整備機構,港区,虎ノ門3-5-1
34,独立行政法人,駐留軍等労働者労務管理機構,港区,三田3-13-12　三田MTビル
35,地方独立行政法人,東京都健康長寿医療センター,板橋区,栄町35-2
36,地方独立行政法人,東京都立産業技術研究センター,江東区,青海2-4-10
37,地方独立行政法人,東京都立病院機構,新宿区,西新宿2-8-1
38,独立行政法人,統計センター,新宿区,若松町19-1
39,独立行政法人,日本医療研究開発機構,千代田区,大手町1-7-1
40,独立行政法人,日本学術振興会,千代田区,麹町5-3-1
41,独立行政法人,日本芸術文化振興会,千代田区,隼町4-1
42,独立行政法人,日本スポーツ振興センター,新宿区,霞ヶ丘町4-1
43,独立行政法人,日本貿易振興機構,港区,赤坂1-12-32
44,独立行政法人,年金積立金管理運用独立行政法人,港区,虎ノ門1-23-1
45,独立行政法人,農業者年金基金,港区,西新橋1-6-21
46,独立行政法人,農畜産業振興機構,港区,麻布台2-2-1　
47,独立行政法人,農林漁業信用基金,港区,愛宕2-5-1
48,独立行政法人,福祉医療機構,港区,虎ノ門4-3-13
49,独立行政法人,北方領土問題対策協会,台東区,北上野1-9-12　住友不動産上野ビル
50,独立行政法人,郵便貯金簡易生命保険管理・郵便局ネットワーク支援機構,港区,虎ノ門5-13-1　虎ノ門40ＭＴビル3階
51,独立行政法人,労働政策研究・研修機構,練馬区,上石神井4-8-23
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
