"年度","児童数 児童手当 ０歳から３歳未満[人]","児童数 児童手当 ３歳以上小学校修了前[人]","児童数 児童手当 小学修了後中学修了前[人]","児童数 児童手当 特例給付[人]","児童数 児童手当 施設等受給資格者分[人]","児童数 児童育成手当 育成手当[人]","児童数 児童育成手当 障害手当[人]","受給者数 児童扶養手当 [人]","受給者数 特別児童扶養手当 [人]"
"2017","4357","9205","2570","16518","103","1891","95","1023","124"
"2018","4108","9395","2620","17385","88","1854","96","946","124"
"2019","3806","9193","2604","18237","94","1795","89","937","122"
"2020","3421","8960","2600","18824","78","1769","90","905","123"
"2021","3192","8744","2659","18972","60","1717","93","884","118"

"令和4年度港区行政資料集　児童手当等受給者数","Ver202203",,,,,,,,
