"科目","合計[百万円]","固定資産等形成分[百万円]","余剰分（不足分）[百万円]"
"年度","2016",,
"期間（自）","20160401",,
"期間（至）","20170331",,
"前年度末純資産残高","3412356","3430197","-17841"
"本年度純資産変動額 本年度差額 純行政コスト","-101226",,"-101226"
"本年度純資産変動額 本年度差額 財源","116718",,"116718"
"本年度純資産変動額 本年度差額 財源 税収等","97479",,"97479"
"本年度純資産変動額 本年度差額 財源 国都等補助金","19239",,"19239"
"本年度純資産変動額 本年度差額","15492",,"15492"
"本年度純資産変動額 固定資産等の変動（内部変動）",,"16686","-16686"
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の増加",,"19168","-19168"
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の減少",,"-24131","24131"
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の増加",,"27519","-27519"
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の減少",,"-5870","5870"
"本年度純資産変動額 資産評価差額","0","0",
"本年度純資産変動額 無償所管換等","10646","10646",
"本年度純資産変動額 その他","-141","0","-141"
"本年度純資産変動額","25997","27332","-1335"
"本年度末純資産残高","3438353","3457528","-19176"

"一般会計財務書類（純資産変動計算書）(平成28年4月1日から平成29年3月31日)","Ver201703",,
