"科目","金額[百万円]"
"年度","2016"
"決算日","20170331"
"資産の部 固定資産","3385270"
"資産の部 固定資産 有形固定資産","3299201"
"資産の部 固定資産 有形固定資産 事業用資産","606005"
"資産の部 固定資産 有形固定資産 事業用資産 土地","420045"
"資産の部 固定資産 有形固定資産 事業用資産 立木竹","0"
"資産の部 固定資産 有形固定資産 事業用資産 建物","298919"
"資産の部 固定資産 有形固定資産 事業用資産 建物減価償却累計額","-119320"
"資産の部 固定資産 有形固定資産 事業用資産 工作物","8279"
"資産の部 固定資産 有形固定資産 事業用資産 工作物減価償却累計額","-4606"
"資産の部 固定資産 有形固定資産 事業用資産 船舶","0"
"資産の部 固定資産 有形固定資産 事業用資産 船舶減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等","0"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 航空機","0"
"資産の部 固定資産 有形固定資産 事業用資産 航空機減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 その他","0"
"資産の部 固定資産 有形固定資産 事業用資産 その他減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 建設仮勘定","2686"
"資産の部 固定資産 有形固定資産 インフラ資産","2691634"
"資産の部 固定資産 有形固定資産 インフラ資産 土地","2600148"
"資産の部 固定資産 有形固定資産 インフラ資産 建物","1400"
"資産の部 固定資産 有形固定資産 インフラ資産 建物減価償却累計額","-603"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物","103581"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物減価償却累計額","-12892"
"資産の部 固定資産 有形固定資産 インフラ資産 その他","0"
"資産の部 固定資産 有形固定資産 インフラ資産 その他減価償却累計額","0"
"資産の部 固定資産 有形固定資産 インフラ資産 建設仮勘定","0"
"資産の部 固定資産 有形固定資産 物品","3634"
"資産の部 固定資産 有形固定資産 物品減価償却累計額","-2071"
"資産の部 固定資産 無形固定資産","2702"
"資産の部 固定資産 無形固定資産 ソフトウェア","2692"
"資産の部 固定資産 無形固定資産 その他","10"
"資産の部 固定資産 投資その他の資産","83367"
"資産の部 固定資産 投資その他の資産 投資及び出資金","1453"
"資産の部 固定資産 投資その他の資産 投資及び出資金 有価証券","294"
"資産の部 固定資産 投資その他の資産 投資及び出資金 出資金","1159"
"資産の部 固定資産 投資その他の資産 投資及び出資金 その他","0"
"資産の部 固定資産 投資その他の資産 投資損失引当金","0"
"資産の部 固定資産 投資その他の資産 長期延滞債権","2123"
"資産の部 固定資産 投資その他の資産 長期貸付金","1181"
"資産の部 固定資産 投資その他の資産 基金","78861"
"資産の部 固定資産 投資その他の資産 基金 減債基金","0"
"資産の部 固定資産 投資その他の資産 基金 その他","78861"
"資産の部 固定資産 投資その他の資産 その他","0"
"資産の部 固定資産 投資その他の資産 徴収不能引当金","-250"
"資産の部 流動資産","92285"
"資産の部 流動資産 現金預金","18866"
"資産の部 流動資産 未収金","1166"
"資産の部 流動資産 短期貸付金","0"
"資産の部 流動資産 基金","72258"
"資産の部 流動資産 基金 財政調整基金","72258"
"資産の部 流動資産 基金 減債基金","0"
"資産の部 流動資産 棚卸資産","0"
"資産の部 流動資産 その他","0"
"資産の部 流動資産 徴収不能引当金","-6"
"資産の部 資産合計","3477555"
"負債の部 固定負債","20063"
"負債の部 固定負債 地方債等","1092"
"負債の部 固定負債 長期未払金","4210"
"負債の部 固定負債 退職手当引当金","14761"
"負債の部 固定負債 損失補償等引当金","0"
"負債の部 固定負債 その他","0"
"負債の部 流動負債","19139"
"負債の部 流動負債 1年内償還予定地方債等","736"
"負債の部 流動負債 未払金","5556"
"負債の部 流動負債 未払費用","0"
"負債の部 流動負債 前受金","0"
"負債の部 流動負債 前受収益","0"
"負債の部 流動負債 賞与等引当金","910"
"負債の部 流動負債 預り金","11937"
"負債の部 流動負債 その他","0"
"負債の部 負債合計","39202"
"純資産の部 固定資産等形成分","3457528"
"純資産の部 余剰分（不足分）","-19176"
"純資産の部 純資産合計","3438353"
"負債及び純資産合計","3477555"

"一般会計財務書類（貸借対照表）(平成29年3月31日現在)","Ver201703"
