"年度[西暦]","件数[件]","面積[平方メートル]"
"2015","16","936"
"2016","10","148"
"2017","7","219"
"2018","5","658"
"2019","9","195"

"令和2年度港区行政資料集　私道整備の助成","Ver202003",
