"年度","公衆浴場数（ふれあいの湯を含む）[件]","1日平均利用者数 全公衆浴場[人]","1日平均利用者数(内ふれあいの湯)[人]","住宅総数[戸]","無自家風呂住宅数[戸]","無自家風呂率[%]"
"2008",,,,"108400","1230","1.1"
"2013","6","1428","123",,,
"2014","6","1590","119",,,
"2015","6","1530","124",,,
"2016","5","1480","160",,,
"2017","4","1300","158",,,

"平成30年度港区行政資料集　公衆浴場","Ver201803",,,,,
