"年度","麻布 登録団体","麻布 利用件数[件]","麻布 利用者数[人]","赤坂 登録団体","赤坂 利用件数[件]","赤坂 利用者数[人]","高輪 登録団体","高輪 利用件数[件]","高輪 利用者数[人]","芝浦港南 登録団体","芝浦港南 利用件数[件]","芝浦港南 利用者数[人]","台場 登録団体","台場 利用件数[件]","台場 利用者数[人]","台場 図書貸出数"
"2013","144","4987","86188","133","7365","130258","310","7578","133229","125","4717","65693","28","2683","53154","57368"
"2014","136","4403","82286","162","8134","155590","350","7254","187514","116","4832","76254","33","2775","62354","55734"
"2015","132","4913","74775","153","8243","136317","279","7431","185939","123","4823","88189","38","2568","53275","55183"
"2016","133","5108","73270","171","8343","126579","301","7209","151522","119","4870","72357","37","2881","56588","55516"
"2017","124","4970","67817","170","8076","138031","255","7282","125771","115","4373","63767","30","2970","66193","57113"

"平成30年度港区行政資料集　施設利用状況一覧 区民センター","Ver201803",,,,,,,,,,,,,,,
