"年度","老人クラブ数","会員数[人]"
"2016","50","2623"
"2017","51","2655"
"2018","51","2558"
"2019","52","2561"
"2020","49","2443"

"令和2年度港区行政資料集　老人クラブ数及び会員数","Ver202004",
