地域階層,地域コード,国・地域(人),総数,中国,韓国・朝鮮,フィリピン,米国,英国,タイ,インド,ブラジル,マレイシア,オーストラリア,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,354250,120662,103164,30956,18422,7946,5740,5329,4954,4205,4299,48573,341656,12594
1,13100,区部,295148,102241,86453,24295,15352,7059,4597,4872,2857,3744,3790,39888,285421,9727
4,13101,千代田区,1854,471,376,61,228,67,25,86,14,14,24,488,1795,59
4,13102,中央区,2650,968,648,91,180,106,50,87,9,34,45,432,2350,300
4,13103,港区,17140,2077,2602,1002,4079,1488,160,506,215,130,1015,3866,16549,591
4,13104,新宿区,29226,9653,10965,932,761,476,593,161,147,1054,248,4236,27694,1532
4,13105,文京区,6536,2358,2154,223,282,114,100,135,45,109,69,947,6281,255
4,13106,台東区,9768,3283,4377,811,130,65,156,327,60,51,31,477,9670,98
4,13107,墨田区,7895,2869,2207,1315,73,63,335,50,30,38,11,904,7530,365
4,13108,江東区,13525,5879,4076,1427,201,87,278,261,131,48,81,1056,12852,673
4,13109,品川区,9974,3179,2319,849,672,326,132,349,95,74,139,1840,9759,215
4,13110,目黒区,8141,1630,1485,673,1045,424,126,212,79,83,223,2161,8300,-159
4,13111,大田区,15930,5219,4097,2087,552,282,349,318,366,108,114,2438,15421,509
4,13112,世田谷区,15405,3201,4026,1052,1821,639,200,379,192,146,389,3360,15736,-331
4,13113,渋谷区,11529,1687,1807,472,2381,1142,149,239,128,286,530,2708,11568,-39
4,13114,中野区,11368,4756,2881,445,431,323,169,277,60,132,140,1754,11433,-65
4,13115,杉並区,11396,4275,3124,552,664,309,136,159,102,107,190,1778,11267,129
4,13116,豊島区,16780,9337,3135,493,369,248,213,94,84,498,107,2202,16253,527
4,13117,北区,13541,7203,3156,930,134,124,126,101,180,135,54,1398,12700,841
4,13118,荒川区,12902,3937,7249,608,96,65,109,68,40,18,30,682,12277,625
4,13119,板橋区,15213,7676,3522,1359,257,204,170,79,165,168,69,1544,14411,802
4,13120,練馬区,12373,4388,3763,1025,502,186,189,287,168,210,111,1544,12001,372
