文書番号,受付年月日,設置年月日,建築物の名称,建築敷地　地名地番,用途地域,高さ（ｍ）,延べ面積（㎡）,着工予定,主要用途
1,R4.4.4,R4.3.31,（仮称）都営小島一丁目団地,台東区小島一丁目33番１外４筆,商業地域,45.55,"12,207.65",R6.12.1,共同住宅、保育園、学童クラブ、防災備蓄倉庫、シルバー人材センター、社会教育施設、障碍者グループホーム
2,R4.4.11,R4.4.6,イムス東京葛飾総合病院,葛飾区西新小岩四丁目153番２の一部,準工業地域,28.1,"1,221.56",R5.2月上旬,病院
3,R4.4.18,R4.4.14,（仮称）虎ノ門開発計画,港区虎ノ門一丁目40番８　外,商業地域,64.5,"13,070.00",R4.11.1,貸事務所・物販店舗・自動車修理工場
4,R.4.4.26,R4.4.22,板橋駅板橋口地区第一種市街地再開発事業,板橋区板橋１丁目15番３他,商業地域,"126,30　","51,159.20",R4.11.1,共同住宅・物品販売店・飲食店・事務所・集会所・保育所
5,R.4.4.27,R4.4.21,小笠原村父島東町計画,小笠原村父島字東町35番,指定なし,13.7,919.93,R4.9.1,共同住宅・事務所・店舗
6,R.4.4.28,R.4.4.25,（仮称）イオンスタイル赤羽北本通り新築工事,北区神谷三丁目12番１,準工業地域,16.14,"17,999.87",R4.7.1,物品販売業を営む店舗
7,R.4.4.28,R.4.4.26,東京農業大学第一高等学校・中等部校舎建替整備,世田谷区桜三丁目470番２、５、９、10,第一種中高層住居専用地域,16.85,"8,800.00",R4.7.1,中学校・高等学校
8,R.4.4.28,R.4.4.27,（仮称）SMC株式会社本社計画,中央区京橋一丁目５番４　外,商業地域,48,"11,467,00",R4.12.1,事務所
9,R4.5.6,R4.4.28,消防車庫（１）,大田区羽田空港２丁目の一部、２丁目１番の一部、２番、３番の一部、３丁目１番の一部、３番１から14まで、３番15の一部及び５番,準工業地域,11.8,"2,384.50",R5.9.1,消防車庫
10,R4.5.9,R4.5.9,（仮称）森永製菓芝浦ビル建替計画,港区芝浦一丁目58番,準工業地域,35.64,"15,611.21",R4.8.1,事務所
11,R4.5.11,R4.5.9,JR小岩駅北口地区第一種市街地再開発事業施設建築物,江戸川区西小岩１丁目2170番,商業地域,109.95,"94,709.06",R5.1月上旬,店舗等、住宅、保育所
12,R4.5.12,R4.5.10,（仮称）板橋区仲町計画,板橋区仲町二番１号,第一種住居地域,30.9,"23,414.75",R5.2.1,共同住宅
13,R4.5.24,R4.5.23,（仮称）江戸川区船堀３丁目計画　新築工事,江戸川区船堀３丁目603番地,商業地域,59.99,"13,917.44",R5.2.1,共同住宅
14,R4.5.27,R4.5.24,（仮称）コナミR＆Dセンター新築工事,江東区有明三丁目１番17,工業専用地域,"　　50,00","57,000.00",R4.10月上旬,事務所、集会場、展示場
15,R4.5.27,R4.5.20,（仮称）成増計画,板橋区成増二丁目54番1、54番6、54番7、54番11、54番 13、54番41、54番42、54番43、54番44、57番1 和光市白子二丁目885番1、885番6、888番、894番1、899番1、899番4、901番1、900番3、901番12,準工業地域・工業地域,24.86,"11,495.65",R4.11.15,共同住宅
16,R4.6.1,R4.5.30,（仮称）北綾瀬駅前商業施設計画　新築工事,底地：足立区谷中４丁目-1－12他14筆　仮換地：北綾瀬駅前土地区画整理事業１街区１、１街区２、１街区３,近隣商業地域(予定）,26.98,"31,758.46",R4.9月上旬,物品販売業を営む店舗
17,R4.6.1,R4.5.25,アライプロバンス葛西A棟新築工事,江戸川区東葛西九丁目24－2　他,工業地域,35.75,"87,037.66",R4.11.15,倉庫業を営む倉庫
18,R4.6.1,R4.5.25,（仮称）宝生ハイツ建替え計画,文京区本郷一丁目27番地34号・35号,近隣商業地域,68.98,"25,388.12",R7.4.1,共同住宅・能楽堂
19,R4.6.3,R4.6.1,豊海地区第一種市街地再開発事業　施設建築物,中央区豊海町41番,準工業地域,189,"230,010.03",R5.1月上旬,共同住宅・区民館・店舗・保育所
20,R4.6.6,R4.6.1,（仮称）千駄ヶ谷センタービル建替計画,渋谷区千駄ヶ谷一丁目18番,第二種住居地域,19.99,"15,800.00",R4.10.1,事務所・店舗
21,R4.6.8,R4.6.7,大井町駅周辺広町地区開発　A1地区,品川区広町二丁目3721番１他,準工業地域、第一種住居地域,105,"250,000.00",R4.12月下旬,事務所・ホテル・商業・賃貸住宅
22,R4.6.10,R4.6.9,（仮称）南麻布二丁目計画　新築工事,港区南麻布二丁目６番５外,商業地域・準工業地域,66.3,"18,751.80",R4.12月上旬,共同住宅・物品店舗
23,R4.6.14,R4.6.13,囲町東地区第一種市街地再開発事業　A敷地,中野区中野四丁目２番６他,近隣商業地域,99.5,"90,954.82",R4.9.1,共同住宅・百貨店・マーケットその他の物品販売業を営む店舗・飲食店・工場（自動車修理工業を除く。）・学習塾、華道教室、囲碁教室その他これらに類する施設・事務所
24,R4.6.14,R4.6.13,囲町東地区第一種市街地再開発事業　B敷地,中野区中野四丁目３番１他,近隣商業地域,82,"29,242.91",R4.9.1,共同住宅・百貨店・マーケットその他の物品販売業を営む店舗・学習塾、華道教室、囲碁教室その他これらに類する施設
25,R4.6.22,R4.6.21,（仮称）港区港南三丁目７番プロジェクト,港区港南三丁目７－２、３、７、８,準工業地域,119.97,"76,500.21",R5.1.10,共同住宅（一部店舗）
26,R4.6.23,R4.6.16,（仮称）台東賃貸住宅計画　新築工事,台東区松が谷一丁目40、52,商業地域,56,"14,130.00",R5.6.1,共同住宅、店舗
27,R4.6.28,R4.6.21,（仮称）神田須田町二丁目オフィスビル開発計画,千代田区神田須田町二丁目19番17号他,商業地域,44.91,"11,960.12",R4.10.1,事務所
28,R4.7.1,R4.6.30,東金町一丁目西地区第一種市街地再開発事業　施設建築物　Ⅰ期工事,葛飾区東金町一丁目2136番5、2136番501外,近隣商業地域・商業地域,28,"49,500.00",R4.10.1,自動車教習所、店舗、飲食店
29,R4.7.15,R4.7.13,目黒（２）事務棟新設等建築設計,目黒区中目黒２丁目-１,第二種中高層住居専用地域,28.85,"5,668.17",R5.4.1,研究施設（自衛隊施設）
30,R4.7.25,R4.7.19,東京大学（駒場Ⅰ）講義棟,目黒区駒場三丁目865番１外11筆,第一種低層住居専用地域・第一種中高層住居専用地域・第二種住居地域・近隣商業地域,13.2,"2,056.17",R4.11.1,学校（大学）
31,R4.7.25,R4.7.20,（仮称）ロイジェント横川５丁目PJ新築工事,墨田区横川五丁目４－４,準工業地域,21.99,"19,999.00",R5.2.1,共同住宅・店舗
32,R4.7.27,R4.7.21,（仮称）桜上水計画,世田谷区上北沢一丁目725番１他,第一種低層住居専用地域,11.97,"12,100.00",R5.2月下旬,共同住宅
33,R4.7.29,R4.7.25,(仮称）江東区大島四丁目計画,江東区大島四丁目174番地,商業地域・準工業地域,53.96,"26,309.33",R4.11.1,共同住宅・店舗
34,R4.7.29,R4.7.28,（仮称）RJR東十条,北区東十条三丁目3番6号他,近隣商業地域,44.5,"16,521.15",R5.3.1,共同住宅・飲食店・物販店
35,R4.8.1,R4.7.28,(仮称）東京北医療センター　新棟建設工事,北区赤羽台四丁目314番１の一部、同番15、同番23,第一種中高層住居専用地域,22.34,"3,729.09",R5.2.1,病院
36,R4.8.3,R4.7.26,（仮称）池袋西口プロジェクト,豊島区西池袋三丁目28－４、５、６、９、10,商業地域,140.12,"41,816.07",R5.１月上旬,事務所、店舗
37,R4.8.18,R4.8.16,日本大学法学部３号館,千代田区神田三崎町二丁目40番地の２、３、14、15、16、17、18、19、20,商業地域,38.9,"13,111.23",R5.4月上旬,大学
38,R4.8.22,R4.8.18,（仮称）大井競馬場　第三駐車場商業施設および劇場増築工事,品川区勝島一丁目４番３、４番20、５番６他,準工業地域,37.65,"16,352.89",R4.11.1,劇場、商業、事務所
39,R4.8.30,R4.8.29,（仮称）北品川四丁目計画,品川区北品川四丁目315番１,第一種中高層住居専用地域,33.5,"14,992.54",R4.11.15,共同住宅、店舗
40,R4.9.2,R4.8.31,（仮称）京華学園創立125周年記念新校舎建築計画,文京区白山五丁目34－1、34－２外,第一種住居地域、近隣商業地域,28.94,"6,142.80",R4.11.15,学校（中学校・高等学校）
41,R4.9.6,R4.9.5,(仮称）給田北住宅建替計画　A棟,世田谷区給田三丁目944番1,第一種低層住居専用地域,11.98,"10,136.22",R5.7.1,共同住宅
42,R4.9.6,R4.9.5,(仮称）給田北住宅建替計画　B棟,世田谷区給田三丁目944番11,第一種低層住居専用地域,11.98,"10,085.01",R5.7.1,共同住宅
43,R4.9.8,R4.9.5,（仮称）南青山三丁目計画,港区南青山三丁目150－１　他,商業地域・第二種住居地域,150,"45,399.27",R5.5.15,共同住宅・事務所・ホテル・販売店舗・飲食店
44,R4.9.8,R4.9.7,京急第１ビル　改修工事,港区高輪４丁目17番８外,商業地域,10.85,322.22,R4.11.15,事務所・店舗
45,R4.9.9,R4.9.8,日本橋一丁目三井ビルディング　増築工事（新築ビルとの連絡通路新設工事）,中央区日本橋一丁目４番,商業地域,13.1,43.53,R5.1.4,連絡通路
46,R4.9.9,R4.9.2,大崎駅西口F南地区第一種市街地再開発事業施設建築物新築工事,品川区大崎三丁目500番の一部,準工業地域,143,"53,400.00",R5.１月中旬,共同住宅・事務所・店舗・保育所
47,R4.9.13,R4.9.9,京浜急行バス京浜島営業所跡地物流開発,大田区京浜島二丁目１－２、５,工業専用地域,28.48,"12,689.18",R5.１月上旬,倉庫
