文書番号,受付年月日,設置年月日,建築物の名称,建築敷地　地名地番,用途地域,高さ（ｍ）,延べ面積（㎡）,着工予定,主要用途
1,R5.4.3,R5.3.30,（仮称）かえつ有明中・高等学校　芸術教室棟　新築工事,江東区有明二丁目1番117、東雲二丁目11番23、26番3、27番2,第一種住居地域,13.35 ,697.35 ,R5.7.1,学校
2,R5.4.7,R5.4.1,（仮称）TOKYO　A-ARENA,江東区青海一丁目9-1外,準工業地域,28.00 ,"37,823.00 ",R5.6.1,観覧場、スポーツ練習場
3,R5.4.13,R5.4.10,（仮称）南青山四丁目計画,港区南青山四丁目278-4、278-7、282、286、298の一部、319-2の一部、319-4の一部、321、326、327、332の一部、334番,第一種中高層住居専用地域、第二種中高層住居専用地域,22.09 ,"26,523.57 ",R5.10.14,共同住宅
4,R5.4.21,R5.4.14,（仮称）東日本銀行本店ビル建替プロジェクト,中央区日本橋三丁目11番3,商業地域,56.00 ,"11,430.00 ",R5.10.1,事務所、飲食店舗、物販店舗
5,R5.4.24,R5.4.17,東京家政大学140周年記念館,北区十条台二丁目1895番地、1895番地1、1895番地3、板橋区加賀一丁目3570番地、3356番地102,第一種住居地域、準工業地域,49.00 ,"9,900.00 ",R5.10上旬,大学
6,R5.5.8,R5.5.1,（仮称）東京東雲物流センター新築工事,江東区東雲二丁目7番46、7番61,準工業地域,34.55 ,"13,885.32 ",R5.9.1,倉庫業を営む倉庫
7,R5.5.12,R5.5.8,月島三丁目南地区第一種市街地再開発事業に伴う施設建築物（A敷地）,中央区月島三丁目3311番,商業地域、第二種住居地域,178.00 ,"76,500.00 ",R6.1.1,共同住宅、店舗
8,R5.5.17,R5.5.17,（仮称）日本橋本町一丁目３番計画,中央区日本橋本町一丁目5-1～29,商業地域,84.00 ,"27,826.82 ",R5.11.15,事務所、研究所、店舗
9,R5.5.19,R5.5.16,学校法人東京医科大学共同ビル（仮称）,新宿区西新宿六丁目55番1他,商業地域,74.80 ,"17,117.21 ",R5.11.1,大学、宿舎、保育園
10,R5.5.26,R5.5.22,三会堂ビル新築工事,港区赤坂一丁目901番2他,商業地域,94.00 ,"34,600.00 ",R6.7.17,事務所、店舗、集会所
11,R5.5.31,R5.5.29,（仮称）品川区西五反田六丁目計画,品川区西五反田六丁目13番1,商業地域、準工業地域,91.43 ,"11,963.42 ",R6.1.31,共同住宅
12,R5.6.2,R5.5.31,社会福祉法人賛育会　新病院・新施設新築工事,墨田区立花四丁目161番16,準工業地域,21.80 ,"14,000.00 ",R6.3.1,特別養護老人ホーム、病院
13,R5.6.6,R5.6.1,都立新国際高等学校（仮称）新築工事,港区白金二丁目520番1号,第一種中高層住居専用地域、商業地域,21.90 ,"14,628.58 ",R8.2.1,高等学校
14,R5.6.7,R5.6.1,虎ノ門一丁目東地区第一種市街地再開発事業　施設建築物,港区虎ノ門一丁目2番1他,商業地域,180.00 ,"119,890.03 ",R6.1.15,事務所、店舗、集会場、共同住宅
15,R5.6.7,R5.6.2,（仮称）三井リンクラボ新木場３新築計画,江東区新木場二丁目3番72,準工業地域,32.00 ,"14,500.00 ",R5.8上旬,研究所
16,R5.6.14,R5.6.8,長瀬産業㈱東京本社ビル新築計画,中央区日本橋小舟町103-1他,商業地域,62.95 ,"26,338.35 ",R6.1.1,事務所、診療所
17,R5.6.14,R5.6.12,（仮称）港区南麻布３丁目計画,港区南麻布三丁目145番3,商業地域、第二種中高層住居専用地域,94.70 ,"15,700.00 ",R6.7.7,共同住宅
18,R5.6.14,R5.6.9,（仮称）SHIRAHAMA新築工事,江東区新砂三丁目2番7号,工業地域,59.90 ,"14,328.99 ",R5.9.1,データセンター、事務所
19,R5.6.14,R5.6.13,（仮称）都営新河岸二丁目団地　E・F棟,板橋区新河岸二丁目876番1ほか,第一種住居地域,21.37 ,"7,680.73 ",R6.6.1,共同住宅
20,R5.6.20,R5.6.9,（仮称）SGリアルティ新砂計画新築工事,江東区新砂二丁目625番13ほか,工業専用地域,45.35 ,"87,500.00 ",R6.1初旬,配送センター、倉庫業を営む倉庫
21,R5.6.21,R5.5.12,東京博善町屋斎場　EV棟増築工事,荒川区町屋一丁目830番1,準工業地域,13.00 ,48.90 ,R5.6.15,火葬場
22,R5.6.21,R5.6.16,仮設プレハブ借上,新宿区市谷本村町42番1の一部,第二種住居地域,11.35 ,"1,244.76 ",R5.10.1,事務所
23,R5.6.26,R5.6.19,（仮称）海上保安庁格納庫,大田区羽田空港一丁目付近,準工業地域,23.00 ,"12,630.00 ",R6.10.1,事務所、格納庫、倉庫
24,R5.6.28,R5.6.23,（仮称）御成門計画新築工事,港区新橋六丁目1番1、2、3、4、5、6、7号,商業地域,90.58 ,"24,450.00 ",R6.1.1,事務所、保育所、店舗
25,R5.7.3,R5.6.28,（仮称）海岸３丁目計画新築工事,港区海岸三丁目14番18,準工業地域,119.00 ,"29,164.74 ",R6.2.5,共同住宅
26,R5.7.4,R5.6.28,（仮称）芝浦２丁目計画新築工事,港区芝浦二丁目1番75号,準工業地域,118.46 ,"20,897.30 ",R6.1.9,共同住宅
27,R5.7.5,R5.6.30,内幸町一丁目街区南地区第一種市街地再開発事業A棟,千代田区内幸町一丁目1000番,商業地域,230.23 ,"287,000.00 ",R6.3下旬,事務所、商業、ホテル、ウェルネス促進施設
28,R5.7.6,R5.6.30,（仮称）品川区東品川２丁目計画,品川区東品川二丁目1-2他,商業地域,124.90 ,"29,985.45 ",R6.1.31,共同住宅、店舗
29,R5.7.21,R5.7.19,（仮称）千駄ヶ谷２プロジェクト,渋谷区千駄ヶ谷一丁目33番1他,第二種住居地域、近隣商業地域,25.90 ,"14,078.13 ",R6.5.1,共同住宅、飲食店
30,R5.7.27,R5.7.21,区立上板橋第一中学校,板橋区南常盤台一丁目1-1,近隣商業地域、第一種住居地域,22.20 ,"10,700.00 ",R6.12.1,文教施設（中学校）
31,R5.7.27,R5.7.21,（仮称）千代田区神田神保町1-1建替計画／既存建物地下解体工事,千代田区神田神保町一丁目1、9、10、13、14、15、25、26,商業地域,57.40 ,"12,525.39 ",R5.10.1,事務所、物販店舗
32,R5.8.1,R5.7.26,"（仮称）東部汚泥処理プラント　焼却ヤード電気室⑥,防音囲い（６）",江東区新砂三丁目2464番21他,工業専用地域,22.65 ,"1,859.02 ",R6.10.1,下水処理施設
33,R5.8.8,R5.8.1,武蔵大学２号館改築工事,練馬区豊玉上一丁目26番,第一種中高層住居専用地域、準住居地域、近隣商業地域,19.98 ,"4,343.00 ",R5.10.1,学校（大学）
34,R5.8.8,R5.8.2,都営辰巳一丁目団地（第３－２期）,江東区辰巳一丁目6番,第一種中高層住居専用地域,32.80 ,"10,344.57 ",R6.10.1,共同住宅
35,R5.8.8,R5.8.1,（仮称）内幸町一丁目街区中地区セントラルタワー,千代田区内幸町一丁目1番1、3、5、8、9、10、11,商業地域,230.00 ,"361,000.00 ",R6.7.15,商業地域
36,R5.8.9,R5.8.7,東京駅前八重洲一丁目東A地区第一種市街地再開発事業　施設建築物新築工事,中央区八重洲一丁目207番1、2、3、4、5、10、11、12、13、14,商業地域,45.00 ,"12,250.00 ",R6.2.1,事務所、飲食店舗、サービス店舗、診療所
37,R5.8.17,R5.8.12,東京都教職員八丈（西見）住宅（仮称）（６）新築工事,八丈島八丈町大賀郷7652番1、7652番3の一部,指定なし,11.45 ,"1,703.05 ",R6.9下旬,共同住宅
38,R5.8.25,R5.8.4,（仮称）八潮南特別養護老人ホーム増改築工事,品川区八潮五丁目9番2号他,第一種住居地域,16.25 ,"6,491.00 ",R6.12末日,老人ホーム
39,R5.9.1,R5.8.28,（仮称）北区神谷３丁目（北敷地）計画,北区神谷三丁目14番3、4　15番1、2、3、4,準工業地域,30.00 ,"35,343.26 ",R6.1.31,共同住宅、店舗
40,R5.9.5,R5.8.31,（仮称）港区港南四丁目計画　新築工事,港区港南四丁目20番1外,第二種住居地域,59.23 ,"20,855.55 ",R6.10.31,共同住宅
41,R5.9.11,R5.9.4,都立墨田地区第二特別支援学校（仮称）,墨田区墨田五丁目310,準工業地域,17.00 ,"17,500.00 ",R6.12.1,特別支援学校
42,R5.9.13,R5.9.9,（仮称）文京区本郷三丁目計画,文京区本郷三丁目422番地1,商業地域,77.98 ,"32,070.07 ",R6.9.1,共同住宅
43,R5.9.13,R5.9.12,（仮称）DPL東雲,江東区東雲一丁目3-1、3-2、3-3,準工業地域,45.16 ,"149,334.72 ",R6.1.15,倉庫業を営む倉庫
44,R5.9.19,R5.9.13,（仮称）三園浄水場発電機棟築造工事,板橋区三園二丁目12番1号,準工業地域,18.55 ,"2,998.40 ",R6.7.1,常用発電設備建屋
45,R5.9.20,R5.9.13,（仮称）板橋区舟渡１丁目計画　新築工事,板橋区舟渡一丁目13番2、3、4、5、7、14,準工業地域、工業地域,21.99 ,"49,875.10 ",R6.1.4,共同住宅、保育所
46,R5.9.21,R5.9.15,（仮称）帝京平成大学　池袋キャンパス新館　新築工事,豊島区東池袋二丁目58番3他,商業地域、第一種住居地域,56.83 ,"4,910.95 ",R6.1.16,大学
47,R5.9.22,R5.9.19,（仮称）Shibuya Upper West Project（仮称アッパー・ウエスト・プロジェクト）,渋谷区道玄坂二丁目228番16他,商業地域,155.80 ,"119,720.00 ",R6.7上旬,物販店、飲食店、ホテル、共同住宅、美術館
48,R5.9.25,R5.9.21,（仮称）金町浄水場発電機棟築造工事,葛飾区金町浄水場151-1,準工業地域,15.00 ,"2,391.50 ",R7.4.1,常用発電設備建屋
