文書番号,受付年月日,設置年月日,建築物の名称,建築敷地　地名地番,用途地域,高さ（ｍ）,延べ面積（㎡）,着工予定,主要用途
50,R4.10.6,R4.10.3,(仮称)板橋区舟渡物流施設計画,板橋区舟渡四丁目2843番10,工業専用地域,44.9,"257,000.00",R4.12.20,倉庫業を営む倉庫
51,R4.10.6,R4.10.5,(仮称）深川ギャザリア新北プラザ棟新築工事,江東区木場一丁目4番30外,準工業地域,19.95,"5,298.95",R5.1.4,事務所、店舗
52,R4.10.7,R4.9.30,中央大学後楽園キャンパス１号館建替に伴う新築工事,文京区春日一丁目1番地,第一種住居地域,21.95,"9,426.20",R4.12.1,大学
53,R4.10.7,R4.10.3,(仮称）板橋区前野町二丁目計画新築工事,板橋区前野町二丁目34番6,工業地域,14.99,"11,113.68",R5.2.28,共同住宅（賃貸）、店舗
54,R4.10.13,R4.10.11,(仮称）文京区小石川４丁目計画,文京区小石川四丁目70番17,準工業地域,30.99,"43,153.29",R5.9.15,共同住宅(一部店舗）
55,R4.10.14,R4.10.11,TRPJ新築工事,中央区京橋一丁目18番1,商業地域,56,"13,500.00",R5.3.1,事務所、店舗
56,R4.10.14,R4.10.12,(仮称）足立区千住３丁目プロジェクト,足立区千住三丁目49他,商業地域･近隣商業地域,53.2,"13,351.04",R5.4.1,共同住宅
57,R4.10.20,R4.10.17,(仮称）京橋第一生命ビルディング,中央区京橋二丁目4番地13、14、15、16,商業地域,66.5,"16,192.49",R5.5.22,事務所、物販店舗、飲食店舗
58,R4.10.31,R4.10.26,京浜島物流センター計画,大田区京浜島一丁目2,工業専用地域,28.77,"24,218.44",R5.3下旬,倉庫
59,R4.11.7,R4.11.1,(仮称）銀座ビル建替計画,中央区銀座一丁目4-6他,商業地域,55.98,"12,890.00",R5.6.15,ホテル、事務所、物販店舗
60,R4.11.16,R4.11.15,河北総合病院移転建設工事,杉並区阿佐ヶ谷北一丁目904-1他,第一種中高層住居専用地域、近隣商業地域、商業地域,40,"32,807.47",R5.3.15,病院
61,R4.11.21,R4.11.15,（仮称）東京都品川区東品川三丁目計画,品川区東品川三丁目22番1号、22番5号,準工業地域,42.68,"15,025.58",R5.2.1,共同住宅（賃貸）、店舗
62,R4.11.22,R4.11.16,第一共同ビル建替工事,渋谷区宇田川町30-4,近隣商業地域,30.16,"10,752.77",R4.12.6,事務所
63,R4.11.28,R4.11.16,（仮称）大田区久が原２丁目計画,大田区久が原二丁目908-1、908-4の一部,第一種低層住居専用地域・第一種中高層住居専用地域,15.41,"16,914.17",R5.7.14,共同住宅
64,R4.12.2,R4.11.25,（仮称）大田区下丸子４丁目計画,大田区下丸子四丁目65番1,工業地域,44.9,"18,909.15",R5.8.1,共同住宅
65,R4.12.7,R4.12.1,早稲田大学早稲田キャンパスＥ棟(仮称）建設計画,新宿区西早稲田一丁目352、353-2、353-8、602-1、631-1、647、647-2、647-3、649-1、656-2、602-12、647-4、656-7、301-2,第一種住居地域(一部　商業地域、近隣商業地域）,72,"33,400.00",R5.11.1,大学
66,R4.12.9,R4.12.7,新宿駅西口地区開発計画,新宿区西新宿一丁目1-4、1-5、129-3、129-6、及び新宿三丁目1000-4他,商業地域,259,"278,900.00",R5.10上旬,店舗、事務所
