お住まいの地域,投票区,投票所,投票所の場所
両国一から四丁目,2,両国小学校,両国四丁目26番6号
千歳一から三丁目,2,両国小学校,両国四丁目26番6号
緑一から四丁目,3,緑幼稚園,緑二丁目11番5号
立川一から四丁目,4,中和小学校,菊川一丁目18番10号
菊川一から三丁目,4,中和小学校,菊川一丁目18番10号
江東橋一から五丁目,5,両国高等学校,江東橋一丁目7番14号
横網一から二丁目,1,両国中学校,横網一丁目8番1号
亀沢一丁目,1,両国中学校,横網一丁目8番1号
亀沢二丁目,8,二葉小学校,石原二丁目1番5号
亀沢三から四丁目,7,竪川中学校,亀沢四丁目11番15号
石原一丁目1から27,8,二葉小学校,石原二丁目1番5号
石原一丁目28から41,9,外手小学校,本所二丁目1番16号
石原二丁目1から14,8,二葉小学校,石原二丁目1番5号
石原二丁目15から30,9,外手小学校,本所二丁目1番16号
石原三丁目1から18,8,二葉小学校,石原二丁目1番5号
石原三丁目19から34,9,外手小学校,本所二丁目1番16号
石原四丁目,7,竪川中学校,亀沢四丁目11番15号
本所一から三丁目,9,外手小学校,本所二丁目1番16号
本所四丁目,11,横川小学校,東駒形四丁目18番4号
東駒形一から三丁目,10,本所中学校,東駒形三丁目1番10号
東駒形四丁目,11,横川小学校,東駒形四丁目18番4号
吾妻橋一から二丁目,10,本所中学校,東駒形三丁目1番10号
吾妻橋三丁目,11,横川小学校,東駒形四丁目18番4号
錦糸一から四丁目,6,錦糸小学校,錦糸一丁目9番12号
太平一から三丁目,6,錦糸小学校,錦糸一丁目9番12号
太平四丁目1から4,6,錦糸小学校,錦糸一丁目9番12号
太平四丁目5から24,13,柳島小学校,横川五丁目2番30号
横川一から三丁目,12,業平小学校,業平二丁目4番8号
横川四から五丁目,13,柳島小学校,横川五丁目2番30号
業平一から三丁目,12,業平小学校,業平二丁目4番8号
業平四から五丁目,13,柳島小学校,横川五丁目2番30号
向島一から二丁目,15,小梅小学校,向島二丁目4番10号
向島三丁目1から3,15,小梅小学校,向島二丁目4番10号
向島三丁目10から15,15,小梅小学校,向島二丁目4番10号
向島三丁目22から24,15,小梅小学校,向島二丁目4番10号
向島三丁目31から34,15,小梅小学校,向島二丁目4番10号
