"職種","職層別現員 係長[人]","職層別現員 主査[人]","職層別現員 主任[人]","職層別現員 主事[人]","職層別現員 校・園長[人]","職層別現員 副校･園長[人]","職層別現員 主幹教諭[人]","職層別現員 主任教諭[人]","職層別現員 教諭[人]","職層別現員 計[人]","所属別現員 教育委[人]","所属別現員 中学校[人]","所属別現員 小学校[人]","所属別現員 幼稚園[人]","定数外 自治法上派遣[人]","定数外 休職、結核休養[人]","定数外 育休、公務災害休養[人]","定数外 配偶者同行休業[人]"
"事務","0","2","11","0","0","0","0","0","0","13","0","8","5","0","0","0","1","0"
"Ⅰ自動車運転","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"Ⅱ警備","0","0","3","1","0","0","0","0","0","4","0","1","3","0","0","0","0","0"
"Ⅱ作業Ⅰ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ⅲ調理","1","0","27","5","0","0","0","0","0","33","0","2","29","2","0","1","0","0"
"Ⅲ用務","2","0","28","7","0","0","0","0","0","37","0","7","29","1","0","0","0","0"
"Ⅲ作業Ⅱ","0","0","5","0","0","0","0","0","0","5","0","0","5","0","0","0","0","0"
"幼稚園教育職員","0","0","0","0","11","2","0","17","49","79","0","0","0","79","5","1","4","0"
"区費指導主事","0","0","0","0","2","1","4","0","0","7","7","0","0","0","0","0","0","0"
"(2)学校関係計","3","2","75","13","13","3","4","17","49","179","7","18","72","82","5","2","5","0"

"令和2年度港区行政資料集　学校関係職員（常勤職員）","Ver202004",,,,,,,,,,,,,,,,,
