データID	年度	部門	カテゴリ	サブカテゴリ	ガソリン(TJ)	灯油(TJ)	軽油(TJ)	A重油(TJ)	B重油(TJ)	C重油(TJ)	ジェット燃料(TJ)	LPG等(TJ)	石油系炭化水素ガス(TJ)	オイルコークス(TJ)	石炭(TJ)	石炭コークス(TJ)	天然ガス(TJ)	LNG(TJ)	都市ガス(TJ)	廃棄物(TJ)	購入電力(TJ)
11970010101	1970	産業部門	農業・水産業	農業・水産業	0	1623	0	1685	0	0	0	0	0	0	0	0	0	0	0	0	2
11970010201	1970	産業部門	鉱業	鉱業	0	4	185	0	0	0	0	0	0	0	0	0	0	0	0	0	104
11970010301	1970	産業部門	建設業	建設業	0	3281	6493	1937	1349	689	0	0	0	0	0	0	0	0	0	0	612
11970010401	1970	産業部門	製造業	食料品	12	1009	5	6941	45	3260	0	428	0	0	0	0	0	2285	522	0	1763
11970010402	1970	産業部門	製造業	飲料・飼料・たばこ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11970010403	1970	産業部門	製造業	繊維工業	3	52	1	1765	10	2308	0	71	0	0	0	0	0	0	34	0	258
11970010404	1970	産業部門	製造業	衣服・その他の繊維	2	108	0	586	0	0	0	30	0	0	0	0	0	0	21	0	179
11970010405	1970	産業部門	製造業	木材・木製品	4	6	33	554	0	0	0	0	0	0	0	0	0	0	94	0	255
11970010406	1970	産業部門	製造業	家具・装備品	5	68	8	70	9	0	0	31	0	0	0	0	0	0	45	0	77
11970010407	1970	産業部門	製造業	パルプ紙紙加工	19	124	11	4483	0	13837	0	88	0	0	0	0	0	0	14	0	1901
11970010408	1970	産業部門	製造業	出版・印刷・同関連	13	731	17	575	1	0	0	152	0	0	1	0	0	0	363	0	1337
11970010409	1970	産業部門	製造業	化学工業	11	1084	1	5188	66	1259	0	44	0	0	4	0	0	0	173	0	1562
11970010410	1970	産業部門	製造業	石油製品・石炭製品	1	1	0	141	0	0	0	11	0	0	0	0	0	0	0	0	12
11970010411	1970	産業部門	製造業	プラスティック製品	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11970010412	1970	産業部門	製造業	ゴム製品	2	3	1	346	6	1647	0	0	0	0	0	0	0	0	1	0	413
11970010413	1970	産業部門	製造業	なめし革・同製品	2	50	1	467	0	0	0	16	0	0	3	0	0	0	6	0	126
11970010414	1970	産業部門	製造業	窯業・土石製品	11	175	272	4303	801	4204	0	1222	0	0	1	1213	0	0	257	0	1309
11970010415	1970	産業部門	製造業	鉄鋼業	15	3867	34	9453	514	1389	0	666	0	0	6	43	0	0	480	0	8020
11970010416	1970	産業部門	製造業	非鉄金属	7	304	4	1199	15	0	0	145	0	0	0	0	0	0	112	0	746
11970010417	1970	産業部門	製造業	金属製品	45	562	70	1759	26	6	0	319	1	0	6	94	0	0	795	0	1696
11970010418	1970	産業部門	製造業	一般機械器具	62	612	86	688	48	1	0	166	0	0	0	15	0	0	125	0	1184
11970010419	1970	産業部門	製造業	電気機械器具	31	833	11	1205	0	178	0	343	0	0	1	28	0	20	202	0	2072
11970010420	1970	産業部門	製造業	輸送用機械器具	430	576	501	3460	3	10	0	883	4	0	0	207	0	39	499	0	2194
11970010421	1970	産業部門	製造業	精密機械器具	6	119	2	266	0	0	0	16	0	0	2	0	0	0	68	0	438
11970010422	1970	産業部門	製造業	武器製品	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11970010423	1970	産業部門	製造業	その他の製造業	12	255	6	889	0	2576	0	66	0	0	1	2	0	0	64	0	946
11970020101	1970	家庭部門	家庭	家庭	0	19441	0	0	0	0	0	4836	0	0	0	0	0	0	36884	0	20952
11970030101	1970	業務部門	業務	事務所ビル	0	7688	0	21071	0	0	0	0	0	0	0	0	0	0	4421	0	20677
11970030102	1970	業務部門	業務	百貨店	0	246	0	312	0	0	0	1	0	0	0	0	0	0	152	0	973
11970030103	1970	業務部門	業務	各種商品小売業	0	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	10
11970030104	1970	業務部門	業務	その他の卸・小売業	0	802	0	571	0	0	0	0	0	0	0	0	0	0	336	0	2471
11970030105	1970	業務部門	業務	飲食店	0	3242	0	1132	0	0	0	194	0	0	0	0	0	0	2566	0	2649
11970030106	1970	業務部門	業務	ホテル・旅館等	0	2711	0	3286	0	0	0	4	0	0	0	0	0	0	230	0	707
11970030107	1970	業務部門	業務	学校	0	1116	0	3189	0	0	0	19	0	0	0	0	0	0	3013	0	2033
11970030108	1970	業務部門	業務	病院・医療施設等	0	2998	0	6562	0	0	0	32	0	0	0	0	0	0	3537	0	2889
