"名称","種別","総合支所","町丁目","公園面積[平方メートル]","調査区域面積[平方メートル]","樹木被覆地[平方メートル]","草地[平方メートル]","屋上緑地[平方メートル]","緑被地[平方メートル]","裸地[平方メートル]","水面[平方メートル]","緑被率[％]","樹木被覆率[％]","草地率[％]","屋上緑地率[％]","裸地率[％]","水面率[％]"
"本芝公園","区立公園","芝地区","芝四丁目","4298","4392","1690","16","0","1706","905","0","38.85","38.47","0.37","0.00","20.60","0.00"
"浜崎公園","区立公園","芝地区","海岸一丁目","633","662","236","2","0","238","0","0","35.87","35.59","0.29","0.00","0.00","0.00"
"イタリア公園","区立公園","芝地区","東新橋一丁目","3660","3638","1410","531","0","1941","0","0","53.35","38.75","14.60","0.00","0.00","0.00"
"汐留西公園","区立公園","芝地区","東新橋二丁目","980","1015","234","0","0","234","0","0","23.03","23.03","0.00","0.00","0.00","0.00"
"桜田公園","区立公園","芝地区","新橋三丁目","2671","2680","651","5","27","682","339","0","25.47","24.28","0.17","1.01","12.65","0.00"
"塩釜公園","区立公園","芝地区","新橋五丁目","842","841","445","0","0","445","106","0","52.88","52.88","0.00","0.00","12.63","0.00"
"南桜公園","区立公園","芝地区","西新橋二丁目","5219","5150","2557","724","0","3281","775","0","63.71","49.66","14.05","0.00","15.05","0.00"
"芝給水所公園","区立公園","芝地区","芝公園三丁目","11062","11044","1805","514","47","2366","0","0","21.42","16.34","4.66","0.42","0.00","0.00"
"芝公園","区立公園","芝地区","芝公園四丁目","13522","13643","5241","4557","0","9798","66","0","71.82","38.42","33.40","0.00","0.49","0.00"
"西桜公園","区立公園","芝地区","虎ノ門一丁目","1150","1199","501","0","0","501","0","0","41.73","41.73","0.00","0.00","0.00","0.00"
"江戸見坂公園","区立公園","芝地区","虎ノ門二丁目","2500","2500","1433","223","2","1658","0","0","66.31","57.31","8.91","0.09","0.00","0.00"
"狸穴公園","区立公園","麻布地区","麻布狸穴町","1772","1746","1043","23","0","1066","454","0","61.04","59.75","1.29","0.00","26.02","0.00"
"本村公園","区立公園","麻布地区","南麻布三丁目","493","472","104","0","0","104","142","0","21.99","21.99","0.00","0.00","30.17","0.00"
"有栖川宮記念公園","区立公園","麻布地区","南麻布五丁目","67131","66859","44817","5295","12","50125","4180","1466","74.97","67.03","7.92","0.02","6.25","2.19"
"笄公園","区立公園","麻布地区","西麻布三丁目","2441","2539","1929","0","0","1929","479","0","75.98","75.98","0.00","0.00","18.86","0.00"
"三河台公園","区立公園","麻布地区","六本木四丁目","2588","2557","1726","0","0","1726","363","0","67.51","67.51","0.00","0.00","14.18","0.00"
"さくら坂公園","区立公園","麻布地区","六本木六丁目","1540","1471","998","0","0","998","0","0","67.81","67.81","0.00","0.00","0.00","0.00"
"六本木西公園","区立公園","麻布地区","六本木七丁目","2187","2078","776","24","0","800","753","0","38.49","37.35","1.14","0.00","36.25","0.00"
"網代公園","区立公園","麻布地区","麻布十番二丁目","1359","1342","780","0","0","780","423","0","58.10","58.10","0.00","0.00","31.49","0.00"
"新広尾公園","区立公園","麻布地区","麻布十番四丁目","2059","2047","650","0","0","650","0","0","31.76","31.76","0.00","0.00","0.00","0.00"
"飯倉公園","区立公園","麻布地区","東麻布一丁目","2192","2156","1050","72","0","1122","701","0","52.05","48.69","3.35","0.00","32.52","0.00"
"一の橋公園","区立公園","芝地区","東麻布三丁目","4828","4597","403","0","0","403","0","36","8.77","8.77","0.00","0.00","0.00","0.78"
"円通寺坂公園","区立公園","赤坂地区","赤坂五丁目","1715","1715","1051","54","0","1105","138","0","64.45","61.28","3.17","0.00","8.02","0.00"
"一ツ木公園","区立公園","赤坂地区","赤坂五丁目","4654","4518","3517","0","0","3517","0","0","77.85","77.85","0.00","0.00","0.00","0.00"
"氷川公園","区立公園","赤坂地区","赤坂六丁目","3071","2933","1718","14","0","1732","77","0","59.04","58.58","0.46","0.00","2.63","0.00"
"高橋是清翁記念公園","区立公園","赤坂地区","赤坂七丁目","5321","5528","5101","0","0","5101","0","0","92.27","92.27","0.00","0.00","0.00","0.00"
"乃木公園","区立公園","赤坂地区","赤坂八丁目","3293","3285","2575","9","0","2584","0","0","78.65","78.37","0.28","0.00","0.00","0.00"
"檜町公園","区立公園","赤坂地区","赤坂九丁目","16370","16369","9997","2645","0","12642","0","1185","77.23","61.07","16.16","0.00","0.00","7.24"
"青葉公園","区立公園","赤坂地区","南青山一丁目","1003","962","527","44","0","571","346","0","59.34","54.74","4.60","0.00","35.95","0.00"
"青山公園","区立公園","赤坂地区","南青山二丁目","9753","9704","1521","86","0","1607","254","0","16.56","15.68","0.88","0.00","2.61","0.00"
"亀塚公園","区立公園","高輪地区","三田四丁目","9183","9202","6781","992","0","7773","359","0","84.47","73.68","10.78","0.00","3.90","0.00"
"三田台公園","区立公園","高輪地区","三田四丁目","5427","5454","2424","930","0","3354","1636","0","61.49","44.44","17.06","0.00","30.00","0.00"
"高松くすのき公園","区立公園","高輪地区","高輪一丁目","3639","3501","2415","277","0","2692","187","0","76.90","68.98","7.92","0.00","5.34","0.00"
