"年度","火葬利用件数 港区[件]","火葬利用件数 品川区[件]","火葬利用件数 目黒区[件]","火葬利用件数 大田区[件]","火葬利用件数 世田谷区[件]","火葬利用件数 他[件]","葬儀式場利用件数 港区[件]","葬儀式場利用件数 品川区[件]","葬儀式場利用件数 目黒区[件]","葬儀式場利用件数 大田区[件]","葬儀式場利用件数 世田谷区[件]","葬儀式場利用件数 他[件]"
"2013","226","1191","206","4216","502","229","63","332","41","781","138","9"
"2014","266","1221","232","4404","533","212","62","318","37","828","103","13"
"2015","265","1202","258","4397","558","262","54","317","35","852","90","11"
"2016","288","1262","246","4518","583","280","64","305","28","872","76","12"
"2017","273","1269","254","4512","655","322","57","327","34","834","104","12"

"平成30年度港区行政資料集　施設利用状況一覧 臨海斎場","Ver201803",,,,,,,,,,,
