"運行ルート","行き先","停留所番号","停留所名","時刻1","時刻2","時刻3","時刻4","時刻5","時刻6","時刻7","時刻8","時刻9","時刻10","時刻11","時刻12","時刻13","時刻14","時刻15","時刻16","時刻17","時刻18","時刻19","時刻20","時刻21","時刻22","時刻23","時刻24","時刻25","時刻26","時刻27","時刻28","時刻29","時刻30","時刻31","時刻32","時刻33","時刻34","時刻35","時刻36","時刻37","時刻38","備考"
"麻布西ルート","広尾駅","99","広尾駅","7:51","8:11","8:31","8:51","9:11","9:31","9:51","10:11","10:31","10:51","11:11","11:31","11:51","12:11","12:31","12:51","13:11","13:31","13:51","14:11","14:31","14:51","15:11","15:31","15:51","16:11","16:31","16:51","17:11","17:31","17:51","18:11","18:31","18:51","19:11","19:31","19:51","20:11","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","100","天現寺橋","7:52","8:12","8:32","8:52","9:12","9:32","9:52","10:12","10:32","10:52","11:12","11:32","11:52","12:12","12:32","12:52","13:12","13:32","13:52","14:12","14:32","14:52","15:12","15:32","15:52","16:12","16:32","16:52","17:12","17:32","17:52","18:12","18:32","18:52","19:12","19:32","19:52","20:12","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","101","光林寺","7:53","8:13","8:33","8:53","9:13","9:33","9:53","10:13","10:33","10:53","11:13","11:33","11:53","12:13","12:33","12:53","13:13","13:33","13:53","14:13","14:33","14:53","15:13","15:33","15:53","16:13","16:33","16:53","17:13","17:33","17:53","18:13","18:33","18:53","19:13","19:33","19:53","20:13","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","101-2","本村小学校入口","7:56","8:16","8:36","8:56","9:16","9:36","9:56","10:16","10:36","10:56","11:16","11:36","11:56","12:16","12:36","12:56","13:16","13:36","13:56","14:16","14:36","14:56","15:16","15:36","15:56","16:16","16:36","16:56","17:16","17:36","17:56","18:16","18:36","18:56","19:16","19:36","19:56","20:16","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","102","仙台坂上","7:58","8:18","8:38","8:58","9:18","9:38","9:58","10:18","10:38","10:58","11:18","11:38","11:58","12:18","12:38","12:58","13:18","13:38","13:58","14:18","14:38","14:58","15:18","15:38","15:58","16:18","16:38","16:58","17:18","17:38","17:58","18:18","18:38","18:58","19:18","19:38","19:58","20:18","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","103","仙台坂下","7:59","8:19","8:39","8:59","9:19","9:39","9:59","10:19","10:39","10:59","11:19","11:39","11:59","12:19","12:39","12:59","13:19","13:39","13:59","14:19","14:39","14:59","15:19","15:39","15:59","16:19","16:39","16:59","17:19","17:39","17:59","18:19","18:39","18:59","19:19","19:39","19:59","20:19","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","104","二ノ橋","8:00","8:20","8:40","9:00","9:20","9:40","10:00","10:20","10:40","11:00","11:20","11:40","12:00","12:20","12:40","13:00","13:20","13:40","14:00","14:20","14:40","15:00","15:20","15:40","16:00","16:20","16:40","17:00","17:20","17:40","18:00","18:20","18:40","19:00","19:20","19:40","20:00","20:20","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","105","麻布十番二丁目","8:04","8:24","8:44","9:04","9:24","9:44","10:04","10:24","10:44","11:04","11:24","11:44","12:04","12:24","12:44","13:04","13:24","13:44","14:04","14:24","14:44","15:04","15:24","15:44","16:04","16:24","16:44","17:04","17:24","17:44","18:04","18:24","18:44","19:04","19:24","19:44","20:04","20:24","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","13","麻布十番駅前（一の橋）","8:05","8:25","8:45","9:05","9:25","9:45","10:05","10:25","10:45","11:05","11:25","11:45","12:05","12:25","12:45","13:05","13:25","13:45","14:05","14:25","14:45","15:05","15:25","15:45","16:05","16:25","16:45","17:05","17:25","17:45","18:05","18:25","18:45","19:05","19:25","19:45","20:05","20:25","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","14","麻布十番","8:07","8:27","8:47","9:07","9:27","9:47","10:07","10:27","10:47","11:07","11:27","11:47","12:07","12:27","12:47","13:07","13:27","13:47","14:07","14:27","14:47","15:07","15:27","15:47","16:07","16:27","16:47","17:07","17:27","17:47","18:07","18:27","18:47","19:07","19:27","19:47","20:07","20:27","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","14-2","鳥居坂下","8:09","8:29","8:49","9:09","9:29","9:49","10:09","10:29","10:49","11:09","11:29","11:49","12:09","12:29","12:49","13:09","13:29","13:49","14:09","14:29","14:49","15:09","15:29","15:49","16:09","16:29","16:49","17:09","17:29","17:49","18:09","18:29","18:49","19:09","19:29","19:49","20:09","20:29","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","15","六本木けやき坂","8:11","8:31","8:51","9:11","9:31","9:51","10:11","10:31","10:51","11:11","11:31","11:51","12:11","12:31","12:51","13:11","13:31","13:51","14:11","14:31","14:51","15:11","15:31","15:51","16:11","16:31","16:51","17:11","17:31","17:51","18:11","18:31","18:51","19:11","19:31","19:51","20:11","20:31","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","32","六本木けやき坂","8:14","8:34","8:54","9:14","9:34","9:54","10:14","10:34","10:54","11:14","11:34","11:54","12:14","12:34","12:54","13:14","13:34","13:54","14:14","14:34","14:54","15:14","15:34","15:54","16:14","16:34","16:54","17:14","17:34","17:54","18:14","18:34","18:54","19:14","19:34","19:54","20:14","20:34","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","92","鳥居坂下","8:17","8:37","8:57","9:17","9:37","9:57","10:17","10:37","10:57","11:17","11:37","11:57","12:17","12:37","12:57","13:17","13:37","13:57","14:17","14:37","14:57","15:17","15:37","15:57","16:17","16:37","16:57","17:17","17:37","17:57","18:17","18:37","18:57","19:17","19:37","19:57","20:17","20:37","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布西ルート","広尾駅","106","麻布地区総合支所前","8:19","8:39","8:59","9:19","9:39","9:59","10:19","10:39","10:59","11:19","11:39","11:59","12:19","12:39","12:59","13:19","13:39","13:59","14:19","14:39","14:59","15:19","15:39","15:59","16:19","16:39","16:59","17:19","17:39","17:59","18:19","18:39","18:59","19:19","19:39","19:59","20:19","20:39","広尾駅で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
