農地転用の推移,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
用途,2012年度件数（件）,2012年度面積（平方メートル）,2013年度件数（件）,2013年度面積（平方メートル）,2014年度件数（件）,2014年度面積（平方メートル）,2015年度件数（件）,2015年度面積（平方メートル）,2016年度件数（件）,2016年度面積（平方メートル）,2017年度件数（件）,2017年度面積（平方メートル）,2018年度件数（件）,2018年度面積（平方メートル）,2019年度件数（件）,2019年度面積（平方メートル）,2020年度件数（件）,2020年度面積（平方メートル）,2021年度件数（件）,2021年度面積（平方メートル）
総数,68,"53,157",60,"54,173",72,"56,797",70,"52,385",88,"58,377",83,"46,020",67,"43,979",70,"47,204",64,"53,625",77,"59,168"
自家住宅,18,"3,914",13,"2,599",8,"3,941",8,"1,801",21,"5,003",19,"4,071",11,"1,466",17,"3,487",24,"7,538",16,"5,754"
貸家住宅,0,0,0,0,5,"6,860",2,"2,784",0,0,0,0,0,0,0,0,0,0,3,412
建売住宅,18,"18,931",21,"31,739",17,"11,880",14,"12,786",6,"7,940",10,"6,789",13,"10,406",17,"16,371",21,"29,129",26,"28,166"
アパート,4,"4,407",7,"4,880",10,"8,600",14,"15,074",12,"9,431",6,"2,140",9,"10,069",9,"8,248",6,"5,022",4,"2,037"
社員住宅 （寮 ),2,"2,680",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宅造（分譲）地,6,"14,130",8,"6,170",14,"15,919",11,"10,320",22,"21,779",25,"20,675",8,"6,163",8,"10,113",2,"4,255",7,"11,394"
店舗,0,0,1,"1,148",2,"3,503",1,216,1,116,0,0,0,0,2,"1,472",1,277,2,3911
貸店舗,0,0,0,0,0,0,0,0,0,0,0,0,1,884,0,0,0,0,0,0
営業所・事務所,2,"1,083",0,0,2,691,0,0,4,"5,294",0,0,1,330,1,761,2,"3,103",0,0
市立学校用地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立学校用地,0,0,0,0,0,0,0,0,2,"1,994",0,0,0,0,0,0,0,0,1,375
公共用地,0,0,1,136,0,0,0,0,1,196,0,0,0,0,0,0,0,0,0,0
工場,0,0,0,0,0,0,0,0,1,452,1,"1,775",0,0,1,"2,930",0,0,0,0
倉庫,0,0,1,0,0,0,0,0,0,0,2,"3,218",0,0,0,0,0,0,0,0
駐車場,8,"5,148",4,"1,042",9,"1,840",7,"4,839",12,"5,386",14,"5,382",13,"6,692",7,"2,807",5,"3,240",8,"4,032"
娯楽施設,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
遊園地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
道路,4,245,1,50,4,857,6,"2,384",4,472,2,504,6,955,5,903,1,215,6,1056
その他,6,"2,619",3,"5,987",1,"2,706",7,"2,181",2,314,4,"1,466",5,"7,014",3,112,2,846,4,2031
,,,,,,,,,,,,,,,,,,,,
資料：立川市農業委員会,,,,,,,,,,,,,,,,,,,,
